,shortcode,mediaid,caption_hashtags,typename,url,caption_mentions,comments,caption,likes,tagged_users,date,is_video,id,owner_username,owner_id,video_url
23,BOfcx1KBCaP,1.41398E+18,"[""joyeuxcanada"",""fabriquéaucanada"",""parcscanada"",""canada150""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e72c1acc92d93d1c43517491e493a613/5AF45A02/t51.2885-15/e35/19228795_326244587798098_6747065971845890048_n.jpg,"[""boutiqueparcscanada""]",1,"Nous espèrons que vous passez de Joyeuses Fêtes! Pour ajouter au plaisir, vous offre % de rabais valide jusqu'au déc. avec le code promo. éauCanada",12,[],2016-12-26T11:03:41,FALSE,2016-12-26_11-03-41,parcs.canada,4141034395,
24,BOiTex3hcKQ,1.41478E+18,"[""fêtes"",""camping"",""été"",""vacances"",""parcscanada"",""canada150"",""pacificrim""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/ca77bbc355fd7b79d00d0fe8e8a2b70c/5AF0C41A/t51.2885-15/e35/19380147_240009099824548_8577346584021303296_n.jpg,[],1,"Suite aux êtes qui tirent à leur fin, vous vous retrouvez avec le cafard hivernal? Nous avons ce qu'il faut pour vous remonter le moral! Vous pouvez maintenant réserver votre séjour de en janvier! Il n'est jamais trop tard pour commencer à planifier ses vacances d'été! été",26,[],2016-12-27T13:40:10,FALSE,2016-12-27_13-40-10,parcs.canada,4141034395,
25,BOkjPqjB7du,1.41541E+18,"[""relaxer"",""partagezlachaise"",""canada150"",""parcscanada"",""vacances""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/91f8c624d4378c3370ba5b36943dadcc/5AE38155/t51.2885-15/e35/19379969_516499462030827_6881166722116616192_n.jpg,"[""now.its.chow.time""]",1,"Avec Canada qui arrive à grands pas et la planification de vos voyages en d'entamée, on vous rappelle de prendre une pause ici et là et d'inclure des paysages dans votre itinéraire! Des chaises rouges de Parcs Canada vous attendent dans des endroits spectaculaires afin de vous aider à ! N'oubliez pas de nous ""taguer""! PHOTO .its.chow.time",35,[],2016-12-28T10:36:24,FALSE,2016-12-28_10-36-24,parcs.canada,4141034395,
26,BOnQcLiBalG,1.41617E+18,"[""concoursparcs"",""parcscanada"",""cartedécouverte"",""canada150"",""pngrosmorne"",""grosmorne"",""explorenl"",""baleines""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/56aa38b73b4101809b68aa46d81a403b/5AF4D261/t51.2885-15/e35/19428700_445941769108229_432834554844151808_n.jpg,"[""jaimierin""]",1,N'oubliez pas de participer à notre pour la chance de gagner le voyage d'une vie au parc national du Gros-Morne! Et qui sait? Peut-être serez-vous aussi chanceux que et pourrez admirer cette vue spendide!!! écouverte,38,[],2016-12-29T11:49:48,FALSE,2016-12-29_11-49-48,parcs.canada,4141034395,
27,BOpvYfzBvQq,1.41687E+18,"[""décompte"",""parcscanada"",""canada150"",""fortlévis"",""fortdelévis"",""quebec"",""exploreqc""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/105b0e5be736a291816173952b12288b/5AEBED4E/t51.2885-15/e35/19428923_309303756181164_179773604295081984_n.jpg,[],0,"Nous voyons la lumière au bout du tunnel!!! Il ne reste plus que jours avant le e anniversaire de notre beau pays! Une des façons dont nous célébrons, c'est en mettant en vedette tous nos + endroits sur nos comptes de médias sociaux… restez à l’affut! écompte évis évis",36,[],2016-12-30T10:58:40,FALSE,2016-12-30_10-58-40,parcs.canada,4141034395,
28,BOr3ounBhuD,1.41747E+18,"[""canada150"",""décompte"",""parcscanada"",""pnterranova"",""terranova""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/15c2cdabd5dc6054cd250419300147c2/5AEF5AB1/t51.2885-15/e35/19367271_248213995662906_8986060508041838592_n.jpg,[],0,C'est la veille du Jour de l'An!!! Ce qui veut dire qu'il ne reste plus qu'un seul jour avant !!! Profitez des derniers moments que peut vous offrir et préparez-vous pour les nouvelles aventures qui vous attendent en ! écompte,32,[],2016-12-31T06:49:16,FALSE,2016-12-31_06-49-16,parcs.canada,4141034395,
29,BOuhngCBIYM,1.41822E+18,"[""canada150"",""nouvelan"",""2017"",""entréegratuite"",""parcscanada"",""aventure"",""leverdesoleil"",""hautesterresducapbreton"",""htcb"",""pnhtcb""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/db064f0d09c6a3becfe67698b6b2be9a/5AF650F8/t51.2885-15/e35/19429007_1568712523202124_6532323388071870464_n.jpg,[],0,BONNE ANNÉE et JOYEUX !!! Profitez de l'ENTRÉE GRATUITE dans tous nos parcs et sites nationaux ainsi que de nos aires marines nationales de conservation durant tout ! Il n'y a pas de meilleure année pour commencer à rayer les aventures et les endroits que vous aviez mis sur votre liste!  éeGratuite,54,[],2017-01-01T07:34:35,FALSE,2017-01-01_07-34-35,parcs.canada,4141034395,
30,BOxAFWEBPe4,1.41892E+18,"[""camping2017"",""canada150"",""parcscanada"",""pnterranova"",""café""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/5b53a2c0639de1839da8814564306d3f/5AE208C8/t51.2885-15/e35/19367682_271392546662363_6790852905730572288_n.jpg,[],0,Quoi de plus envoûtant que de se réveiller avec une belle vue et l'odeur invitante du café?! Vous pouvez commencer à réserver vos sites de camping dès demain. Assurez-vous de profiter de chaque moment en !  é,47,[],2017-01-02T06:39:17,FALSE,2017-01-02_06-39-17,parcs.canada,4141034395,
31,BOzpEG1Bn04,1.41966E+18,"[""canada150"",""parcscanada"",""banff"",""pnbanff"",""montagnes"",""glaciers""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e7dba05e248c46ed0df900c1f7155fc0/5AFE6F3F/t51.2885-15/e35/19379176_1784087411902196_6620208181408694272_n.jpg,"[""adamcdyoung""]",4,"Le premier parc que nous mettons en vedette en est nul autre que le premier parc national créé au Canada : le parc national Banff! Créé en , il protège les montages, les glaciers, les chutes d'eau, les lacs et la faune depuis ans! ",72,[],2017-01-03T07:15:51,FALSE,2017-01-03_07-15-51,parcs.canada,4141034395,
32,BO2vUWSBJkx,1.42053E+18,"[""canada150"",""parcscanada"",""pnlacswaterton""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f77bdddbb30ec1410f8b1e01be8d4c01/5AF0925F/t51.2885-15/e35/19228407_976375572465745_4412972823832690688_n.jpg,[],0,"Le parc national des Lacs-Waterton a d'innombrables merveilles naturelles sur une superficie relativement petite et facile d'accès et c'est ce qui fait de lui un endroit magnifique toute l'année! Créé en , c'est le e parc national au Canada. Planifiez-vous une visite cette année? ",47,[],2017-01-04T12:08:13,FALSE,2017-01-04_12-08-13,parcs.canada,4141034395,
33,BO5BfOMBk9R,1.42117E+18,"[""parcscanada"",""canada150"",""pnprincealbert"",""parcnationalprincealbert"",""waskesiu"",""hiver""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/c18b54ecbb038eef4f363a594038a7a7/5AE985E5/t51.2885-15/e35/19367396_1870755769807766_9065042706052415488_n.jpg,"[""northernperspectivephoto""]",0,Découvrez un million d'acres de terres sauvages recouvertes de neige lors de votre prochaine visite au parc national de Prince Albert! Le parc est ouvert à l'année et l'hiver est une excellente saison pour l'elorer loin des foules! PHOTO ,34,[],2017-01-05T09:25:28,FALSE,2017-01-05_09-25-28,parcs.canada,4141034395,
34,BO7ww86hBly,1.42194E+18,"[""hiver"",""parcscanada"",""canada150"",""jasper"",""pnjasper"",""parcnationaljasper"",""architecture"",""rustique""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/34092054756a11168f16b9ccf45b5015/5AFB0CB1/t51.2885-15/e35/19228412_1399366856820610_6477304384563707904_n.jpg,[],1,"Le Centre d'information du parc Jasper, construit en -1914, est l'un des plus beaux et des plus importants exemples d'architecture rustique dans les parcs nationaux du Canada. Vous devriez y faire un arrête avant de dévaler les pentes cet ! ",34,[],2017-01-06T10:57:04,FALSE,2017-01-06_10-57-04,parcs.canada,4141034395,
35,BO-NHr-hQem,1.42263E+18,"[""pointpelée"",""pnpointpelée"",""parcnationalpointpelee"",""canada150"",""parcscanada""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/45461722d0f8d68bf798faaddad609d0/5AECF8FA/t51.2885-15/e35/19425401_1503293336401089_8939533316302831616_n.jpg,"[""robertpostma867""]",1,"Le parc national de la Pointe-Pelée est l'un des plus petits parcs nationaux du Canada; pourtant, cette petite oasis verte accueille des milliers de visiteurs grâce à ses chants d'oiseaux migrateurs au printemps, ses crépitements de cigales en été, ses battements d'ailes des monarques à l'automne et sa quiétude en hiver. PHOTO ée ée",34,[],2017-01-07T09:43:19,FALSE,2017-01-07_09-43-19,parcs.canada,4141034395,
36,BPBETEZhq-W,1.42344E+18,"[""montrezvotrepasse"",""cartedécouverte"",""montrezvotrecarte"",""parcscanada"",""canada150"",""minions""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/00cc0e4d782b6dc9224a58def1fd6939/5AFD8CB9/t51.2885-15/e35/19227999_231025677410103_7851681335029530624_n.jpg,"[""dluxphoto""]",2,"Voici comment vous !!! Pensez-vous pouvoir faire mieux que ??? Procurez-vous la écouverte , prenez une et ! ",38,[],2017-01-08T12:23:57,FALSE,2017-01-08_12-23-57,parcs.canada,4141034395,
37,BPDfvBpBsZQ,1.42412E+18,"[""parcscanada"",""canada150"",""hiver"",""hivercanadien"",""jasper"",""pnjasper"",""parcnationaljasper""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/0edf7ea2729cbcffc5a73003d6abcd3b/5AE55B60/t51.2885-15/e35/19367622_842937395864791_1000576205709115392_n.jpg,[],1,"Sous un manteau de neige et de glace, les montages, les prés et les rivières du parc national Jasper donnent lieu à un spectacle hivernal féérique... Que vous aimiez la raquette, le ski, le patinage, le vélo ou la marche, les possibilités d’activités hivernales sont illimitées. Planifiez votre aventure hivernale dès maintenant! ",61,[],2017-01-09T11:02:11,FALSE,2017-01-09_11-02-11,parcs.canada,4141034395,
38,BPFyNcOBpk2,1.42477E+18,"[""yukon"",""parcscanada"",""canada150"",""ssklondike"",""lhnssklondike"",""hiver""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1d89d37b2340bc58cccedb6c9c45879e/5AF5DBE3/t51.2885-15/e35/19436213_1915634148653184_4400687404889931776_n.jpg,"[""yukonhusky""]",0,Saviez-vous que le S.S. Klondike a été désigné lieu historique national?? Il souligne le rôle qu'ont joué ces vapeurs dans l'histoire du !!PHOTO ,29,[],2017-01-10T08:22:06,FALSE,2017-01-10_08-22-06,parcs.canada,4141034395,
