,likes,mediaid,video_url,typename,url,shortcode,comments,id,caption,owner_username,tagged_users,date,caption_mentions,is_video,caption_hashtags,owner_id
10,7,1.37E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4239221cc86aa5ab98dc9ff1ae26d7a4/5AE5BF7E/t51.2885-15/e35/24838715_188091061743786_8607374968130371584_n.jpg,BMHFj1xBXCp,1,2016-10-28_07-56-15,"De nombreuses stations météorologiques sont isolées. En arrière-plan se trouve le phare de Pachena. Un hélicoptère de la Garde côtière amène à bon port des techniciens près de Bamfield en Colombie-Britannique pour qu’ils puissent travailler à la station météorologique. Cette station météorologique se trouve le long du sentier de la Côte-Ouest, un sentier de renommée mondiale.",environnementcan,[],2016-10-28T07:56:15,[],FALSE,[],3913646610
11,6,1.37E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/941e88843ba6393bf7fdeb7d8224646d/5AD86638/t51.2885-15/e35/25016412_2250068935219625_7367678223448014848_n.jpg,BMOsLL1hUqI,1,2016-10-31_06-48-21,« JE SUIS UN HIBOU MAGIQUE QUI TRANSMET UN MESSAGE – HOU-HOU! » Une Chevêche des terriers qui essaye vraiment d’être effrayante…Joyeuse Hou-lloween!,environnementcan,[],2016-10-31T06:48:21,[],FALSE,[],3913646610
12,6,1.37E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/8be09122290f4a159bce5a745dd9f2d9/5AFDE351/t51.2885-15/e35/24838350_1504249012963981_18891602630017024_n.jpg,BMRlVf9BSUA,1,2016-11-01_09-46-19,"Cet hiver, nous suivrons avec grand intérêt les Courlis corlieu qui s’envolent vers des airs d’hivernage aux températures chaudes. En travaillant avec nos partenaires, nous avons muni ces oiseaux migrateurs d’émetteurs afin de suivre leur parcours de l’île Miscou, au Nouveau-Brunswick (Canada), jusqu’au Brésil. En connaissant leur destination et la durée de leur voyage, les biologistes peuvent mieux prédire les dangers auxquels ces oiseaux pourraient se heurter en cours de route.",environnementcan,[],2016-11-01T09:46:19,"[""mountallison"",""usfws""]",FALSE,[],3913646610
13,4,1.37E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/73baedb811bd008bf5f23236e61632d3/5AE9FFDD/t51.2885-15/e35/25005428_2105678146112917_7107383285252096000_n.jpg,BMT5DlABdTu,1,2016-11-02_07-17-06,"Nous voici, les quatre biologistes (deux en pleine vue, un caché en arrière-plan et moi, derrière la caméra) qui installons une clôture dans un petit secteur marécageux bordé d’arbres dans la réserve nationale de faune du Lac-de-la-Dernière-Montagne, en Saskatchewan. Nous avons besoin de clôtures comme celle-ci pour empêcher nos « gestionnaires de la végétation » () de se promener à l’extérieur de la réserve jusqu’aux routes et aux terrains avoisinants. Ils broutent la végétation pour préserver la santé de nos prairies. Nous nous sommes retroussé les manches pour installer cette clôture d’une longueur de ,2 km lors de nos temps libres pendant plus de trois mois. Nous devions commencer à travailler dès les petites heures du matin pour éviter la chaleur accablante du soleil d’été et parce que les cuissardes que nous portons sont chaudes peu importe la saison. Au moins, les moustiques nous tenaient compagnie!- Kerry",environnementcan,[],2016-11-02T07:17:06,[],FALSE,[],3913646610
14,1,1.38E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/ec8e61b0449fac681aa701f9bf47b3f2/5AF602BF/t51.2885-15/e35/24838746_512422775795191_8440142135763664896_n.jpg,BMWqCcEhOfY,1,2016-11-03_09-03-36,"AVERTISSEMENT : SUPER SCIENTIFIQUE! Voici Benoit, un de nos biologistes qui étudie la santé des eaux douces au cap Breton, en Nouvelle-Écosse, en utilisant la méthode *RCBA. En prélevant des échantillons d’invertébrés et en étudiant ces espèces, il peut déduire beaucoup de choses au sujet de la santé des eaux douces. * Le RCBA est le Réseau canadien de biosurveillance aquatique, un réseau de groupes qui collaborent pour évaluer la qualité des écosystèmes d’eau douce partout au Canada. En utilisant la méthode RCBA, les partenaires effectuent des observations en ayant recours à des protocoles approuvés. De plus, ils réalisent des évaluations scientifiques en suivant des normes nationales.",environnementcan,[],2016-11-03T09:03:36,[],FALSE,[],3913646610
15,3,1.38E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/0d95de82c05002fc721a4ef5be89bef2/5AFBC96D/t51.2885-15/e35/25011871_1991917431049004_735158166098018304_n.jpg,BMY4ayFhVYI,1,2016-11-04_05-47-44,"Bonne nouvelle en ce vendredi! Le projet d’assainissement des sédiments contaminés du récif Randle permet d’assainir le havre de Hamilton – vive l’eau propre! Cette photo illustre l’installation de confinement actif qui agit comme une boîte qui stockera les sédiments les plus sales. Lorsque le projet d’une valeur de ,9 millions de dollars sera terminé en , l’eau sera plus propre pour les poissons et la population. Le projet permettra de créer des emplois et de favoriser le tourisme dans cette communauté – hourra! : Bermingham Foundation Solutions",environnementcan,[],2016-11-04T05:47:44,[],FALSE,[],3913646610
16,1,1.38E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/5e33f2c496c12c008485f7fd28f02e82/5AFACE7A/t51.2885-15/e35/25010723_384853828637495_2212918703115206656_n.jpg,BMg61gUhnBg,1,2016-11-07_07-42-47,"« Je cherche un nounours pour lui faire un câlin. N’est-ce pas la journée pour ça? Mais… faire un câlin à un ours, c’est un peu dangereux, à moins qu’il soit Yogi l’ours ou Winnie l’ourson. Alors que moi, je ne suis qu’un mignon caribou… Puis-je avoir un câlin? » Ce caribou a été aperçu alors que notre équipe du Service canadien de la faune elorait les basses terres de la baie d’Hudson en Ontario.",environnementcan,[],2016-11-07T07:42:47,[],FALSE,[],3913646610
17,4,1.38E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/52c64347fd39b1e6cc174f6deef8251c/5AFC92B0/t51.2885-15/e35/25012764_1194754867291737_6329920168029847552_n.jpg,BMjciyJBhB5,1,2016-11-08_07-15-49,"« Où sont passés les tuyaux » Oups, c’est un feu de prairie soigneusement planifié! La biologiste et commandante au feu Kerry observe sa collègue Sarah s’éloigner des flammes alors qu’elle allume la première ligne de feu, waouh!Un brûlage dirigé peut aider à garder les écosystèmes en santé en réduisant le nombre d’arbustes et d’arbres, en plus d’enlever la vieille matière végétale qui s’est accumulée avec les années.",environnementcan,[],2016-11-08T07:15:49,[],FALSE,[],3913646610
18,5,1.38E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/72294c7a6dc6a7a051976e60e5f4fb9c/5ADECEF4/t51.2885-15/e35/24839082_143700609617576_2332355863806738432_n.jpg,BMmKyR8B8Xt,0,2016-11-09_08-38-22,"Bonjour, c’est moi, Henry. Notre équipe responsable du dossier de la lutte contre les changements climatiques est présentement à Marrakech pour la e Conférence des Parties (). Je publierai des photos pour vous donner une idée de notre eérience comme membre de la délégation canadienne et du travail que nous faisons.",environnementcan,[],2016-11-09T08:38:22,"[""cop22ma""]",FALSE,"[""changementsclimatiques"",""cop22"",""cop22can"",""encoulisses""]",3913646610
19,2,1.38E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/b4a5568ba7f6608847c94d6661be8cac/5AE486AF/t51.2885-15/e35/25005690_183801642199734_3528406695560609792_n.jpg,BMo13XbhSDs,0,2016-11-10_09-33-17,"Avertissement : super scientifique!Voici Sue, une spécialiste des eaux. Elle étudie les proliférations d’algues nocives dans notre labo à Burlington. Son travail a toujours été une source d’inspiration pour elle. « Grâce à la combinaison du travail sur le terrain et en laboratoire, j’ai eu une carrière en science passionnante. »Sur la photo, elle est dans sa deuxième maison, c’est-à-dire le Limnos, un navire de la Garde côtière canadienne. Sue prendra sa retraite en décembre. Nous lui souhaitons bien du bonheur!",environnementcan,[],2016-11-10T09:33:17,[],FALSE,"[""merci""]",3913646610
20,3,1.38E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4e4a3c6599fdaf21f365894a905258cb/5AD86BB9/t51.2885-15/e35/25022833_1996657550617736_8259405428002127872_n.jpg,BMo2AA7hWP0,1,2016-11-10_09-34-27,"Tout le monde à bord! Le Limnos, un navire de la Garde côtière canadienne, est basé à Burlington, en Ontario. La plupart du temps, il est à quai au Centre canadien des eaux intérieures. Non on ne ve vous monte pas un bateau!Son nom vient de « limnologie », soit l’étude des eaux intérieures. Le NGCC Limnos a une vocation scientifique : à son bord, nous menons des recherches sur l’environnement et faisons la surveillance des Grands Lacs. Il permet de prélever des échantillons d’eau à l’aide de matériel varié, et il est doté d’un laboratoire à bord où s’effectuent le traitement et l’analyse des échantillons.Génial, non?",environnementcan,[],2016-11-10T09:34:27,[],FALSE,[],3913646610
21,4,1.38E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a1b953315d441a6f832107b9e62e9cb3/5AE61A07/t51.2885-15/e35/25012561_180687112514013_8889567165724753920_n.jpg,BMpAjWbB1TP,1,2016-11-10_11-06-40,"Combien de négociateurs et d’eerts ce très petit espace peut-il accueillir? C’est le centre névralgique où toute la magie se passe. C’est là où la délégation se réunit avec les autres pays, examine les propositions et discute de la voie à suivre dans la lutte contre les ! -Henry",environnementcan,[],2016-11-10T11:06:40,[],FALSE,"[""canadienne"",""changementsclimatiques"",""cop22"",""environnementcan"",""marrakesh"",""maroc""]",3913646610
22,5,1.38E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1d30e9e09593dfa5a1e8e5f2fd16e211/5AE85A13/t51.2885-15/e35/24845747_168875590374383_5420277168825434112_n.jpg,BMrWQkxhP1K,0,2016-11-11_08-54-49,Les jeunes montrent l'exemple à en plantant un jardin - où avez-vous planté un arbre?,environnementcan,[],2016-11-11T08:54:49,"[""cop22ma""]",FALSE,"[""cop22"",""changementclimatique"",""actiontime"",""trees4earth""]",3913646610
23,5,1.38E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a4001509a814782db8cf0c825d683edc/5AFB5D17/t51.2885-15/e35/25016978_2022312708008297_8035459141629640704_n.jpg,BMraC3ph29c,0,2016-11-11_09-27-54,J'ai pris un autobus électrique pour me rendre au site de la aujourd'hui! C'est génial de voir des options respectueuses du pour se déplacer! - Henry,environnementcan,[],2016-11-11T09:27:54,[],FALSE,"[""cop22"",""climat""]",3913646610
24,3,1.38E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/8d5eaaf5b0f5bb6cef20f69e4cedc2e1/5AE67D21/t51.2885-15/e35/25011649_1503659593020955_7868611009483636736_n.jpg,BMroYPmhmDG,0,2016-11-11_11-33-09,ète repéré à !,environnementcan,[],2016-11-11T11:33:09,[],FALSE,"[""capitaineplanète"",""cop22"",""actiontime""]",3913646610
25,1,1.38E+18,https://instagram.fyvr3-1.fna.fbcdn.net/vp/b83b39c68dc98fa41259881edff54068/5A63E0EF/t50.2886-16/24984726_195517544344435_6968311196235595776_n.mp4,GraphVideo,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d9fec09d5984bb8ecc8eaefc97d5ddfe/5A63E774/t51.2885-15/e15/25005680_1759682280709064_3734036776071725056_n.jpg,BMt1cOMhZBE,0,2016-11-12_08-05-46,J'ai eu la chance de visionner le film Oculus «This is the Arctic» sur les effets du climatique dans l'Arctique hier au village . Une eérience assez cool et immersive montrant différents paysages et communautés de l’Arctique. -Henry,environnementcan,[],2016-11-12T08:05:46,[],TRUE,"[""changement"",""cop22""]",3913646610
26,4,1.38E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e403830806b765daadef64bb0c7c6419/5AE3933E/t51.2885-15/e35/25006231_745533178974066_942278518656466944_n.jpg,BM1j44XBs6s,0,2016-11-15_08-06-19,"Je m’adresse à vous depuis la cabine Live, sur place à la . C’est depuis cette cabine qu’aujourd’hui à h UTC (13 h HNE), la ministre de l’Environnement et du Changement climatique, Catherine McKenna, sera sur Facebook Live en compagnie de trois jeunes déléguées canadiennes () au . – Henry",environnementcan,[],2016-11-15T08:06:19,"[""cop22ma""]",FALSE,"[""facebook"",""canadien"",""maroc""]",3913646610
27,7,1.38E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/09069c3c4b160a1391af8538b039fa80/5AE543A7/t51.2885-15/e35/24327682_1932955353623125_8137608509198958592_n.jpg,BM2WRKlBjWI,0,2016-11-15_15-26-33,"J’ai rencontré , et Dominique Souris avant de faire notre Live de . Quel bonheur de rencontrer ces jeunes leaders! Avez-vous vu la vidéo du Facebook Live? C’est à voir! – Henry ",environnementcan,[],2016-11-15T15:26:33,"[""meredithadler"",""maataliii"",""cop22ma""]",FALSE,"[""facebook"",""marrakech"",""encoulisses"",""cop22"",""cop22can""]",3913646610
28,5,1.39E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a677cb40a491900baf78ba5c06526a5e/5AF5045D/t51.2885-15/e35/24845255_198504540722240_7853074549405908992_n.jpg,BM49O4jhVKr,0,2016-11-16_15-45-30,"Voici mon collègue et ami, Pierre-Jonathan (ou PJ), qui représente le à la séance plénière de la . Il travaille dans le domaine du financement de la lutte contre les changements climatiques. Les fonds viennent en aide aux pays en développement pour qu’ils puissent faire face aux répercussions des , déployer des technologies d’énergie propre et gérer les ressources naturelles de façon durable. – Henry",environnementcan,[],2016-11-16T15:45:30,[],FALSE,"[""canada"",""cop22"",""changementsclimatiques"",""encoulisses"",""cop22can""]",3913646610
29,6,1.39E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/42917b7bc0d66e0229d6134be591c3f7/5AFA49B6/t51.2885-15/e35/25014868_1329448373832560_3593473401395609600_n.jpg,BNALS-XBsxm,1,2016-11-19_11-03-05,"Nous accueillons le Sommet des . C’est un peu comme un , mais sur les . N’est-ce pas génial? Ah, et vous êtes invités! Cliquer sur le lien dans notre biographie pour obtenir plus d’info!",environnementcan,[],2016-11-19T11:03:05,[],FALSE,"[""jeunes"",""hackathon"",""changementsclimatiques""]",3913646610
30,5,1.39E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/762923ec059efe93ad1d7b280a1611ad/5AF6CE3A/t51.2885-15/e35/25007830_135149190528893_3441522427740291072_n.jpg,BNFisPpBenE,1,2016-11-21_13-03-43,"Êtes-vous un jeune canadien passionné de la prise d'action sur les changements climatiques? Avez-vous des idées et des solutions sur comment nous devons adresser les changements climatiques dans les communautés à travers le pays? Nous voulons vous entendre! Le novembre, la ministre de l’Environnement et du Changement climatique, Catherine McKenna, sera l’hôte d’un dialogue national pour les jeunes sur le thème des changements climatiques. Joignez-vous à nous!",environnementcan,[],2016-11-21T13:03:43,[],FALSE,[],3913646610
31,6,1.39E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4f00d576095ad1e20285c91ed1a155cf/5AEF587F/t51.2885-15/e35/25005443_1807473872618885_7998330966126886912_n.jpg,BNHdshkBCql,0,2016-11-22_06-58-32,"ALERTE GRAND ELORATEUR!Voici Geoff Green, éducateur, entrepreneur social, aventurier et fondateur de . Il a dirigé plus de eéditions dans les régions polaires, de même que de nombreux autres périples vers des coins éloignés et fascinants de la planète - WOUAH! (nous aussi on l’envie!). Geoff est l’un des conférenciers du Sommet national des jeunes sur les . Cliquez sur le lien de sa biographie pour avoir tous les détails sur la façon de participer en ligne.",environnementcan,[],2016-11-22T06:58:32,"[""studentsonice""]",FALSE,"[""changementsclimatiques"",""actionclimatjeunesse""]",3913646610
32,1,1.39E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/6d294d7f9ff724d9bfe730137c9958bc/5AEFAB40/t51.2885-15/e35/25012473_2013798585521670_1726885223053918208_n.jpg,BNKAjOShFOy,0,2016-11-23_06-41-35,On pourrait entendre un criquet tellement les jeunes sont concentrés!,environnementcan,[],2016-11-23T06:41:35,[],FALSE,"[""actionclimatjeunesse""]",3913646610
33,1,1.39E+18,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f0718df850f6f898267121b08d94ad0d/5A63FAD3/t50.2886-16/25003202_184856502094100_7139943741560717312_n.mp4,GraphVideo,https://instagram.fyvr3-1.fna.fbcdn.net/vp/bfbace48371342a5db8e8f26089fbeba/5A63E570/t51.2885-15/e15/25006610_303067293522496_6635463286768795648_n.jpg,BNKFVkehylJ,0,2016-11-23_07-23-25,Nos amis de qui rechargent des cellulaires au Sommet des jeunes sur le ...trop cool Pouvoir brûler les calories de son déjeuner en chargeant son appareil... Ça c'est de l'efficacité!,environnementcan,[],2016-11-23T07:23:25,"[""letstalkenergy""]",TRUE,"[""changementclimatique"",""actionclimatjeunesse""]",3913646610
34,4,1.39E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a1869c20fffa9c941b357cc45858f744/5ADF7BB2/t51.2885-15/e35/25008375_328661770945365_1258878283374657536_n.jpg,BNKHSXkhnMn,1,2016-11-23_07-40-27,Geoff Green the ... une grande inspiration,environnementcan,[],2016-11-23T07:40:27,"[""studentsonice""]",FALSE,"[""actionclimatjeunesse""]",3913646610
35,7,1.39E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/5375a1673b6db53708110365b46e8897/5AFAEE68/t51.2885-15/e35/25009417_381628938944807_4369389767750582272_n.jpg,BNKwnavhF_W,0,2016-11-23_13-41-35,Reconnaissez-vous quelqu’un ici? C’est Henry de retour de !,environnementcan,[],2016-11-23T13:41:35,[],FALSE,"[""cop22"",""actionclimatjeunesse""]",3913646610
36,4,1.39E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/45888f6b1e3e1178c1472c24539b2605/5AE8C7E5/t51.2885-15/e35/25006503_358837404581375_3650450828386369536_n.jpg,BNKwrbzBbMn,0,2016-11-23_13-42-08,Souriez!,environnementcan,[],2016-11-23T13:42:08,[],FALSE,"[""actionclimatjeunesse""]",3913646610
37,5,1.39E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/c7c23d4f88d81b96ded476b63ef36d28/5AE7E493/t51.2885-15/e35/25010062_200681213810730_941572194104770560_n.jpg,BNKwwHbhhCk,0,2016-11-23_13-42-46,Coucou!,environnementcan,[],2016-11-23T13:42:46,[],FALSE,"[""actionclimatjeunesse""]",3913646610
38,7,1.39E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/372ce15140662fa3ef694cd6d367dcb1/5AF67813/t51.2885-15/e35/25009893_1557043731016202_3431526213481398272_n.jpg,BNcAawbh4Br,2,2016-11-30_06-26-45,"« Le nombril de la semaine... pas aussi décourageant que le lundi, mais pas aussi motivant que le vendredi! »Sur la photo, une bande de Chevêches des terriers essaie de survivre à la semaine comme nous tous! Hou, hou!",environnementcan,[],2016-11-30T06:26:45,[],FALSE,[],3913646610
39,7,1.40E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d15a17741e0bfa988da559529ffb7ff1/5AE479F8/t51.2885-15/e35/25014060_204330540137286_8459879060971978752_n.jpg,BNe6z3LBaQd,0,2016-12-01_09-35-29,"Tout le mois de décembre, nous partagerons des photos de nos aventures dans l'Arctique! Restez à l'affût.",environnementcan,[],2016-12-01T09:35:29,[],FALSE,"[""sciencearctique"",""science"",""arctique"",""climat""]",3913646610
40,10,1.40E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/aaa9b4645810366b86b6b0244fc53226/5AED050F/t51.2885-15/e35/25013386_161440574605678_7193480581919801344_n.jpg,BNhXp2IhRvW,2,2016-12-02_08-26-00,Il y avait des arcs-en-ciel partout l’été dernier sur les terres arides! Nous attendions les 🦄 mais on a seulement vu des …,environnementcan,[],2016-12-02T08:26:00,[],FALSE,"[""licornes"",""caribous""]",3913646610
41,5,1.40E+18,https://instagram.fyvr3-1.fna.fbcdn.net/vp/c33227035627afac565381f084c76c0b/5A646F2A/t50.2886-16/24504499_147328572581404_5384034379355914240_n.mp4,GraphVideo,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f237fc17b8a7434aab406bd24904c8dd/5A63A05E/t51.2885-15/e15/24838679_199046667332394_7944244962659401728_n.jpg,BNpud93h2MG,1,2016-12-05_14-19-17,"Nouveau! Réserve nationale de en milieu marin : les Îles ScottLes îles Scott et les eaux qui les entourent constituent l’un des écosystèmes marins les plus productifs et les plus diversifiés sur le plan biologique, particulièrement en ce qui concerne les marins, sur la côte canadienne du .",environnementcan,[],2016-12-05T14:19:17,[],TRUE,"[""faune"",""oiseaux"",""pacifique""]",3913646610
