,Unnamed: 0,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original
39,39,10155965912767888_10155968682532888,377625007887_10155965912767888,10155965912767888_10155966221572888,2017-12-22 20:08:07,1,1,0,0,0,0,0,0,Olivier Bourg hahaha modite mardeeee,[],[],Olivier Bourg hahaha modite mardeeee,"['Olivier', 'Bourg', 'hahaha', 'modite', 'mardeeee']","[u'olivi', u'bourg', u'hahaha', u'modit', u'mardeee']",Olivier Bourg hahaha modite mardeeee
40,40,10155965912767888_10155968833607888,377625007887_10155965912767888,10155965912767888_10155966221572888,2017-12-22 21:22:34,0,0,0,0,0,0,0,0,Marilyne Dumaresq oui calisse,[],[],Marilyne Dumaresq oui calisse,"['Marilyne', 'Dumaresq', 'oui', 'calisse']","[u'marilyn', u'dumaresq', u'oui', u'caliss']",Marilyne Dumaresq 😂😂😂 oui calisse
41,41,10155965912767888_10155966248622888,377625007887_10155965912767888,,2017-12-21 20:58:57,1,1,0,0,0,0,0,0,Keven Julien? lol,[],[],Keven Julien lol,"['Keven', 'Julien', 'lol']","[u'keven', u'julien', u'lol']",Keven Julien? lol
42,42,10155965912767888_10155966282517888,377625007887_10155965912767888,,2017-12-21 21:19:24,0,0,0,0,0,0,0,0,Good to know mais reçu aucune rappelle sur le miens,[],[],Good know mais aucune rappelle sur le miens,"['Good', 'know', 'mais', 'aucune', 'rappelle', 'sur', 'le', 'miens']","[u'good', u'know', u'mai', u'aucun', u'rappell', u'sur', 'le', u'mien']",Good to know mais reçu aucune rappelle  sur le miens
43,43,10155965912767888_10155966307912888,377625007887_10155965912767888,,2017-12-21 21:40:16,1,1,0,0,0,0,0,0,Simon Deschamps jte l’avais de pas acheter des brp son neuf pis son déjà briser,[],[],Simon Deschamps jte avais de pas acheter des brp son neuf pis son briser,"['Simon', 'Deschamps', 'jte', 'avais', 'de', 'pas', 'acheter', 'des', 'brp', 'son', 'neuf', 'pis', 'son', 'briser']","[u'simon', u'deschamp', u'jte', u'avai', 'de', u'pas', u'achet', u'des', u'brp', u'son', u'neuf', u'pis', u'son', u'briser']",Simon Deschamps jte l’avais de pas acheter des brp son neuf pis son déjà briser 😂
44,44,10155965912767888_10155966308632888,377625007887_10155965912767888,10155965912767888_10155966307912888,2017-12-21 21:40:49,0,0,0,0,0,0,0,0,Spour sa qu on a pris honda,[],[],Spour pris honda,"['Spour', 'pris', 'honda']","[u'spour', u'pris', u'honda']",Spour sa qu on a pris honda
45,45,10155965912767888_10155966309292888,377625007887_10155965912767888,10155965912767888_10155966307912888,2017-12-21 21:41:15,1,1,0,0,0,0,0,0,Good,[],[],Good,['Good'],[u'good'],Good 👍
46,46,10155965912767888_10155966337892888,377625007887_10155965912767888,,2017-12-21 21:58:03,0,0,0,0,0,0,0,0,Maxime Lefebvre,[],[],Maxime Lefebvre,"['Maxime', 'Lefebvre']","[u'maxim', u'lefebvr']",Maxime Lefebvre
47,47,10155965912767888_10155966396312888,377625007887_10155965912767888,,2017-12-21 22:26:17,0,0,0,0,0,0,0,0,Merci - j’ai besoin de faire un rendez vous!,[],[],Merci ai besoin de faire un rendez vous,"['Merci', 'ai', 'besoin', 'de', 'faire', 'un', 'rendez', 'vous']","[u'merci', 'ai', u'besoin', 'de', u'fair', 'un', u'rendez', u'vous']",Merci - j’ai besoin de faire un rendez vous!
48,48,10155965912767888_10155966409982888,377625007887_10155965912767888,,2017-12-21 22:35:08,0,0,0,0,0,0,0,0,Kyle Bujold,[],[],Kyle Bujold,"['Kyle', 'Bujold']","[u'kyle', u'bujold']",Kyle Bujold
49,49,10155965912767888_10155966437817888,377625007887_10155965912767888,,2017-12-21 22:59:46,1,1,0,0,0,0,0,0,Mic Brousseau,[],[],Mic Brousseau,"['Mic', 'Brousseau']","[u'mic', u'brousseau']",Mic Brousseau
50,50,10155965912767888_10155966440592888,377625007887_10155965912767888,10155965912767888_10155966437817888,2017-12-21 23:01:10,1,0,0,0,1,0,0,0,Ah bin caliss faloir je change sa pour un artic cat,[],[],Ah bin caliss faloir change artic cat,"['Ah', 'bin', 'caliss', 'faloir', 'change', 'artic', 'cat']","['ah', u'bin', u'caliss', u'faloir', u'chang', u'artic', u'cat']",Ah bin caliss faloir je change sa pour un artic cat 😂👌🏼
51,51,10155965912767888_10155966468522888,377625007887_10155965912767888,10155965912767888_10155966437817888,2017-12-21 23:14:27,1,0,0,0,1,0,0,0,Mic Brousseau Barbin Sport de Dubuisson oublie pas ça pis la ride est fourni en plus quand tu veux !,[],[],Mic Brousseau Barbin Sport de Dubuisson oublie pas pis la ride est fourni en plus quand tu veux,"['Mic', 'Brousseau', 'Barbin', 'Sport', 'de', 'Dubuisson', 'oublie', 'pas', 'pis', 'la', 'ride', 'est', 'fourni', 'en', 'plus', 'quand', 'tu', 'veux']","[u'mic', u'brousseau', u'barbin', u'sport', 'de', u'dubuisson', u'oubli', u'pas', u'pis', 'la', u'ride', u'est', u'fourni', 'en', u'plus', u'quand', 'tu', u'veux']",Mic Brousseau Barbin Sport de Dubuisson  oublie pas ça pis la ride est fourni en plus 😊😊 quand tu veux !
52,52,10155965912767888_10155966474837888,377625007887_10155965912767888,10155965912767888_10155966437817888,2017-12-21 23:20:30,1,1,0,0,0,0,0,0,[[PHOTO]],[],[],PHOTO,['PHOTO'],[u'photo'], [[PHOTO]]
53,53,10155965912767888_10155966475517888,377625007887_10155965912767888,10155965912767888_10155966437817888,2017-12-21 23:21:03,1,1,0,0,0,0,0,0,Je vai m’informer si sa inclu mon roue,[],[],Je vai informer si sa inclu mon roue,"['Je', 'vai', 'informer', 'si', 'sa', 'inclu', 'mon', 'roue']","['je', u'vai', u'inform', 'si', 'sa', u'inclu', u'mon', u'roue']",Je vai m’informer si sa inclu mon 4roue 😜
54,54,10155965912767888_10155966558137888,377625007887_10155965912767888,,2017-12-22 00:25:53,0,0,0,0,0,0,0,0,André P Larochelle,[],[],Larochelle,['Larochelle'],[u'larochell'],André P Larochelle
55,55,10155965912767888_10155967337212888,377625007887_10155965912767888,10155965912767888_10155966558137888,2017-12-22 09:03:02,0,0,0,0,0,0,0,0,merci mais le notre est un,[],[],merci,['merci'],[u'merci'],merci mais le notre est un 2015
56,56,10155965912767888_10155967008322888,377625007887_10155965912767888,,2017-12-22 05:33:42,0,0,0,0,0,0,0,0,Jérémie Jps Soyez ??,[],[],mie Jps Soyez,"['mie', 'Jps', 'Soyez']","[u'mie', u'jps', u'soyez']",Jérémie Jps Soyez ??
57,57,10155965912767888_10155967130667888,377625007887_10155965912767888,10155965912767888_10155967008322888,2017-12-22 06:58:27,1,1,0,0,0,0,0,0,et seulement,[],[],seulement,['seulement'],[u'seulement'],450 et 570 seulement
58,58,10155965912767888_10155967047807888,377625007887_10155965912767888,,2017-12-22 06:04:52,0,0,0,0,0,0,0,0,Christian Bellefeuille,[],[],Christian Bellefeuille,"['Christian', 'Bellefeuille']","[u'christian', u'bellefeuill']",Christian Bellefeuille
59,59,10155965912767888_10155967157437888,377625007887_10155965912767888,10155965912767888_10155967047807888,2017-12-22 07:18:53,1,0,0,0,1,0,0,0,C fait tu c avec Steeve loll,[],[],fait Steeve loll,"['fait', 'Steeve', 'loll']","[u'fait', u'steev', u'loll']",C fait tu c avec Steeve loll
60,60,10155965912767888_10155967071612888,377625007887_10155965912767888,,2017-12-22 06:19:30,0,0,0,0,0,0,0,0,[[STICKER]],[],[],STICKER,['STICKER'],[u'sticker'], [[STICKER]]
61,61,10155965912767888_10155967088742888,377625007887_10155965912767888,,2017-12-22 06:33:46,0,0,0,0,0,0,0,0,Richard Côté,[],[],Richard,['Richard'],[u'richard'],Richard Côté
62,62,10155965912767888_10155967114097888,377625007887_10155965912767888,,2017-12-22 06:50:38,1,1,0,0,0,0,0,0,Denis Dufour. Louis-Jean Bourassa.,[],[],Denis Dufour Louis Jean Bourassa,"['Denis', 'Dufour', 'Louis', 'Jean', 'Bourassa']","[u'deni', u'dufour', u'loui', u'jean', u'bourassa']",Denis Dufour. Louis-Jean Bourassa.
63,63,10155965912767888_10155967114632888,377625007887_10155965912767888,10155965912767888_10155967114097888,2017-12-22 06:51:02,1,1,0,0,0,0,0,0,Sa ne me concerne pas j’ai vérifié,[],[],Sa ne concerne pas ai,"['Sa', 'ne', 'concerne', 'pas', 'ai']","['sa', 'ne', u'concern', u'pas', 'ai']",Sa ne me concerne pas j’ai vérifié
64,64,10155965912767888_10155967114802888,377625007887_10155965912767888,10155965912767888_10155967114097888,2017-12-22 06:51:08,1,1,0,0,0,0,0,0,J’ai appeler,[],[],ai appeler,"['ai', 'appeler']","['ai', u'appel']",J’ai appeler
65,65,10155965912767888_10155967115287888,377625007887_10155965912767888,10155965912767888_10155967114097888,2017-12-22 06:51:20,0,0,0,0,0,0,0,0,C pour les et,[],[],les,['les'],[u'les'],C pour les 450 et 520
66,66,10155965912767888_10155967160092888,377625007887_10155965912767888,,2017-12-22 07:20:57,0,0,0,0,0,0,0,0,Jozie-ann Valiquette,[],[],Jozie ann Valiquette,"['Jozie', 'ann', 'Valiquette']","[u'jozi', u'ann', u'valiquett']",Jozie-ann Valiquette
67,67,10155965912767888_10155967160997888,377625007887_10155965912767888,,2017-12-22 07:21:40,0,0,0,0,0,0,0,0,Donald Vigneau Pauline Martinet,[],[],Donald Vigneau Pauline Martinet,"['Donald', 'Vigneau', 'Pauline', 'Martinet']","[u'donald', u'vigneau', u'paulin', u'martinet']",Donald Vigneau Pauline Martinet
68,68,10155965912767888_10155967235362888,377625007887_10155965912767888,,2017-12-22 08:05:42,0,0,0,0,0,0,0,0,Sebastien Gouin,[],[],Sebastien Gouin,"['Sebastien', 'Gouin']","[u'sebastien', u'gouin']",Sebastien Gouin
69,69,10155965912767888_10155967481762888,377625007887_10155965912767888,10155965912767888_10155967235362888,2017-12-22 10:23:30,0,0,0,0,0,0,0,0,Tu pourrais nourrire ..,[],[],pourrais nourrire,"['pourrais', 'nourrire']","[u'pourrai', u'nourrir']",Tu pourrais nourrire ..
70,70,10155965912767888_10155967488827888,377625007887_10155965912767888,10155965912767888_10155967235362888,2017-12-22 10:28:57,0,0,0,0,0,0,0,0,Sebastien Gouin anyway le mien est meme pas usé,[],[],Sebastien Gouin anyway le mien est meme pas,"['Sebastien', 'Gouin', 'anyway', 'le', 'mien', 'est', 'meme', 'pas']","[u'sebastien', u'gouin', u'anyway', 'le', u'mien', u'est', u'meme', u'pas']",Sebastien Gouin anyway le mien est meme pas usé
71,71,10155965912767888_10155967495097888,377625007887_10155965912767888,10155965912767888_10155967235362888,2017-12-22 10:32:06,0,0,0,0,0,0,0,0,Yer flambete,[],[],Yer flambete,"['Yer', 'flambete']","[u'yer', u'flambet']",Yer flambete
72,72,10155965912767888_10155968886167888,377625007887_10155965912767888,10155965912767888_10155967235362888,2017-12-22 21:56:36,0,0,0,0,0,0,0,0,Sebastien Gouin le zusuki?,[],[],Sebastien Gouin le zusuki,"['Sebastien', 'Gouin', 'le', 'zusuki']","[u'sebastien', u'gouin', 'le', u'zusuki']",Sebastien Gouin le zusuki?
73,73,10155965912767888_10155967312267888,377625007887_10155965912767888,,2017-12-22 08:50:28,0,0,0,0,0,0,0,0,Kiefer Mercier,[],[],Kiefer Mercier,"['Kiefer', 'Mercier']","[u'kiefer', u'mercier']",Kiefer Mercier
74,74,10155965912767888_10155967442477888,377625007887_10155965912767888,,2017-12-22 10:02:52,0,0,0,0,0,0,0,0,Jérome Le-Tigre,[],[],rome Le Tigre,"['rome', 'Le', 'Tigre']","[u'rome', 'le', u'tigr']",Jérome Le-Tigre
75,75,10155965912767888_10155967713502888,377625007887_10155965912767888,10155965912767888_10155967442477888,2017-12-22 12:05:57,1,1,0,0,0,0,0,0,Chu correct jai un bon vieux 🤔,[],[],Chu correct jai un bon vieux,"['Chu', 'correct', 'jai', 'un', 'bon', 'vieux']","[u'chu', u'correct', u'jai', 'un', u'bon', u'vieux']",Chu correct jai un bon vieux 2016 🤔😅
76,76,10155965912767888_10155967550642888,377625007887_10155965912767888,,2017-12-22 10:44:33,0,0,0,0,0,0,0,0,Nicolas Rodrigue,[],[],Nicolas Rodrigue,"['Nicolas', 'Rodrigue']","[u'nicola', u'rodrigu']",Nicolas Rodrigue
77,77,10155965912767888_10155967777387888,377625007887_10155965912767888,,2017-12-22 12:25:41,0,0,0,0,0,0,0,0,Helene Lamothe montre ça à Alain,[],[],Helene Lamothe montre Alain,"['Helene', 'Lamothe', 'montre', 'Alain']","[u'helen', u'lamoth', u'montr', u'alain']",Helene Lamothe montre ça à Alain
78,78,10155965912767888_10155967932182888,377625007887_10155965912767888,,2017-12-22 13:19:42,0,0,0,0,0,0,0,0,Shirley Gagnon ! 🤔,[],[],Shirley Gagnon,"['Shirley', 'Gagnon']","[u'shirley', u'gagnon']",Shirley Gagnon ! 🤔
79,79,10155965912767888_10155968194062888,377625007887_10155965912767888,,2017-12-22 15:40:03,0,0,0,0,0,0,0,0,Pierre-Luc Pageau,[],[],Pierre Luc Pageau,"['Pierre', 'Luc', 'Pageau']","[u'pierr', u'luc', u'pageau']",Pierre-Luc Pageau
