,Unnamed: 0,Unnamed: 0.1,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type
10,10,10,10156125718112975_10156126261292975,401846167974_10156125718112975,10156125718112975_10156126178832975,2017-12-26 11:54:51,0,0,0,0,0,0,0,0,Oh boy. We're doomed,[],[],Oh boy doomed,"['Oh', 'boy', 'doomed']","['oh', u'boy', u'doom']",Oh boy. We're doomed,0.0,Neutral
11,11,11,10156125718112975_10156126449367975,401846167974_10156125718112975,,2017-12-26 13:33:00,1,1,0,0,0,0,0,0,Serves as a holding tank for a back up generator..snowblower.. water pump.. be prepared.,[],[],Serves holding tank back generator snowblower water pump prepared,"['Serves', 'holding', 'tank', 'back', 'generator', 'snowblower', 'water', 'pump', 'prepared']","[u'serv', u'hold', u'tank', u'back', u'generat', u'snowblow', u'water', u'pump', u'prepar']","Serves as a holding tank for a back up generator..snowblower..
water pump.. be prepared.",0.0,Neutral
12,12,12,10156122365767975_10156122764667975,401846167974_10156122365767975,,2017-12-25 10:49:23,0,0,0,0,0,0,0,0,Bonjour,[],[],Bonjour,['Bonjour'],[u'bonjour'],Bonjour,0.0,Neutral
13,13,13,10156121007022975_10156121085142975,401846167974_10156121007022975,,2017-12-24 20:45:57,0,0,0,0,0,0,0,0,Bonjour,[],[],Bonjour,['Bonjour'],[u'bonjour'],Bonjour,0.0,Neutral
14,14,14,10156108811257975_10156119442792975,401846167974_10156108811257975,,2017-12-24 10:34:14,1,0,0,0,1,0,0,0,2018,[],['https://www.theglobeandmail.com/opinion/editorials/globe-editorial-justin-trudeau-fails-his-ethics-test/article37399503/?cmpid=rss1&click=sf_globefb&utm_source=Faecbook&utm_medium=Paid+Social&utm_campaign=PM'],2018,['2018'],[u'2018'],https://www.theglobeandmail.com/opinion/editorials/globe-editorial-justin-trudeau-fails-his-ethics-test/article37399503/?cmpid=rss1&click=sf_globefb&utm_source=Faecbook&utm_medium=Paid+Social&utm_campaign=PM2018,0.0,Neutral
15,15,15,10156108811257975_10156119866442975,401846167974_10156108811257975,,2017-12-24 12:41:15,5,3,0,0,2,0,0,0,Uhm Santa doesn’t visit thieves and liars. Krampus does. Krampus will be visiting Trudeau.,[],[],Uhm Santa visit thieves liars Krampus Krampus visiting Trudeau,"['Uhm', 'Santa', 'visit', 'thieves', 'liars', 'Krampus', 'Krampus', 'visiting', 'Trudeau']","[u'uhm', u'santa', u'visit', u'thiev', u'liar', u'krampus', u'krampus', u'visit', u'trudeau']","Uhm Santa doesn’t visit thieves and liars. Krampus does. 
Krampus will be visiting Trudeau.",0.0,Neutral
16,16,16,10156108811257975_10156119883462975,401846167974_10156108811257975,,2017-12-24 12:48:22,0,0,0,0,0,0,0,0,Bonjour,[],[],Bonjour,['Bonjour'],[u'bonjour'],Bonjour,0.0,Neutral
17,17,17,10156119117617975_10156119849417975,401846167974_10156119117617975,,2017-12-24 12:38:58,3,3,0,0,0,0,0,0,A picture of a properly buckled baby might be a better add,[],[],picture properly buckled baby might better add,"['picture', 'properly', 'buckled', 'baby', 'might', 'better', 'add']","[u'pictur', u'proper', u'buckl', u'babi', u'might', u'better', u'add']",A picture of a properly buckled baby might be a better add 😂😫,0.25,Neutral
18,18,18,10156119117617975_10156120071447975,401846167974_10156119117617975,,2017-12-24 14:05:35,1,1,0,0,0,0,0,0,The belt is twisted and very loose... Lol,[],[],belt twisted loose Lol,"['belt', 'twisted', 'loose', 'Lol']","[u'belt', u'twist', u'loos', u'lol']",The belt is twisted and very loose... Lol,0.0666666666666667,Neutral
19,19,19,10156119117617975_10156130272952975,401846167974_10156119117617975,10156119117617975_10156120071447975,2017-12-27 23:43:06,0,0,0,0,0,0,0,0,Isn't the chest clip a bit above the armpits too? So weird for the very people that should REALLY know their car seat safety to put out this ad! LoL,[],[],chest clip bit armpits weird people REALLY know car seat safety put ad LoL,"['chest', 'clip', 'bit', 'armpits', 'weird', 'people', 'REALLY', 'know', 'car', 'seat', 'safety', 'put', 'ad', 'LoL']","[u'chest', u'clip', u'bit', u'armpit', u'weird', u'peopl', u'realli', u'know', u'car', u'seat', u'safeti', u'put', 'ad', u'lol']","Isn't the chest clip a bit above the armpits too? 
So weird for the very people that should REALLY know their car seat safety to put out this ad! LoL",0.15,Neutral
20,20,20,10156119117617975_10156130273237975,401846167974_10156119117617975,10156119117617975_10156120071447975,2017-12-27 23:43:25,0,0,0,0,0,0,0,0,"Laura, you just did the course, care to weigh in? LoL",[],[],Laura course care weigh LoL,"['Laura', 'course', 'care', 'weigh', 'LoL']","[u'laura', u'cours', u'care', u'weigh', u'lol']","Laura, you just did the course, care to weigh in? LoL",0.8,Positive
21,21,21,10156119117617975_10156130287072975,401846167974_10156119117617975,10156119117617975_10156120071447975,2017-12-27 23:55:05,1,1,0,0,0,0,0,0,Britt Howarth might be. Hard to say from the angle. Lol,[],[],Britt Howarth might Hard say angle Lol,"['Britt', 'Howarth', 'might', 'Hard', 'say', 'angle', 'Lol']","[u'britt', u'howarth', u'might', u'hard', u'say', u'angl', u'lol']",Britt Howarth might be. Hard to say from the angle. Lol,0.25416666666666665,Neutral
22,22,22,10156119117617975_10156120314642975,401846167974_10156119117617975,,2017-12-24 15:45:51,0,0,0,0,0,0,0,0,Wonderful message. Every passenger should be restrained.,[],[],Wonderful message Every passenger restrained,"['Wonderful', 'message', 'Every', 'passenger', 'restrained']","[u'wonder', u'messag', u'everi', u'passeng', u'restrain']",Wonderful message. Every passenger should be restrained.,1.0,Positive
23,23,23,10156119117617975_10156123703212975,401846167974_10156119117617975,,2017-12-25 16:35:59,0,0,0,0,0,0,0,0,Bonjour,[],[],Bonjour,['Bonjour'],[u'bonjour'],Bonjour,0.0,Neutral
24,24,24,10156119117617975_10156125758937975,401846167974_10156119117617975,,2017-12-26 08:19:08,0,0,0,0,0,0,0,0,Andrew Smith,[],[],Andrew Smith,"['Andrew', 'Smith']","[u'andrew', u'smith']",Andrew Smith,0.0,Neutral
25,25,25,10156119117617975_10156150687852975,401846167974_10156119117617975,,2018-01-03 22:01:59,1,1,0,0,0,0,0,0,Kara,[],[],Kara,['Kara'],[u'kara'],Kara 😊,0.0,Neutral
26,26,26,10156116586357975_10156116600087975,401846167974_10156116586357975,,2017-12-23 10:08:14,0,0,0,0,0,0,0,0,Idiots.,[],[],Idiots,['Idiots'],[u'idiot'],Idiots.,-0.8,Negative
27,27,27,10156116586357975_10156116602597975,401846167974_10156116586357975,,2017-12-23 10:09:21,1,0,0,0,1,0,0,0,Reindeer stall speed is trots,[],[],Reindeer stall speed trots,"['Reindeer', 'stall', 'speed', 'trots']","[u'reindeer', u'stall', u'speed', u'trot']",Reindeer stall speed is 25 trots,0.0,Neutral
28,28,28,10156116586357975_10156116673227975,401846167974_10156116586357975,,2017-12-23 10:35:11,1,1,0,0,0,0,0,0,Bruno Flageol. I found an aircraft slower than the dh8 !!! Look at that!,[],[],Bruno Flageol found aircraft slower dh8 Look,"['Bruno', 'Flageol', 'found', 'aircraft', 'slower', 'dh8', 'Look']","[u'bruno', u'flageol', u'found', u'aircraft', u'slower', u'dh8', u'look']",Bruno Flageol. I found an aircraft slower than the dh8 100!!! Look at that!,0.0,Neutral
29,29,29,10156116586357975_10156116690022975,401846167974_10156116586357975,,2017-12-23 10:42:41,0,0,0,0,0,0,0,0,Given he has to visit several billion homes in hours hes going to travelling well over the speed of light,[],[],Given visit several billion homes hours hes going travelling well speed light,"['Given', 'visit', 'several', 'billion', 'homes', 'hours', 'hes', 'going', 'travelling', 'well', 'speed', 'light']","[u'given', u'visit', u'sever', u'billion', u'home', u'hour', u'hes', u'go', u'travel', u'well', u'speed', u'light']",Given he has to visit several billion homes in 24hours hes going to travelling well over the speed of light,0.2,Neutral
30,30,30,10156116586357975_10156116809902975,401846167974_10156116586357975,,2017-12-23 11:26:32,0,0,0,0,0,0,0,0,"Im surprised he hasn't been regulated out of the sky ,..I wonder how far in advance he had to file his SFOC ,.& if hes is considered recreational or commercial & over grams ,..& if he has to be registered & marked with his personal address ,..oh wait that's only Canadians that get drones for Christmas ,..",[],[],Im surprised regulated sky wonder far advance file SFOC hes considered recreational commercial grams registered marked personal address oh wait Canadians get drones Christmas,"['Im', 'surprised', 'regulated', 'sky', 'wonder', 'far', 'advance', 'file', 'SFOC', 'hes', 'considered', 'recreational', 'commercial', 'grams', 'registered', 'marked', 'personal', 'address', 'oh', 'wait', 'Canadians', 'get', 'drones', 'Christmas']","['im', u'surpris', u'regul', u'sky', u'wonder', u'far', u'advanc', u'file', u'sfoc', u'hes', u'consid', u'recreat', u'commerci', u'gram', u'regist', u'mark', u'person', u'address', 'oh', u'wait', u'canadian', u'get', u'drone', u'christma']","Im surprised he hasn't been regulated out of the sky ,..I wonder how far in advance he had to file his SFOC  ,.& if hes is considered recreational or commercial  & over 250 grams ,..& if he has to be registered & marked with his personal address ,..oh wait that's only Canadians that get drones for Christmas ,..",0.05000000000000001,Neutral
31,31,31,10156116586357975_10156116830562975,401846167974_10156116586357975,,2017-12-23 11:31:53,0,0,0,0,0,0,0,0,knots is way to slow for Santa. I think you meant to say slow to knots. I'm sure our good friends NORAD will say knots is much too slow.,[],[],knots way slow Santa think meant say slow knots sure good friends NORAD say knots much slow,"['knots', 'way', 'slow', 'Santa', 'think', 'meant', 'say', 'slow', 'knots', 'sure', 'good', 'friends', 'NORAD', 'say', 'knots', 'much', 'slow']","[u'knot', u'way', u'slow', u'santa', u'think', u'meant', u'say', u'slow', u'knot', u'sure', u'good', u'friend', u'norad', u'say', u'knot', u'much', u'slow']","10 knots is way to slow for Santa. 
I think you meant to say slow to 100 knots. 😉  
I'm sure our good friends @ NORAD will say 10 knots is much too slow.",0.0833333333333333,Neutral
32,32,32,10156116586357975_10156117145932975,401846167974_10156116586357975,,2017-12-23 13:31:40,0,0,0,0,0,0,0,0,"Graphic depicting all the kit F.A.A. requires of a foreign aircraft entering North America having originating from the arctic, one that is equipped to circumnavigate the earth with limited refueling consisting of carrots, cookies and milk, an aircraft that does many touch and goes - a flying sleigh with eight tiny reindeer and, occasionally, when landings are low visibility, one with a red nose. [[PHOTO]]",[],[],Graphic depicting kit requires foreign aircraft entering North America originating arctic one equipped circumnavigate earth limited refueling consisting carrots cookies milk aircraft many touch goes flying sleigh eight tiny reindeer occasionally landings low visibility one red nose PHOTO,"['Graphic', 'depicting', 'kit', 'requires', 'foreign', 'aircraft', 'entering', 'North', 'America', 'originating', 'arctic', 'one', 'equipped', 'circumnavigate', 'earth', 'limited', 'refueling', 'consisting', 'carrots', 'cookies', 'milk', 'aircraft', 'many', 'touch', 'goes', 'flying', 'sleigh', 'eight', 'tiny', 'reindeer', 'occasionally', 'landings', 'low', 'visibility', 'one', 'red', 'nose', 'PHOTO']","[u'graphic', u'depict', u'kit', u'requir', u'foreign', u'aircraft', u'enter', u'north', u'america', u'origin', u'arctic', u'one', u'equip', u'circumnavig', u'earth', u'limit', u'refuel', u'consist', u'carrot', u'cooki', u'milk', u'aircraft', u'mani', u'touch', u'goe', u'fli', u'sleigh', u'eight', u'tini', u'reindeer', u'occasion', u'land', u'low', u'visibl', u'one', u'red', u'nose', u'photo']","Graphic depicting all the kit F.A.A. requires of a foreign aircraft entering North America having originating from the arctic, one that is equipped to circumnavigate the earth with limited refueling consisting of carrots, cookies and milk, an aircraft that does many touch and goes - a flying sleigh with eight tiny reindeer and, occasionally, when landings are low visibility, one with a red nose. [[PHOTO]]",0.037946428571428575,Neutral
33,33,33,10156116586357975_10156118544417975,401846167974_10156116586357975,,2017-12-24 01:15:01,0,0,0,0,0,0,0,0,"Does this apply to the harbour water ways in Vancouver as well? Resident Killer Whales have issues with boat noise in this high traffic area, or does Santa have a sleigh that will not interfere with the orcas echolocation?",[],[],apply harbour water ways Vancouver well Resident Killer Whales issues boat noise high traffic area Santa sleigh interfere orcas echolocation,"['apply', 'harbour', 'water', 'ways', 'Vancouver', 'well', 'Resident', 'Killer', 'Whales', 'issues', 'boat', 'noise', 'high', 'traffic', 'area', 'Santa', 'sleigh', 'interfere', 'orcas', 'echolocation']","[u'appli', u'harbour', u'water', u'way', u'vancouv', u'well', u'resid', u'killer', u'whale', u'issu', u'boat', u'nois', u'high', u'traffic', u'area', u'santa', u'sleigh', u'interfer', u'orca', u'echoloc']","Does this apply to the harbour water ways in Vancouver as well? Resident Killer Whales have issues with boat noise in this high traffic area, or does Santa have a sleigh that will not interfere with the orcas echolocation?",0.16,Neutral
34,34,34,10156115098957975_10156115181797975,401846167974_10156115098957975,,2017-12-22 20:48:05,0,0,0,0,0,0,0,0,Bonjour,[],[],Bonjour,['Bonjour'],[u'bonjour'],Bonjour,0.0,Neutral
35,35,35,10156114490382975_10156114703492975,401846167974_10156114490382975,,2017-12-22 17:19:37,0,0,0,0,0,0,0,0,Quintin Grant,[],[],Quintin Grant,"['Quintin', 'Grant']","[u'quintin', u'grant']",Quintin Grant,0.0,Neutral
36,36,36,10156114490382975_10156114717237975,401846167974_10156114490382975,,2017-12-22 17:27:28,1,1,0,0,0,0,0,0,Have you been talking to santa clause?,[],[],talking santa clause,"['talking', 'santa', 'clause']","[u'talk', u'santa', u'claus']",Have you been talking to santa clause?,0.0,Neutral
37,37,37,10156114305682975_10156114311417975,401846167974_10156114305682975,,2017-12-22 14:38:18,0,0,0,0,0,0,0,0,and in the mean time in saskachewan brad wall screwed the province gave us over a billion and a half dollar debt and destroyed the STC and jacked up taxes then he moved out of the province!!! real nice jackass,[],[],mean time saskachewan brad wall screwed province gave us billion half dollar debt destroyed STC jacked taxes moved province real nice jackass,"['mean', 'time', 'saskachewan', 'brad', 'wall', 'screwed', 'province', 'gave', 'us', 'billion', 'half', 'dollar', 'debt', 'destroyed', 'STC', 'jacked', 'taxes', 'moved', 'province', 'real', 'nice', 'jackass']","[u'mean', u'time', u'saskachewan', u'brad', u'wall', u'screw', u'provinc', u'gave', 'us', u'billion', u'half', u'dollar', u'debt', u'destroy', u'stc', u'jack', u'tax', u'move', u'provinc', u'real', u'nice', u'jackass']",and in the mean time in saskachewan brad wall screwed the province gave us over a billion and a half dollar debt and destroyed the STC and jacked up taxes then he moved out of the province!!! real nice jackass,-0.05950520833333334,Neutral
38,38,38,10156113907992975_10156113943907975,401846167974_10156113907992975,,2017-12-22 12:13:05,0,0,0,0,0,0,0,0,Mike Bell,[],[],Mike Bell,"['Mike', 'Bell']","[u'mike', u'bell']",Mike Bell,0.0,Neutral
39,39,39,10156113907992975_10156114026767975,401846167974_10156113907992975,,2017-12-22 12:34:34,0,0,0,0,0,0,0,0,"If a Bic Lighter has compressed gas and elodes like a half stick of dynamite, how much will a bus elode like. Mmmmmmm, bye bye city block.",[],[],Bic Lighter compressed gas elodes like half stick dynamite much bus elode like Mmmmmmm bye bye city block,"['Bic', 'Lighter', 'compressed', 'gas', 'elodes', 'like', 'half', 'stick', 'dynamite', 'much', 'bus', 'elode', 'like', 'Mmmmmmm', 'bye', 'bye', 'city', 'block']","[u'bic', u'lighter', u'compress', u'gas', u'elod', u'like', u'half', u'stick', u'dynamit', u'much', u'bus', u'elod', u'like', u'mmmmmmm', u'bye', u'bye', u'citi', u'block']","If a Bic Lighter has compressed gas and explodes like a half stick of dynamite, how much will a bus explode like.  Mmmmmmm, bye bye city block.",0.016666666666666677,Neutral
40,40,40,10156113907992975_10156115369732975,401846167974_10156113907992975,10156113907992975_10156114026767975,2017-12-22 22:14:25,0,0,0,0,0,0,0,0,They have failsafes built into them to release pressure. I've seen a few videos it's dramatic,[],[],failsafes built release pressure seen videos dramatic,"['failsafes', 'built', 'release', 'pressure', 'seen', 'videos', 'dramatic']","[u'failsaf', u'built', u'releas', u'pressur', u'seen', u'video', u'dramat']",They have failsafes built into them to release pressure. I've seen a few videos it's dramatic,-0.31666666666666665,Neutral
41,41,41,10156113907992975_10156116489812975,401846167974_10156113907992975,10156113907992975_10156114026767975,2017-12-23 09:16:00,0,0,0,0,0,0,0,0,Colin M Nutt awesome. The titanic was unsinkable.,[],[],Colin Nutt awesome titanic unsinkable,"['Colin', 'Nutt', 'awesome', 'titanic', 'unsinkable']","[u'colin', u'nutt', u'awesom', u'titan', u'unsink']",Colin M Nutt awesome.  The titanic was unsinkable.,1.0,Positive
42,42,42,10156113907992975_10156115177662975,401846167974_10156113907992975,,2017-12-22 20:45:53,0,0,0,0,0,0,0,0,Bonjour,[],[],Bonjour,['Bonjour'],[u'bonjour'],Bonjour,0.0,Neutral
43,43,43,10156113907992975_10156115376257975,401846167974_10156113907992975,,2017-12-22 22:15:32,0,0,0,0,0,0,0,0,Maybe they should invest in electric buses instead... natural gas is still a fossil fuel that requires extraction transportation and burning further exasperating climate change,[],[],Maybe invest electric buses instead natural gas still fossil fuel requires extraction transportation burning exasperating climate change,"['Maybe', 'invest', 'electric', 'buses', 'instead', 'natural', 'gas', 'still', 'fossil', 'fuel', 'requires', 'extraction', 'transportation', 'burning', 'exasperating', 'climate_change']","[u'mayb', u'invest', u'electr', u'buse', u'instead', u'natur', u'gas', u'still', u'fossil', u'fuel', u'requir', u'extract', u'transport', u'burn', u'exasper', u'climate_chang']",Maybe they should invest in electric buses instead... natural gas is still a fossil fuel that requires extraction transportation and burning further exasperating climate change,0.05,Neutral
44,44,44,10156113359497975_10156113585962975,401846167974_10156113359497975,,2017-12-22 10:15:15,0,0,0,0,0,0,0,0,Merry Christmas to you,[],[],Merry Christmas,"['Merry', 'Christmas']","[u'merri', u'christma']",Merry Christmas to you,0.0,Neutral
45,45,45,10156113359497975_10156113725112975,401846167974_10156113359497975,,2017-12-22 11:18:28,1,1,0,0,0,0,0,0,Oleg Gushchin,[],[],Oleg Gushchin,"['Oleg', 'Gushchin']","[u'oleg', u'gushchin']",Oleg Gushchin 😂,0.0,Neutral
46,46,46,10156113359497975_10156114093032975,401846167974_10156113359497975,10156113359497975_10156113725112975,2017-12-22 13:08:57,0,0,0,0,0,0,0,0,Good one,[],[],Good one,"['Good', 'one']","[u'good', u'one']",Good one 😂,0.7,Positive
47,47,47,10156113359497975_10156113757602975,401846167974_10156113359497975,,2017-12-22 11:25:18,0,0,0,0,0,0,0,0,Groaner but made me smile ! Thanks Transport and Infrastructure in Canada,[],[],Groaner made smile Thanks Transport Infrastructure Canada,"['Groaner', 'made', 'smile', 'Thanks', 'Transport', 'Infrastructure', 'Canada']","[u'groaner', u'made', u'smile', u'thank', u'transport', u'infrastructur', u'canada']",Groaner but made me smile ! Thanks Transport and Infrastructure in Canada,0.2875,Neutral
48,48,48,10156113359497975_10156113767862975,401846167974_10156113359497975,,2017-12-22 11:28:00,0,0,0,0,0,0,0,0,I motion to put this on the cover of the next edition of the AIM !!!🤣,[],[],motion put cover next edition AIM,"['motion', 'put', 'cover', 'next', 'edition', 'AIM']","[u'motion', u'put', u'cover', u'next', u'edit', u'aim']",I motion to put this on the cover of the next edition of the AIM !!!🤣✈,0.0,Neutral
49,49,49,10156113359497975_10156113956907975,401846167974_10156113359497975,,2017-12-22 12:19:04,0,0,0,0,0,0,0,0,🤦‍️,[],[],,[],[],🤦🏻‍♂️,0.0,Neutral
50,50,50,10156113359497975_10156114093267975,401846167974_10156113359497975,,2017-12-22 13:09:05,1,1,0,0,0,0,0,0,Alyssa Holt,[],[],Alyssa Holt,"['Alyssa', 'Holt']","[u'alyssa', u'holt']",Alyssa Holt,0.0,Neutral
51,51,51,10156113359497975_10156114214617975,401846167974_10156113359497975,,2017-12-22 13:58:19,0,0,0,0,0,0,0,0,Kloe Saigwan Syroy,[],[],Kloe Saigwan Syroy,"['Kloe', 'Saigwan', 'Syroy']","[u'kloe', u'saigwan', u'syroy']",Kloe Saigwan Syroy,0.0,Neutral
52,52,52,10156113359497975_10156114436667975,401846167974_10156113359497975,,2017-12-22 15:37:01,2,2,0,0,0,0,0,0,Chanel Cole Jax Cole,[],[],Chanel Cole Jax Cole,"['Chanel', 'Cole', 'Jax', 'Cole']","[u'chanel', u'cole', u'jax', u'cole']",Chanel Cole Jax Cole,0.0,Neutral
53,53,53,10156113359497975_10156115161187975,401846167974_10156113359497975,10156113359497975_10156114436667975,2017-12-22 20:37:22,0,0,0,0,0,0,0,0,Hahaha,[],[],Hahaha,['Hahaha'],[u'hahaha'],Hahaha 🙈,0.2,Neutral
54,54,54,10156113359497975_10156115105222975,401846167974_10156113359497975,,2017-12-22 20:03:32,0,0,0,0,0,0,0,0,Bonjour,[],[],Bonjour,['Bonjour'],[u'bonjour'],Bonjour,0.0,Neutral
55,55,55,10156113359497975_10156115251072975,401846167974_10156113359497975,,2017-12-22 21:32:22,0,0,0,0,0,0,0,0,Good one!,[],[],Good one,"['Good', 'one']","[u'good', u'one']",Good one!,0.875,Positive
56,56,56,10156113359497975_10156121043342975,401846167974_10156113359497975,,2017-12-24 20:21:28,0,0,0,0,0,0,0,0,"I hate to be the one to tell you, but ... don't quit your day job.",[],[],hate one tell quit day job,"['hate', 'one', 'tell', 'quit', 'day', 'job']","[u'hate', u'one', u'tell', u'quit', u'day', u'job']","I hate to be the one to tell you, but ... don't quit your day job.",-0.8,Negative
57,57,57,10156111964217975_10156112168732975,401846167974_10156111964217975,,2017-12-21 19:32:19,0,0,0,0,0,0,0,0,Brad Massey,[],[],Brad Massey,"['Brad', 'Massey']","[u'brad', u'massey']",Brad Massey,0.0,Neutral
58,58,58,10156111964217975_10156112186612975,401846167974_10156111964217975,,2017-12-21 19:38:34,0,0,0,0,0,0,0,0,Thomas Archer Shelby Jean Leah Lamey not sure what years you guys have,[],[],Thomas Archer Shelby Jean Leah Lamey sure years guys,"['Thomas', 'Archer', 'Shelby', 'Jean', 'Leah', 'Lamey', 'sure', 'years', 'guys']","[u'thoma', u'archer', u'shelbi', u'jean', u'leah', u'lamey', u'sure', u'year', u'guy']",Thomas Archer Shelby Jean Leah Lamey not sure what years you guys have,-0.25,Neutral
59,59,59,10156111964217975_10156112207092975,401846167974_10156111964217975,10156111964217975_10156112186612975,2017-12-21 19:45:01,1,1,0,0,0,0,0,0,lol I’m good,[],[],lol good,"['lol', 'good']","[u'lol', u'good']",2016 lol I’m good,0.75,Positive
60,60,60,10156111964217975_10156113616152975,401846167974_10156111964217975,10156111964217975_10156112186612975,2017-12-22 10:34:05,0,0,0,0,0,0,0,0,I think this happened to my,[],[],think happened,"['think', 'happened']","[u'think', u'happen']",I think this happened to my 14,0.0,Neutral
61,61,61,10156111964217975_10156113783257975,401846167974_10156111964217975,10156111964217975_10156112186612975,2017-12-22 11:31:41,0,0,0,0,0,0,0,0,im sure that’s what happened,[],[],im sure happened,"['im', 'sure', 'happened']","['im', u'sure', u'happen']",im sure that’s what happened 😂,0.5,Positive
62,62,62,10156111964217975_10156112242207975,401846167974_10156111964217975,,2017-12-21 19:56:46,1,1,0,0,0,0,0,0,Don Prosser,[],[],Prosser,['Prosser'],[u'prosser'],Don Prosser,0.0,Neutral
63,63,63,10156111964217975_10156112242632975,401846167974_10156111964217975,,2017-12-21 19:56:52,0,0,0,0,0,0,0,0,Ryan L'Huillier,[],[],Ryan Huillier,"['Ryan', 'Huillier']","[u'ryan', u'huillier']",Ryan L'Huillier,0.0,Neutral
