,Unnamed: 0,Unnamed: 0.1,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type
10,10,10,1681286981922269_1687557877961846,1203325126385126_1681286981922269,1681286981922269_1681885258529108,2017-12-05 12:07:54,0,0,0,0,0,0,0,0,"Unfortunately, it appears that your openness and transparency on enforcement actions and the actual collection of monetary fines on this effective social media platform is slow or non-existent. Can you please comment on the accuracy of your - enforcement actions on the two major Canadian airlines? It doesn't seem to align to anecdotal and media reporting I'm seeing. Perhaps my query could be brought to the attention of one of these individuals? Fred Gaspar, Chief Compliance Officer Simona Sasova, Manager, Monitoring and Compliance",[],[],Unfortunately appears openness transparency enforcement actions actual collection monetary fines effective social media platform slow non existent please comment accuracy enforcement actions two major Canadian airlines seem align anecdotal media reporting seeing Perhaps query could brought attention one individuals Fred Gaspar Chief Compliance Officer Simona Sasova Manager Monitoring Compliance,"['Unfortunately', 'appears', 'openness', 'transparency', 'enforcement', 'actions', 'actual', 'collection', 'monetary', 'fines', 'effective', 'social', 'media', 'platform', 'slow', 'non', 'existent', 'please', 'comment', 'accuracy', 'enforcement', 'actions', 'two', 'major', 'Canadian', 'airlines', 'seem', 'align', 'anecdotal', 'media', 'reporting', 'seeing', 'Perhaps', 'query', 'could', 'brought', 'attention', 'one', 'individuals', 'Fred', 'Gaspar', 'Chief', 'Compliance', 'Officer', 'Simona', 'Sasova', 'Manager', 'Monitoring', 'Compliance']","[u'unfortun', u'appear', u'open', u'transpar', u'enforc', u'action', u'actual', u'collect', u'monetari', u'fine', u'effect', u'social', u'media', u'platform', u'slow', u'non', u'exist', u'pleas', u'comment', u'accuraci', u'enforc', u'action', u'two', u'major', u'canadian', u'airlin', u'seem', u'align', u'anecdot', u'media', u'report', u'see', u'perhap', u'queri', u'could', u'brought', u'attent', u'one', u'individu', u'fred', u'gaspar', u'chief', u'complianc', u'offic', u'simona', u'sasova', u'manag', u'monitor', u'complianc']","Unfortunately, it appears that your openness and transparency on enforcement actions and the actual collection of monetary fines on this effective social media platform is slow or non-existent.

Can you please comment on the accuracy of your 2016 - 2017 enforcement actions on the two major Canadian airlines?  It doesn't seem to align to anecdotal and media reporting I'm seeing.

Perhaps my query could be brought to the attention of one of these individuals?

Fred Gaspar, Chief Compliance Officer
Simona Sasova, Manager, Monitoring and Compliance",-0.017361111111111122,Neutral
11,11,11,1681286981922269_1682658281785139,1203325126385126_1681286981922269,,2017-11-30 19:34:13,2,2,0,0,0,0,0,0,"This is nothing to be proud of--a true regulator would have fined the airlines for egregious infringements while maintaining arms length from the industry it regulates. The most recent ""enforcement"" against Air Transat is a good example. Had this happened under the EU guidelines, those passengers would have been entitled to assistance (nourishment, accommodation, communication), rerouting, and euro per person. It is despicable that Canadians have to rely on a foreign regulator for protection because our own ""regulator"" is too busy patting themselves on the back for doing nothing, censoring posts on Facebook and kissing up to the airline it regulates. Your proper response is shame, not gloating.",[],[],nothing proud true regulator would fined airlines egregious infringements maintaining arms length industry regulates recent enforcement Air Transat good example happened EU guidelines passengers would entitled assistance nourishment accommodation communication rerouting euro per person despicable Canadians rely foreign regulator protection regulator busy patting back nothing censoring posts Facebook kissing airline regulates proper response shame gloating,"['nothing', 'proud', 'true', 'regulator', 'would', 'fined', 'airlines', 'egregious', 'infringements', 'maintaining', 'arms', 'length', 'industry', 'regulates', 'recent', 'enforcement', 'Air', 'Transat', 'good', 'example', 'happened', 'EU', 'guidelines', 'passengers', 'would', 'entitled', 'assistance', 'nourishment', 'accommodation', 'communication', 'rerouting', 'euro', 'per', 'person', 'despicable', 'Canadians', 'rely', 'foreign', 'regulator', 'protection', 'regulator', 'busy', 'patting', 'back', 'nothing', 'censoring', 'posts', 'Facebook', 'kissing', 'airline', 'regulates', 'proper', 'response', 'shame', 'gloating']","[u'noth', u'proud', u'true', u'regul', u'would', u'fine', u'airlin', u'egregi', u'infring', u'maintain', u'arm', u'length', u'industri', u'regul', u'recent', u'enforc', u'air', u'transat', u'good', u'exampl', u'happen', 'eu', u'guidelin', u'passeng', u'would', u'entitl', u'assist', u'nourish', u'accommod', u'communic', u'rerout', u'euro', u'per', u'person', u'despic', u'canadian', u'reli', u'foreign', u'regul', u'protect', u'regul', u'busi', u'pat', u'back', u'noth', u'censor', u'post', u'facebook', u'kiss', u'airlin', u'regul', u'proper', u'respons', u'shame', u'gloat']","This is nothing to be proud of--a true regulator would have fined the airlines for egregious infringements while maintaining arms length from the industry it regulates. The most recent ""enforcement"" against Air Transat is a good example. Had this happened under the EU guidelines, those passengers would have been entitled to assistance (nourishment, accommodation, communication), rerouting, and 600euro per person. It is despicable that Canadians have to rely on a foreign regulator for protection because our own ""regulator"" is too busy patting themselves on the back for doing nothing, censoring posts on Facebook and kissing up to the airline it regulates. Your proper response is shame, not gloating.",0.2925,Neutral
12,12,12,1681286981922269_1682824671768500,1203325126385126_1681286981922269,,2017-11-30 23:19:50,2,2,0,0,0,0,0,0,"Not impressed at all CTA! Under my calculations k / passengers only equates to per passenger, which according to the ruling will be waived if they compensate passengers. According to the Montreal convention an airline is required to pay up to euros or per passenger for delay over hrs. It is my opinion that a plane sitting on the tarmac even if it was due to weather should be liable to some extent for the delay. Given the media attention this had, the CTA should have went for the maximum of which would have brought the fine closer to ! There is a huge lack of transparency in the CTA as to how the k was even reached, considering the airline already agreed to pay each passenger so as to save face. In bed with the airlines much? My tax dollars pay for you to regulate the industry. Better try again!",[],[],impressed CTA calculations passengers equates per passenger according ruling waived compensate passengers According Montreal convention airline required pay euros per passenger delay hrs opinion plane sitting tarmac even due weather liable extent delay Given media attention CTA went maximum would brought fine closer huge lack transparency CTA even reached considering airline already agreed pay passenger save face bed airlines much tax dollars pay regulate industry Better try,"['impressed', 'CTA', 'calculations', 'passengers', 'equates', 'per', 'passenger', 'according', 'ruling', 'waived', 'compensate', 'passengers', 'According', 'Montreal', 'convention', 'airline', 'required', 'pay', 'euros', 'per', 'passenger', 'delay', 'hrs', 'opinion', 'plane', 'sitting', 'tarmac', 'even', 'due', 'weather', 'liable', 'extent', 'delay', 'Given', 'media', 'attention', 'CTA', 'went', 'maximum', 'would', 'brought', 'fine', 'closer', 'huge', 'lack', 'transparency', 'CTA', 'even', 'reached', 'considering', 'airline', 'already', 'agreed', 'pay', 'passenger', 'save', 'face', 'bed', 'airlines', 'much', 'tax', 'dollars', 'pay', 'regulate', 'industry', 'Better', 'try']","[u'impress', u'cta', u'calcul', u'passeng', u'equat', u'per', u'passeng', u'accord', u'rule', u'waiv', u'compens', u'passeng', u'accord', u'montreal', u'convent', u'airlin', u'requir', u'pay', u'euro', u'per', u'passeng', u'delay', u'hrs', u'opinion', u'plane', u'sit', u'tarmac', u'even', u'due', u'weather', u'liabl', u'extent', u'delay', u'given', u'media', u'attent', u'cta', u'went', u'maximum', u'would', u'brought', u'fine', u'closer', u'huge', u'lack', u'transpar', u'cta', u'even', u'reach', u'consid', u'airlin', u'alreadi', u'agre', u'pay', u'passeng', u'save', u'face', u'bed', u'airlin', u'much', u'tax', u'dollar', u'pay', u'regul', u'industri', u'better', u'tri']","Not impressed at all CTA! Under my calculations 295k / 600 passengers only equates to 491 per passenger, which according to the ruling will be waived if they compensate passengers. According to the Montreal convention an airline is required to pay up to 600 euros or 900 per passenger for delay over 3 hrs. It is my opinion that a plane sitting on the tarmac even if it was due to weather should be liable to some extent for the delay. Given the media attention this had, the CTA should have went for the maximum of 900 which would have brought the fine closer to 540000! There is a huge lack of transparency in the CTA as to how the 295k was even reached, considering the airline already agreed to pay each passenger 500 so as to save face. In bed with the airlines much? My tax dollars pay for you to regulate the industry. Better try again! 😠",0.12760416666666669,Neutral
13,13,13,1681286981922269_1683322285052072,1203325126385126_1681286981922269,1681286981922269_1682824671768500,2017-12-01 10:30:09,0,0,0,0,0,0,0,0,"I was thinking the same thing Zach ,but then I thought well maybe they will stick a plane in the air with mechanical issues if it can’t be fixed on time ,to avoid a fine .",[],[],thinking thing Zach thought well maybe stick plane air mechanical issues fixed time avoid fine,"['thinking', 'thing', 'Zach', 'thought', 'well', 'maybe', 'stick', 'plane', 'air', 'mechanical', 'issues', 'fixed', 'time', 'avoid', 'fine']","[u'think', u'thing', u'zach', u'thought', u'well', u'mayb', u'stick', u'plane', u'air', u'mechan', u'issu', u'fix', u'time', u'avoid', u'fine']","I was thinking the same thing Zach ,but then I thought well maybe they will stick a plane in the air with mechanical issues if it can’t be fixed on time ,to avoid a fine .",0.17222222222222225,Neutral
14,14,14,1681286981922269_1683561831694784,1203325126385126_1681286981922269,1681286981922269_1682824671768500,2017-12-01 15:03:12,0,0,0,0,0,0,0,0,"That's a good point, too. But really the issue here is why has the number of fines remained low, while the number of complaints have risen? After Mexico implemented it's Bill of passenger rights, they exceeded the dollar amount of fines to the airlines in Canada in just a few months. Meanwhile the CTA already has the provisions and mandate that Mexico has",[],[],good point really issue number fines remained low number complaints risen Mexico implemented Bill passenger rights exceeded dollar amount fines airlines Canada months Meanwhile CTA already provisions mandate Mexico,"['good', 'point', 'really', 'issue', 'number', 'fines', 'remained', 'low', 'number', 'complaints', 'risen', 'Mexico', 'implemented', 'Bill', 'passenger', 'rights', 'exceeded', 'dollar', 'amount', 'fines', 'airlines', 'Canada', 'months', 'Meanwhile', 'CTA', 'already', 'provisions', 'mandate', 'Mexico']","[u'good', u'point', u'realli', u'issu', u'number', u'fine', u'remain', u'low', u'number', u'complaint', u'risen', u'mexico', u'implement', u'bill', u'passeng', u'right', u'exceed', u'dollar', u'amount', u'fine', u'airlin', u'canada', u'month', u'meanwhil', u'cta', u'alreadi', u'provis', u'mandat', u'mexico']","That's a good point, too. But really the issue here is why has the number of fines remained low, while the number of complaints have risen? After Mexico implemented it's Bill of passenger rights, they exceeded the dollar amount of fines to the airlines in Canada in just a few months. Meanwhile the CTA already has the provisions and mandate that Mexico has",0.175,Neutral
15,15,15,1681286981922269_1682856981765269,1203325126385126_1681286981922269,,2017-12-01 00:07:40,0,0,0,0,0,0,0,0,"Great, except then you go ahead and do nothing:",[],['http://airpassengerrights.ca/en/blog/air-transat-s-295-000-fine-is-a-sham'],Great except go ahead nothing,"['Great', 'except', 'go', 'ahead', 'nothing']","[u'great', u'except', 'go', u'ahead', u'noth']","Great, except then you go ahead and do nothing: http://airpassengerrights.ca/en/blog/air-transat-s-295-000-fine-is-a-sham",0.8,Positive
16,16,16,1681286981922269_1683168031734164,1203325126385126_1681286981922269,,2017-12-01 07:35:41,1,1,0,0,0,0,0,0,"But not ONCE (except the recent Air Transat ruling, which even then is reduced by the amount AT pays out to customers) for an airline violating the terms of its tariffs with customers??",[],['http://www.cbc.ca/beta/news/business/cbc-marketplace-air-passenger-rights-1.4424826'],except recent Air Transat ruling even reduced amount pays customers airline violating terms tariffs customers,"['except', 'recent', 'Air', 'Transat', 'ruling', 'even', 'reduced', 'amount', 'pays', 'customers', 'airline', 'violating', 'terms', 'tariffs', 'customers']","[u'except', u'recent', u'air', u'transat', u'rule', u'even', u'reduc', u'amount', u'pay', u'custom', u'airlin', u'violat', u'term', u'tariff', u'custom']","But not ONCE (except the recent Air Transat ruling, which even then is reduced by the amount AT pays out to customers) for an airline violating the terms of its tariffs with customers?? http://www.cbc.ca/beta/news/business/cbc-marketplace-air-passenger-rights-1.4424826",0.0,Neutral
17,17,17,1681286981922269_1686663228051311,1203325126385126_1681286981922269,,2017-12-04 15:20:33,1,0,1,0,0,0,0,0,So how does the CTA intend to handle this one? 90 willfully and repeatedly breaking federal law? Yet no fines???,[],['http://www.cbc.ca/news/canada/edmonton/air-transat-edmonton-vancouver-cuba-customs-breach-1.44315'],CTA intend handle one 90 willfully repeatedly breaking federal law Yet fines,"['CTA', 'intend', 'handle', 'one', '90', 'willfully', 'repeatedly', 'breaking', 'federal', 'law', 'Yet', 'fines']","[u'cta', u'intend', u'handl', u'one', '90', u'will', u'repeat', u'break', u'feder', u'law', u'yet', u'fine']",So how does the CTA intend to handle this one? http://www.cbc.ca/news/canada/edmonton/air-transat-edmonton-vancouver-cuba-customs-breach-1.4431590 willfully and repeatedly breaking federal law? Yet no fines???,0.0,Neutral
18,18,18,1681286981922269_1687527244631576,1203325126385126_1681286981922269,,2017-12-05 11:30:03,0,0,0,0,0,0,0,0,"Unfortunately, the fines are, in some cases, a sham: they are not being collected.",[],['http://airpassengerrights.ca/en/blog/air-transat-s-295-000-fine-is-a-sham'],Unfortunately fines cases sham collected,"['Unfortunately', 'fines', 'cases', 'sham', 'collected']","[u'unfortun', u'fine', u'case', u'sham', u'collect']","Unfortunately, the fines are, in some cases, a sham: they are not being collected.
http://airpassengerrights.ca/en/blog/air-transat-s-295-000-fine-is-a-sham",-0.35,Negative
19,19,19,1681286981922269_1687597524624548,1203325126385126_1681286981922269,,2017-12-05 12:53:01,0,0,0,0,0,0,0,0,"Transparency. That's the heart of the matter with the Canadian Transportation Agency when it comes to earning the trust and respect of the Canadian traveling public. I'm sure you agree, CTA Chair & CEO Scott Steiner? I'm reading and closely following the recent, high profile Air Transat incident in Ottawa (Case -05835) where the CTA levied a fine of $295,000 due to be paid by Jan , . This appears to be a significant and appropriate penalty at first glance but becomes confusing, vague, and troubling when I read into the actual details on the CTA web page. Can you please disclose the actual penalty Air Transat will be paying given that I am reading that the CTA has ""discretion"" on the actual collection of said fine? This is confusing and very important to fully understand. Here are the postings I'm referencing:",['#'],"['https://otc-cta.gc.ca/eng/content/canadian-transportation-agency-issues-determination-air-transat-inquiry-air-carrier-pay', 'https://otc-cta.gc.ca/eng/backgrounder-canadian-transportation-agency-determination-2017-air-transat-tarmac-delay-inquiry', 'https://otc-cta.gc.ca/eng/air-transat-cover-letter-and-notice-violation']",Transparency heart matter Canadian Transportation Agency comes earning trust respect Canadian traveling public sure agree CTA Chair CEO Scott Steiner reading closely following recent high profile Air Transat incident Ottawa Case 05835 CTA levied fine 295 000 due paid Jan appears significant appropriate penalty first glance becomes confusing vague troubling read actual details CTA web page please disclose actual penalty Air Transat paying given reading CTA discretion actual collection said fine confusing important fully understand postings referencing,"['Transparency', 'heart', 'matter', 'Canadian', 'Transportation', 'Agency', 'comes', 'earning', 'trust', 'respect', 'Canadian', 'traveling', 'public', 'sure', 'agree', 'CTA', 'Chair', 'CEO', 'Scott', 'Steiner', 'reading', 'closely', 'following', 'recent', 'high', 'profile', 'Air', 'Transat', 'incident', 'Ottawa', 'Case', '05835', 'CTA', 'levied', 'fine', '295', '000', 'due', 'paid', 'Jan', 'appears', 'significant', 'appropriate', 'penalty', 'first', 'glance', 'becomes', 'confusing', 'vague', 'troubling', 'read', 'actual', 'details', 'CTA', 'web', 'page', 'please', 'disclose', 'actual', 'penalty', 'Air', 'Transat', 'paying', 'given', 'reading', 'CTA', 'discretion', 'actual', 'collection', 'said', 'fine', 'confusing', 'important', 'fully', 'understand', 'postings', 'referencing']","[u'transpar', u'heart', u'matter', u'canadian', u'transport', u'agenc', u'come', u'earn', u'trust', u'respect', u'canadian', u'travel', u'public', u'sure', u'agre', u'cta', u'chair', u'ceo', u'scott', u'steiner', u'read', u'close', u'follow', u'recent', u'high', u'profil', u'air', u'transat', u'incid', u'ottawa', u'case', u'05835', u'cta', u'levi', u'fine', u'295', u'000', u'due', u'paid', u'jan', u'appear', u'signific', u'appropri', u'penalti', u'first', u'glanc', u'becom', u'confus', u'vagu', u'troubl', u'read', u'actual', u'detail', u'cta', u'web', u'page', u'pleas', u'disclos', u'actual', u'penalti', u'air', u'transat', u'pay', u'given', u'read', u'cta', u'discret', u'actual', u'collect', u'said', u'fine', u'confus', u'import', u'fulli', u'understand', u'post', u'referenc']","Transparency.  That's the heart of the matter with the Canadian Transportation Agency when it comes to earning the trust and respect of the Canadian traveling public.  I'm sure you agree, CTA Chair & CEO Scott Steiner?

I'm reading and closely following the recent, high profile Air Transat incident in Ottawa (Case # 17-05835) where the CTA levied a fine of $295,000 due to be paid by Jan 3, 2018.  This appears to be a significant and appropriate penalty at first glance but becomes confusing, vague, and troubling when I read into the actual details on the CTA web page.

Can you please disclose the actual penalty Air Transat will be paying given that I am reading that the CTA has ""discretion"" on the actual collection of said fine?  This is confusing and very important to fully understand.  

Here are the postings I'm referencing: 

https://otc-cta.gc.ca/eng/content/canadian-transportation-agency-issues-determination-air-transat-inquiry-air-carrier-pay

https://otc-cta.gc.ca/eng/backgrounder-canadian-transportation-agency-determination-2017-air-transat-tarmac-delay-inquiry

https://otc-cta.gc.ca/eng/air-transat-cover-letter-and-notice-violation",0.10629629629629629,Neutral
20,20,20,1677939885590312_1681459715238329,1203325126385126_1677939885590312,,2017-11-29 15:29:44,1,1,0,0,0,0,0,0,We urge passengers to stay away from the Canadian Transportation Agency. Reasons not to Trust the Canadian Transportation Agency [[SHARE]],[],['http://airpassengerrights.ca/en/featured/5-reasons-not-to-trust-the-canadian-transportation-agency'],urge passengers stay away Canadian Transportation Agency Reasons Trust Canadian Transportation Agency SHARE,"['urge', 'passengers', 'stay', 'away', 'Canadian', 'Transportation', 'Agency', 'Reasons', 'Trust', 'Canadian', 'Transportation', 'Agency', 'SHARE']","[u'urg', u'passeng', u'stay', u'away', u'canadian', u'transport', u'agenc', u'reason', u'trust', u'canadian', u'transport', u'agenc', u'share']","We urge passengers to stay away from the Canadian Transportation Agency.

5 Reasons not to Trust the Canadian Transportation Agency
http://airpassengerrights.ca/en/featured/5-reasons-not-to-trust-the-canadian-transportation-agency [[SHARE]]",0.0,Neutral
21,21,21,1675866029131031_1680699598647674,1203325126385126_1675866029131031,,2017-11-28 22:40:15,0,0,0,0,0,0,0,0,"Any update on the Air Transat fiasco in Ottawa, or is your agency going to give them a pass on this one?",[],[],update Air Transat fiasco Ottawa agency going give pass one,"['update', 'Air', 'Transat', 'fiasco', 'Ottawa', 'agency', 'going', 'give', 'pass', 'one']","[u'updat', u'air', u'transat', u'fiasco', u'ottawa', u'agenc', u'go', u'give', u'pass', u'one']","Any update on the Air Transat fiasco in Ottawa, or is your agency going to give them a pass on this one?",0.0,Neutral
22,22,22,1675866029131031_1681647278552906,1203325126385126_1675866029131031,,2017-11-29 20:09:32,0,0,0,0,0,0,0,0,Probaby a pass....just like this one....they are a joke and a waste of money...in the airline's pockets,[],['https://globalnews.ca/video/3888521/air-canada-misled-consumer-transportation-regulator'],Probaby pass like one joke waste money airline pockets,"['Probaby', 'pass', 'like', 'one', 'joke', 'waste', 'money', 'airline', 'pockets']","[u'probabi', u'pass', u'like', u'one', u'joke', u'wast', u'money', u'airlin', u'pocket']","Probaby a pass....just like this one....they are a joke and a waste of money...in the airline's pockets 

https://globalnews.ca/video/3888521/air-canada-misled-consumer-transportation-regulator",-0.2,Neutral
23,23,23,1675866029131031_1682450915139209,1203325126385126_1675866029131031,,2017-11-30 14:39:52,1,1,0,0,0,0,0,0,"It took the CTA four months to come up with this? ""A federal agency has ordered Air Transat to cover out-of-pocket eenses for passengers who were caught in an hours-long tarmac delay this summer as part of a ruling that places the blame for the fiasco solely on the airline.""",[],[],took CTA four months come federal agency ordered Air Transat cover pocket eenses passengers caught hours long tarmac delay summer part ruling places blame fiasco solely airline,"['took', 'CTA', 'four', 'months', 'come', 'federal', 'agency', 'ordered', 'Air', 'Transat', 'cover', 'pocket', 'eenses', 'passengers', 'caught', 'hours', 'long', 'tarmac', 'delay', 'summer', 'part', 'ruling', 'places', 'blame', 'fiasco', 'solely', 'airline']","[u'took', u'cta', u'four', u'month', u'come', u'feder', u'agenc', u'order', u'air', u'transat', u'cover', u'pocket', u'eens', u'passeng', u'caught', u'hour', u'long', u'tarmac', u'delay', u'summer', u'part', u'rule', u'place', u'blame', u'fiasco', u'sole', u'airlin']","It took the CTA four months to come up with this?  ""A federal agency has ordered Air Transat to cover out-of-pocket expenses for passengers who were caught in an hours-long tarmac delay this summer as part of a ruling that places the blame for the fiasco solely on the airline.""",0.0,Neutral
