,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_shares,num_likes,Reactions_SUM,category,matched_keywords,language,average_sentiment_score,sentiment,account_name,,,,, ,Top 1,Top 2,Top 3
1,137563459593611_1323283714354907,4/5/2016 14:04,https://www.facebook.com/ParksCanada/photos/a.1323283411021604.1073741916.137563459593611/1323283714354907/?type=3,"On Monday, 87 Plains Bison calves were moved from Elk Island National Park to the Blackfeet Nation Reservation in Montana, their ancestral homeland. Partnering with Iinnii Initiative has been a unique conservation initiative and an international success. 
Happy homecoming bison!
 Wildlife Conservation Society WCS Canada Oakland Zoo","On Monday, Plains Bison calves were moved from Elk Island National Park to the Blackfeet Nation Reservation in Montana, their ancestral homeland. Partnering with Iinnii Initiative has been a unique conservation initiative and an international success. Happy homecoming bison! Wildlife Conservation Society WCS Canada Oakland Zoo",[],44,359,1895,2379,Environmental,"['park', 'conservation', 'wildlife', 'conservation']",en,0.119699549,positive,ParksCanada_facebook,,,,Bird Forest Coast Park,Nov,2794,2327,1942
2,137563459593611_1328540213829257,4/18/2016 7:45,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1328540213829257/?type=3,"Not sure where to go camping this summer? No worries! 
The Huffington Post Canada made a list of the 30 best places to camp in Canada and guess what? Ten of our national parks made the cut! 
See which ones here: http://ow.ly/10xLtv 

Photo taken in Waterton Lakes National Park (#5 on the list!)",Not sure where to go camping this summer? No worries! The Huffington Post Canada made a list of the best places to camp in Canada and guess what? Ten of our national parks made the cut! See which ones here: Photo taken in Waterton Lakes National Park ( on the list!),['#5'],55,332,1740,2214,Social,"['camping', 'summer', 'summer', 'camp', 'park', 'photo', 'park']",en,0.255737771,positive,ParksCanada_facebook,,,,Park Photo Instagram,Dec,2813,2383,2256
0,137563459593611_1344712718878673,5/8/2016 6:55,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1344712718878673/?type=3,Happy Mother's Day to all the momma bears out there! #TimeToConnect,Happy Mother's Day to all the momma bears out there!,['#TimeToConnect'],115,1964,8635,11478,unknown,[],en,0.115296112,positive,ParksCanada_facebook,,,,,,,,
1,137563459593611_1354186437931301,5/20/2016 8:15,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1354186437931301/?type=3,"Happy Friday Follower Photo!!!
This mesmerizing shot of Waterfowl Lake in Banff National Park comes to us from Harry R. who captioned it: ""A time for reflection.""

Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.","Happy Friday Follower Photo!!! This mesmerizing shot of Waterfowl Lake in Banff National Park comes to us from Harry R. who captioned it: ""A time for reflection."" Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",[],185,1089,7092,9031,Social,"['lake', 'park', 'photo', 'photo', 'photo']",en,0.058490566,positive,ParksCanada_facebook,,,,,,,,
2,137563459593611_1340579375958674,5/1/2016 9:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1340579375958674/?type=3,Elk Island National Park may be the only place in Canada where you can get stuck in a bison traffic jam!,Elk Island National Park may be the only place in Canada where you can get stuck in a bison traffic jam!,[],162,841,5325,6678,Environmental,['park'],en,0.04035564,positive,ParksCanada_facebook,,,,,,,,
0,318424514044_10154848488474045,6/13/2016 9:24,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/photos/a.10150107070389045.321637.318424514044/10153978724119045/?type=3,,,[],49,353,3005,3481,unknown,[],tl,0.374828161,positive,EnvironmentandNaturalResourcesinCanada_facebook,,,,,,,,
1,137563459593611_1383609778322300,6/29/2016 8:05,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1383609778322300/?type=3,"The Amazing Race Canada kicked off with a bang last night at spectacular Jasper National Park! Thanks for visiting, racers! Were you watching? CTV","The Amazing Race Canada kicked off with a bang last night at spectacular Jasper National Park! Thanks for visiting, racers! Were you watching? CTV",[],69,237,2939,3435,Social,['race'],en,0.134267241,positive,ParksCanada_facebook,,,,,,,,
2,137563459593611_1360259033990708,6/8/2016 9:55,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1360259033990708/?type=3,"It's World Oceans Day! Did you know that Canada has the longest coastline (243,000 km total!) in the world? Here's a look at Canada's national marine conservation areas: http://ow.ly/MoaTV 

Photo taken in Gwaii Haanas - Islands of Beauty.","It's World Oceans Day! Did you know that Canada has the longest coastline (243,000 km total!) in the world? Here's a look at Canada's national marine conservation areas: Photo taken in Gwaii Haanas - Islands of Beauty.",[],21,324,2096,2573,Environmental,"['marine', 'conservation', 'photo']",en,0.360615079,positive,ParksCanada_facebook,,,,,,,,
0,137563459593611_1389636671052944,7/8/2016 8:15,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1389636671052944/?type=3,"Happy Friday Follower Photo!!!
This amazing shot of Banff National Park comes to us from Glenn T. Did you know that Banff is Canada's first official national park?

Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.","Happy Friday Follower Photo!!! This amazing shot of Banff National Park comes to us from Glenn T. Did you know that Banff is Canada's first official national park? Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",[],70,321,2687,3323,Social,"['park', 'park', 'photo', 'photo', 'photo']",en,0.176844262,positive,ParksCanada_facebook,,,,,,,,
1,137563459593611_1384948318188446,7/4/2016 6:05,https://www.facebook.com/ParksCanada/videos/1384948318188446/,"Get up close and personal with #Montreal #jazz legend Oliver Jones as he recounts his childhood memories at the Lachine Canal!  
 
Watch the full #video here: https://youtu.be/rUIIMIXKkPc",Get up close and personal with legend Oliver Jones as he recounts his childhood memories at the Lachine Canal! Watch the full here: c,"['#Montreal', '#jazz', '#video']",70,838,1762,2868,Social,['#video'],en,0.24496552,positive,ParksCanada_facebook,,,,,,,,
2,137563459593611_1388278511188760,7/6/2016 9:33,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1388278511188760/?type=3,"Canada's largest national park, Wood Buffalo National Park, boasts the largest beaver dam in THE WORLD! Average beaver dams in Canada are 10 to 100 metres long. This one spans about 850 metres, an animal-made structure so large it is visible from space! http://ow.ly/Rbhp301W6vo #WildlifeWednesday","Canada's largest national park, Wood Buffalo National Park, boasts the largest beaver dam in THE WORLD! Average beaver dams in Canada are to metres long. This one spans about metres, an animal-made structure so large it is visible from space!",['#WildlifeWednesday'],53,322,1748,2290,Environmental,"['park', 'park', '#wildlifewednesday']",en,0.145225413,positive,ParksCanada_facebook,,,,,,,,
0,883120228472315_1005606166223720,8/25/2016 13:09,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1005606166223720/?type=3,Help shape future agricultural programs and services by completing our survey. We want to hear from you! http://ow.ly/VnTW303AmXC,Help shape future agricultural programs and services by completing our survey. We want to hear from you! C,[],569,1601,4071,6442,Social,"['future', 'service']",en,0,neutral,CanadianAgriculture_facebook,,,,,,,,
1,137563459593611_1416573761692568,8/15/2016 5:26,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1416573761692568/?type=3,Happy National #RelaxationDay!!!,Happy National !!!,['#RelaxationDay'],53,803,3110,4248,unknown,[],en,0.171198447,positive,ParksCanada_facebook,,,,,,,,
2,137563459593611_1403970619619549,8/1/2016 6:55,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1403970619619549/?type=3,"Happy birthday, Tuktut Nogait National Park! This stunning, remote park turns 20 years old today. http://ow.ly/PuJ7302ATOQ","Happy birthday, Tuktut Nogait National Park! This stunning, remote park turns years old today.",[],14,126,1383,1616,Environmental,['park'],en,0.352083333,positive,ParksCanada_facebook,,,,,,,,
0,137563459593611_1449415128408431,9/14/2016 7:15,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1449415128408431/?type=3,"Want to experience something completely different this fall? We're testing a variety of new accommodations, and reservations are still possible! Couples should try our Micro-Cube or Double-Tent for comfort, or the Cocoon Tree Bed or Goutte d’Ô for an experience like no other! Families and friends might want to try out our custom designed Tiny Home on Wheels. Find out more here: http://ow.ly/ilJm303ZBum","Want to eerience something completely different this fall? We're testing a variety of new accommodations, and reservations are still possible! Couples should try our Micro-Cube or Double-Tent for comfort, or the Cocoon Tree Bed or Goutte d’Ô for an eerience like no other! Families and friends might want to try out our custom designed Tiny Home on Wheels. Find out more here:",[],590,1721,5090,7862,Social,"['tree', 'friend', 'home']",en,0.049960692,positive,ParksCanada_facebook,,,,,,,,
1,137563459593611_1457661080917169,9/22/2016 10:48,https://www.facebook.com/ParksCanada/videos/1457661080917169/,"101 days left until 2017 and the start of an exciting year of #Canada150 celebrations!
For the occasion, we are taking you to our vast country's farthest points: the #4Corners of Canada. 
Wherever YOU are, join the Canada 150 countdown today!","days left until and the start of an exciting year of celebrations! For the occasion, we are taking you to our vast country's farthest points: the of Canada. Wherever YOU are, join the Canada countdown today!","['#Canada150', '#4Corners']",29,641,995,1749,Social,['#canada150'],en,0.176869172,positive,ParksCanada_facebook,,,,,,,,
2,137563459593611_1451187471564530,9/19/2016 7:35,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1451187471564530/?type=3,"The Micro-Cube’s contemporary design is sure to be a hit this fall! This experimental accommodation offers panoramic views of Riding Mountain National Park and Forillon National Park, Parks Canada! Reservations are still possible, find out more here: http://ow.ly/ilJm303ZBum","The Micro-Cube’s contemporary design is sure to be a hit this fall! This eerimental accommodation offers panoramic views of Riding Mountain National Park and Forillon National Park, Parks Canada! Reservations are still possible, find out more here:",[],64,200,1319,1678,Environmental,"['mountain', 'park', 'park']",en,0.066238239,positive,ParksCanada_facebook,,,,,,,,
0,137563459593611_1482943968388880,10/18/2016 5:55,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1482943968388880/?type=3,"Less than one week left to apply for the Parks Canada Northern Engagement Team! One of the best summer jobs in Canada….did we mention there’s an arctic expedition involved?

Applications are open October 16th-23rd for positions available in #Ottawa, #Vancouver and #Montreal.

More info: http://ow.ly/k020305gExV","Less than one week left to apply for the Parks Canada Northern Engagement Team! One of the best summer jobs in Canada….did we mention there’s an arctic eedition involved? Applications are open October th-23rd for positions available in , and . More info:","['#Ottawa', '#Vancouver', '#Montreal']",249,999,1446,2794,Social,"['northern', 'engagement', 'summer', 'summer', 'job', 'job', 'arctic', 'arctic', '#vancouver']",en,0.001685855,positive,ParksCanada_facebook,,,,,,,,
1,137563459593611_1482777848405492,10/17/2016 13:35,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1482777848405492/?type=3,These beautiful Fall colours at Kejimkujik National Park and National Historic Site make for such a perfect Monday scenery!,These beautiful Fall colours at Kejimkujik National Park and National Historic Site make for such a perfect Monday scenery!,[],25,192,1926,2353,Environmental,['park'],en,0.327911706,positive,ParksCanada_facebook,,,,,,,,
2,137563459593611_1464269196923024,10/6/2016 9:35,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1464269196923024/?type=3,"#ThrowbackThursday: While many things (like fashion) have changed since 1952, the natural beauty of Takakkaw falls in Yoho National Park stays the same! http://ow.ly/r2AF304GFQ1

Photo credit: Library and Archives Canada.",": While many things (like fashion) have changed since , the natural beauty of Takakkaw falls in Yoho National Park stays the same! 1 Photo credit: Library and Archives Canada.",['#ThrowbackThursday'],71,174,1940,2328,Social,"['natural', 'park', 'photo', 'library']",en,0.154919591,positive,ParksCanada_facebook,,,,,,,,
0,7.93478E+17,11/1/2016 15:42,['https://t.co/gbohCQNnkX'],"RT @VeteransENG_CA: This November, place a poppy on your profile picture to honour, thank and #RememberThem https://t.co/gbohCQNnkX https:/…",RT November place poppy profile picture honour thank RememberThem https co gbohCQNnkX https,['#RememberThem'],,2794,0,2794,unknown,[],en,0,Neutral,DFO_MPO_tweeter,,,,,,,,
1,137563459593611_1517254194957857,11/19/2016 9:35,http://ow.ly/nsit306j1z7,Canada's national bird: the #GrayJay! Did you know you can find them in forests (and parks!) from coast to coast? #CanadaBird http://ow.ly/nsit306j1z7,Canada's national bird: the ! Did you know you can find them in forests (and parks!) from coast to coast?,"['#GrayJay', '#CanadaBird']",109,474,1592,2327,Environmental,"['bird', 'forest', 'coast', 'coast']",en,0.192084606,positive,ParksCanada_facebook,,,,,,,,
2,137563459593611_1497983860218224,11/2/2016 8:12,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1497983860218224/?type=3,"You never know what you’ll see at #Ivvavik National Park base camp! While preparing to leave for a hike, Inuvialuit cultural host Joe Arey pointed out a muskox about 10 metres away on the banks of Sheep Creek. A wonderful surprise and great start to the day! #WildlifeWednesday

Plan YOUR visit: http://ow.ly/vOm5305DBkc","You never know what you’ll see at National Park base camp! While preparing to leave for a hike, Inuvialuit cultural host Joe Arey pointed out a muskox about metres away on the banks of Sheep Creek. A wonderful surprise and great start to the day! Plan YOUR visit: c","['#Ivvavik', '#WildlifeWednesday']",27,103,1670,1942,Environmental,"['park', '#wildlifewednesday']",en,0.337883929,positive,ParksCanada_facebook,,,,,,,,
0,137563459593611_1543271082356168,12/9/2016 9:15,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1543271082356168/?type=3,"Happy Friday Follower Photo!!!

This stunning shot of Jasper National Park comes to us from @danielericmadrigal via Instagram. Don't forget to tag us (@parks.canada) and use #ParksCanada on IG so we can see your gorgeous parks pics! http://ow.ly/4eN9306WIbJ

Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.","Happy Friday Follower Photo!!! This stunning shot of Jasper National Park comes to us from via Instagram. Don't forget to tag us (.canada) and use on IG so we can see your gorgeous parks pics! Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",['#ParksCanada'],59,228,2254,2813,Social,"['park', 'instagram', 'parkscanada', '#parkscanada', 'park', 'photo', 'photo', 'photo']",en,0.178543147,positive,ParksCanada_facebook,,,,,,,,
1,137563459593611_1555062454510364,12/16/2016 15:35,https://www.facebook.com/parkscanadawpg/photos/a.532371003541987.1073741828.527844677327953/1025265394252543/?type=3,How cute is this picture? Have yourselves a great weekend everyone! Daisy Gilardini Photography Parks Canada WPG,How cute is this picture? Have yourselves a great weekend everyone! Daisy Gilardini Photography Parks Canada WPG,[],38,0,1988,2383,unknown,[],en,0.199572981,positive,ParksCanada_facebook,,,,,,,,
2,137563459593611_1533550833328193,12/2/2016 12:19,,"We are thrilled that so many of you are excited for Canada150 and the free souvenir 2017 Parks Canada Discovery Pass. Due to the exceptionally high volume of Discovery Pass online orders, you may experience delays in accessing the site. 

We wish to remind those who are trying to order their pass online that this is not a limited time offer and encourage you to come back and try again later. If you are planning to visit soon, passes are also available at Parks Canada locations across the country starting January 1, 2017. 

We look forward to welcoming all visitors to experience the best of Canada’s natural and cultural heritage in 2017.","We are thrilled that so many of you are excited for Canada150 and the free souvenir Parks Canada Discovery Pass. Due to the exceptionally high volume of Discovery Pass online orders, you may eerience delays in accessing the site. We wish to remind those who are trying to order their pass online that this is not a limited time offer and encourage you to come back and try again later. If you are planning to visit soon, passes are also available at Parks Canada locations across the country starting January , . We look forward to welcoming all visitors to eerience the best of Canada’s natural and cultural heritage in .",[],215,686,1220,2256,Social,"['canada150', 'natural', 'heritage']",en,0.049914773,positive,ParksCanada_facebook,,,,,,,,
0,8.24301E+17,1/25/2017 16:59,"['https://t.co/TDQFOgQZCP', 'https://t.\xe2\x80\xa6']",RT @Bell_LetsTalk: Wake up and smell the coffee…it’s #BellLetsTalk Day! Here’s how you can get involved: https://t.co/TDQFOgQZCP https://t.…,RT Wake smell BellLetsTalk Day get involved https co TDQFOgQZCP https,['#BellLetsTalk'],,4715,0,4715,unknown,[],en,0,Neutral,GCIndigenous_tweeter,,,,,,,,
1,137563459593611_1581482985201644,1/7/2017 9:20,http://nyti.ms/2ib5O7L,"What an honour! The New York Times released their 52 Places to Go in 2017, and Canada ranked... number ONE! We're welcoming people from across the globe to celebrate #Canada150 with us. With over 200 national parks, historic sites and marine conservation areas to visit #FREE, you're sure to find something spectacular!","What an honour! The New York Times released their Places to Go in , and Canada ranked... number ONE! We're welcoming people from across the globe to celebrate with us. With over national parks, historic sites and marine conservation areas to visit , you're sure to find something spectacular!","['#Canada150', '#FREE']",41,764,2438,3508,Environmental,"['#canada150', 'park', 'marine', 'conservation']",en,0.157174242,positive,ParksCanada_facebook,,,,, ,Top 1,Top 2,Top 3
2,8.24978E+17,1/27/2017 13:49,['https://t.co/ZNBkCcU66J'],RT @Bell_LetsTalk: The final results are in! Thank you all for your unbelievable participation! #BellLetsTalk https://t.co/ZNBkCcU66J,RT final results Thank unbelievable participation BellLetsTalk https co ZNBkCcU66J,['#BellLetsTalk'],,3216,0,3216,unknown,[],en,-0.15625,Neutral,CCG_GCC_tweeter,,,,Canada150 Conservation Marine Park,Jan,4715,3508,3216
0,883120228472315_1168600633257605,2/9/2017 10:10,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1168600633257605/?type=3,Canadian researchers are helping reduce greenhouse gas emissions from cows. Find out how. http://ow.ly/67Xi308QixN,Canadian researchers are helping reduce greenhouse gas emissions from cows. Find out how.,[],2077,1539,5452,10780,Environmental,"['canadian', 'greenhouse_gas', 'emission']",en,0.053397519,positive,CanadianAgriculture_facebook,,,,Canadian Greenhouse Gas Emission Maple DYK,Feb,10780,10761,6802
1,883120228472315_1168625373255131,2/9/2017 10:50,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1168625373255131/?type=3,Canada produces a lot of maple syrup! Learn all about this Canadian icon. http://ow.ly/oKiN308OBQ5,Canada produces a lot of maple syrup! Learn all about this Canadian icon.,[],267,1678,7988,10761,Social,"['maple', 'canadian']",en,0.194777262,positive,CanadianAgriculture_facebook,,,,Park Wildlife Travel Photo Forest Ocean,Mar,3520,2269,2253
2,883120228472315_1168515283266140,2/9/2017 8:25,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1168515283266140/?type=3,DYK wheat can be used to create makeup and golf tees? Learn more about Canada's top crop. http://ow.ly/ACgQ308R6gX,DYK wheat can be used to create makeup and golf tees? Learn more about Canada's top crop.,[],403,872,5141,6802,Social,['dyk'],en,0,neutral,CanadianAgriculture_facebook,,,,Park Travel,Apr,18246,5307,4274
0,137563459593611_1664231686926773,3/24/2017 8:15,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1664231686926773/?type=3,"Happy Friday Follower Photo!!! This stunning shot of Waterton Lakes National Park comes to us from Laura L. Did you know that no other national park in Canada protects so much wildlife within such a small area? Travel Alberta http://ow.ly/fHim30acil7

Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.","Happy Friday Follower Photo!!! This stunning shot of Waterton Lakes National Park comes to us from Laura L. Did you know that no other national park in Canada protects so much wildlife within such a small area? Travel Alberta Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",[],75,424,2721,3520,Social,"['park', 'park', 'wildlife', 'travel', 'alberta', 'photo', 'photo', 'photo']",en,0.086969697,positive,ParksCanada_facebook,,,,Lake Park Photo,May,6448,4787,4338
