,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
11,11,431918433581020_771830606256466,2016-02-24 11:45:52,http://ow.ly/YEyTW,"Do you qualify for the working income tax benefit (WITB)? 

The WITB is a refundable tax credit which provides tax relief for eligible, low-income individuals and families who are in the workforce. To qualify, you must be 19 years old or older by December 31st and be a resident of Canada. Find out more: http://ow.ly/YEyTW","Do you qualify for the working income tax benefit (WITB)? The WITB is a refundable tax credit which provides tax relief for eligible, low-income individuals and families who are in the workforce. To qualify, you must be years old or older by December st and be a resident of Canada. Find out more:",[],Environmental,179,0.0,en,YourMoneyMattersCanada_facebook
12,12,431918433581020_882767005162825,2016-09-06 10:45:49,http://ow.ly/fA8Y303QqQZ,"Scholarships, grants and bursaries are a great way to offset tuition costs. And new ones are made available all the time! 

Did you know that you can apply for scholarships, grants and bursaries DURING the school year as well as in advance? Find out more here: http://ow.ly/fA8Y303QqQZ","Scholarships, grants and bursaries are a great way to offset tuition costs. And new ones are made available all the time! Did you know that you can apply for scholarships, grants and bursaries DURING the school year as well as in advance? Find out more here:",[],Environmental,169,0.0,en,YourMoneyMattersCanada_facebook
13,13,431918433581020_846272638812262,2016-07-11 17:45:23,http://ow.ly/ripH3023JLj,"Say “No, thank you” to anyone who claims to be able to repair your credit history. 

FACT: There is no magic fix to repair your credit report. Paying your bills on time is the only way to improve your credit score.

Learn how to take control of your debt and take action: http://ow.ly/ripH3023JLj","Say “No, thank you” to anyone who claims to be able to repair your credit history. FACT: There is no magic fix to repair your credit report. Paying your bills on time is the only way to improve your credit score. Learn how to take control of your debt and take action:",[],Social,162,0.0,en,YourMoneyMattersCanada_facebook
14,14,431918433581020_966066646832860,2016-12-12 19:24:14,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/966066646832860/?type=3,"Have you ever had an item scan at a higher price at checkout than the one advertised or displayed? 

Did you know that if the item is under $10, you get it for free (first one only if you have more than one)? If the item is over $10, then you get $10 off the lowest advertised or displayed price. 

The next time this happens to you, ask if the retailer upholds the Scanner Price Accuracy Voluntary Code or look for the sign shown below at the entrance or checkout. http://ow.ly/jaGJ306Zdjn","Have you ever had an item scan at a higher price at checkout than the one advertised or displayed? Did you know that if the item is under $10, you get it for free (first one only if you have more than one)? If the item is over $10, then you get $10 off the lowest advertised or displayed price. The next time this happens to you, ask if the retailer upholds the Scanner Price Accuracy Voluntary Code or look for the sign shown below at the entrance or checkout.",[],Environmental,158,0.0,en,YourMoneyMattersCanada_facebook
15,15,431918433581020_839426392830220,2016-06-28 10:45:37,http://ow.ly/chFv301BWo3,"Parents: the proposed new Canada child benefit (CCB) takes effect on July 1, 2016. This benefit will be a tax-free, monthly payment based on your adjusted family net income.

If you are already receiving child benefits, such as the universal child care benefit (UCCB) or the Canada child tax benefit (CCTB), or both, you do not have to apply for the Canada child benefit.

Learn more about the new Canada child benefit: http://ow.ly/chFv301BWo3 

Additional information on child and family benefits: http://ow.ly/1ast301BWqv","Parents: the proposed new Canada child benefit (CCB) takes effect on July , . This benefit will be a tax-free, monthly payment based on your adjusted family net income. If you are already receiving child benefits, such as the universal child care benefit (UCCB) or the Canada child tax benefit (CCTB), or both, you do not have to apply for the Canada child benefit. Learn more about the new Canada child benefit: Additional information on child and family benefits:",[],Environmental,157,0.0,en,YourMoneyMattersCanada_facebook
16,16,431918433581020_1096501170456073,2017-05-17 10:45:24,,"DYK you could get up to $2,000 for your child’s Registered Education Savings Plan WITHOUT having to put in any of YOUR OWN MONEY?

The Canada Learning Bond is designed to help you start saving for your child’s post-secondary education. You could get $500 for an RESP now, plus $100 every year until your child turns 15 years old! Learn more: http://ow.ly/gMpw30bDFVP","DYK you could get up to $2,000 for your child’s Registered Education Savings Plan WITHOUT having to put in any of YOUR OWN MONEY? The Canada Learning Bond is designed to help you start saving for your child’s post-secondary education. You could get $500 for an RESP now, plus $100 every year until your child turns years old! Learn more:",[],Environmental,152,0.0,en,YourMoneyMattersCanada_facebook
17,17,431918433581020_1258066097632912,2017-11-28 11:45:21,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/1258066097632912/?type=3,"#ScamAlert: A new scam targets millions of Canadian Netflix subscribers.

Scammers send emails to Netflix clients posing as the company and direct them to a fake website “phishing” for their financial information. 

If you are unsure if an email is truly from Netflix Canada or any other company, get in touch with the company directly. Never provide your credit card information unless you are using the company’s secure website.

Protect yourself: http://ow.ly/plT830gNryr",": A new scam targets millions of Canadian Netflix subscribers. Scammers send emails to Netflix clients posing as the company and direct them to a fake website “phishing” for their financial information. If you are unsure if an email is truly from Netflix Canada or any other company, get in touch with the company directly. Never provide your credit card information unless you are using the company’s secure website. Protect yourself:",['#ScamAlert'],Social,149,0.0,en,YourMoneyMattersCanada_facebook
18,18,431918433581020_908942102545315,2016-10-12 14:58:17,https://www.facebook.com/YourMoneyMattersCanada/videos/908942102545315/,,,[],Social,144,0.0,tl,YourMoneyMattersCanada_facebook
19,19,431918433581020_882978988474960,2016-09-06 15:45:12,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/882978988474960/?type=3,"#FraudAlert: Beware of scammers calling you and impersonating the Canada Revenue Agency (CRA) with claims of unpaid taxes.

Warning signs include aggressive language or tone, threats of police action or arrest, and any mention of prepaid credit cards.

Make sure it’s really the CRA calling you. These tips can help: http://ow.ly/NgpU303XjBn",": Beware of scammers calling you and impersonating the Canada Revenue Agency (CRA) with claims of unpaid taxes. Warning signs include aggressive language or tone, threats of police action or arrest, and any mention of prepaid credit cards. Make sure it’s really the CRA calling you. These tips can help:",['#FraudAlert'],Environmental,139,0.0,en,YourMoneyMattersCanada_facebook
20,20,431918433581020_782068671899326,2016-03-16 13:45:16,http://ow.ly/Zy2oA,Looking for work with flexible hours and competitive wages? Statistics Canada is currently accepting applications for #2016Census jobs. Apply now! http://ow.ly/Zy2oA,Looking for work with flexible hours and competitive wages? Statistics Canada is currently accepting applications for jobs. Apply now!,['#2016Census'],Environmental,136,0.0,en,YourMoneyMattersCanada_facebook
21,21,431918433581020_902119349894257,2016-10-03 10:45:52,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/902119349894257/?type=3,"Did you know that as of July 2016, the Guaranteed Income Supplement (GIS) top-up was increased by up to $947 annually for our most vulnerable seniors?

The GIS provides a monthly non-taxable benefit to low-income seniors receiving the Old Age Security pension. Learn more about the GIS: http://www.esdc.gc.ca/en/cpp/oas/gis/index.page","Did you know that as of July , the Guaranteed Income Supplement (GIS) top-up was increased by up to $947 annually for our most vulnerable seniors? The GIS provides a monthly non-taxable benefit to low-income seniors receiving the Old Age Security pension. Learn more about the GIS:",[],Environmental,132,0.0,en,YourMoneyMattersCanada_facebook
22,22,431918433581020_913140022125523,2016-10-17 17:45:30,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/913140022125523/?type=3,"Got an email warning you that your account will be frozen within 24 hours? 

Don’t take the bait! It could be a cyber threat. #DYK that 80,000 people fall for a scam EVERY DAY and share their personal information? Find out how to recognize a scam: http://ow.ly/vKFy305chVA","Got an email warning you that your account will be frozen within hours? Don’t take the bait! It could be a cyber threat. that ,000 people fall for a scam EVERY DAY and share their personal information? Find out how to recognize a scam:",['#DYK'],Environmental,131,0.0,en,YourMoneyMattersCanada_facebook
23,23,431918433581020_753389278100599,2016-01-12 18:45:36,http://ow.ly/WTYTM,"#DYK your child could get up to $7,200 from the Government of Canada to help pay for his or her education after high school?

Through the Canada Education Savings Grant, the Government adds money to your kids’ Registered Education Savings Plan (RESP) to help their savings grow. To be eligible for the grant, you must start to save for your children’s RESP before the end of the calendar year in which they turn 15 years of age. 
Find out how to apply: http://ow.ly/WTYTM","your child could get up to $7,200 from the Government of Canada to help pay for his or her education after high school? Through the Canada Education Savings Grant, the Government adds money to your kids’ Registered Education Savings Plan (RESP) to help their savings grow. To be eligible for the grant, you must start to save for your children’s RESP before the end of the calendar year in which they turn years of age. Find out how to apply:",['#DYK'],Environmental,129,0.0,en,YourMoneyMattersCanada_facebook
24,24,431918433581020_852309404875252,2016-07-22 14:57:32,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/852309404875252/?type=3,"#ConsumerAlert: The Competition Bureau is urging consumers to be wary of deceptive tactics used by door-to-door salespeople trying to get you to sign a contract for a new water heater or heating, ventilation and air conditioning (HVAC) system.

These salespeople may misrepresent themselves as your current supplier, a local utility or the municipality when, in fact, they work for private companies that are unaffiliated with your current supplier or any government agency. Many use high-pressure tactics to get into your home, saying that an urgent inspection of your water heater or HVAC system is needed and demanding that you sign a contract with them on the spot. Unfortunately, once you enter into a long-term contract, it’s too late, leaving you to pay exorbitant cancellation fees to get out of it.

Get tips on how to avoid getting caught in this situation: http://ow.ly/4Ni9302wdjW",": The Competition Bureau is urging consumers to be wary of deceptive tactics used by door-to-door salespeople trying to get you to sign a contract for a new water heater or heating, ventilation and air conditioning (HVAC) system. These salespeople may misrepresent themselves as your current supplier, a local utility or the municipality when, in fact, they work for private companies that are unaffiliated with your current supplier or any government agency. Many use high-pressure tactics to get into your home, saying that an urgent inspection of your water heater or HVAC system is needed and demanding that you sign a contract with them on the spot. Unfortunately, once you enter into a long-term contract, it’s too late, leaving you to pay erbitant cancellation fees to get out of it. Get tips on how to avoid getting caught in this situation:",['#ConsumerAlert'],Environmental,128,0.0,en,YourMoneyMattersCanada_facebook
25,25,431918433581020_851825334923659,2016-07-21 17:45:26,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/851825334923659/?type=3,"#DYK: You don’t need to give wireless service providers 30 days’ notice anymore when you choose to cancel or switch providers.

Your provider must cancel your wireless service on the date you choose. This rule also applies to home telephone, Internet and TV service.

Keep in mind that ending any contract you agreed to may mean cancellation costs. Learn more about changing wireless service providers: http://ow.ly/Rz4a302ieUH",": You don’t need to give wireless service providers days’ notice anymore when you choose to cancel or switch providers. Your provider must cancel your wireless service on the date you choose. This rule also applies to home telephone, Internet and TV service. Keep in mind that ending any contract you agreed to may mean cancellation costs. Learn more about changing wireless service providers:",['#DYK'],Environmental,120,0.0,en,YourMoneyMattersCanada_facebook
26,26,431918433581020_954087084697483,2016-11-28 16:00:46,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/954087084697483/?type=3,"#ScamAlert:
Have you received a “traffic violation ticket” by email? 
DO NOT PAY IT—IT’S A SCAM.

This scam involves sending fake traffic tickets by email and asking for immediate payment through a link. Police do not issue tickets by email or even ask for your email during a traffic stop. 

Remember to never click on suspicious links or provide personal information to an untrusted source. 

Learn how to protect yourself from scams: http://ow.ly/SrRg306ATTq",: Have you received a “traffic violation ticket” by email? DO NOT PAY IT—IT’S A SCAM. This scam involves sending fake traffic tickets by email and asking for immediate payment through a link. Police do not issue tickets by email or even ask for your email during a traffic stop. Remember to never click on suspicious links or provide personal information to an untrusted source. Learn how to protect yourself from scams:,['#ScamAlert'],Environmental,111,0.0,en,YourMoneyMattersCanada_facebook
27,27,431918433581020_1095030677269789,2017-05-15 10:45:30,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/1095030677269789/?type=3,"Have you ever had an item scan at a higher price at checkout than the one that was advertised or displayed? 

Did you know that if the item is under $10, you could get it for free (only the first one if you are buying more than one)? If the item is over $10, then you could get $10 off the lowest advertised or displayed price. 

The next time this happens to you, ask if the retailer upholds the Scanner Price Accuracy Voluntary Code or look for the sign shown below at the entrance or checkout. http://ow.ly/mHun30bDC6U","Have you ever had an item scan at a higher price at checkout than the one that was advertised or displayed? Did you know that if the item is under $10, you could get it for free (only the first one if you are buying more than one)? If the item is over $10, then you could get $10 off the lowest advertised or displayed price. The next time this happens to you, ask if the retailer upholds the Scanner Price Accuracy Voluntary Code or look for the sign shown below at the entrance or checkout. U",[],Environmental,110,-0.0816017316017316,en,YourMoneyMattersCanada_facebook
28,28,431918433581020_908010652638460,2016-10-11 10:46:03,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/908010652638460/?type=3,"To lease or to buy—that is the question! 

Before making a decision to either buy or lease a vehicle, compare the costs using our calculator to find out which option is right for you and your wallet:
http://ow.ly/JstB304VWZV","To lease or to buy—that is the question! Before making a decision to either buy or lease a vehicle, compare the costs using our calculator to find out which option is right for you and your wallet:",[],Environmental,108,0.0,en,YourMoneyMattersCanada_facebook
29,29,431918433581020_796215857151274,2016-04-05 17:45:34,http://ow.ly/10gcd0,"What’s the right age to start saving for your retirement? 

The earlier you start saving, the more compound interest you’ll earn. So the right time is right now.  

Find out how time affects your investments: http://ow.ly/10gcd0","What’s the right age to start saving for your retirement? The earlier you start saving, the more compound interest you’ll earn. So the right time is right now. Find out how time affects your investments: cd0",[],Environmental,105,0.0,en,YourMoneyMattersCanada_facebook
30,30,431918433581020_761997600573100,2016-02-02 11:45:59,http://ow.ly/XND5A,"#DYK that starting in March, cable and television companies must offer affordable entry-level television service to Canadians at no more than $25 per month?

The new entry-level service will give Canadians access to local and regional Canadian television stations at a low cost. Learn more about what you can expect from the CRTC’s Let’s Talk TV process: http://ow.ly/XND5A","that starting in March, cable and television companies must offer affordable entry-level television service to Canadians at no more than $25 per month? The new entry-level service will give Canadians access to local and regional Canadian television stations at a low cost. Learn more about what you can eect from the CRTC’s Let’s Talk TV process:",['#DYK'],Environmental,102,0.0,en,YourMoneyMattersCanada_facebook
31,31,431918433581020_1046637562109101,2017-03-24 10:45:29,http://ow.ly/Lgfc309XZKZ,"Hey, students! Now’s the time to start thinking about a summer job. 

The Federal Student Work Experience Program (FSWEP) is a great opportunity for full-time secondary and post-secondary students to gain experience in their field and earn money to help finance their next semester. A placement through the program is also a great start for anyone considering a career in the public service.

Learn more about FSWEP and submit your application today: http://ow.ly/Lgfc309XZKZ","Hey, students! Now’s the time to start thinking about a summer job. The Federal Student Work Eerience Program (FSWEP) is a great opportunity for full-time secondary and post-secondary students to gain eerience in their field and earn money to help finance their next semester. A placement through the program is also a great start for anyone considering a career in the public service. Learn more about FSWEP and submit your application today:",[],Environmental,101,0.04375,en,YourMoneyMattersCanada_facebook
32,32,431918433581020_778028008970059,2016-03-09 11:45:53,https://www.priv.gc.ca/resource/op-vpel/casl_tips_ind_e.asp,"Got spam?

Avoid opening emails from unknown senders—and if you accidentally do, never reply. Replying confirms your address as being active and causes you to receive more spam. For the same reason, never click on a “remove” or “unsubscribe” link in a suspicious spam message. You may be unwittingly “subscribing” to receiving EVEN MORE spam. 

Check out these 10 tips on how to protect your computer, inbox and mobile device: http://ow.ly/Zm5V3","Got spam? Avoid opening emails from unknown senders—and if you accidentally do, never reply. Replying confirms your address as being active and causes you to receive more spam. For the same reason, never click on a “remove” or “unsubscribe” link in a suspicious spam message. You may be unwittingly “subscribing” to receiving EVEN MORE spam. Check out these tips on how to protect your computer, inbox and mobile device:",[],Environmental,100,0.0,en,YourMoneyMattersCanada_facebook
33,33,431918433581020_1121327161306807,2017-06-15 14:45:13,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/1121327161306807/?type=3,"#ScamAlert: The CRA scam is back in full force.

Beware of scammers impersonating the Canada Revenue Agency (CRA) and claiming that you owe the government back taxes. These scammers “spoof” phone numbers to make it look like the call is from the CRA. 

If you receive a call, ask for the caller’s name, phone number and office location so that you can validate their identity BEFORE you give any personal information. Contact the CRA at 1-800-959-8281 to verify that the caller is legit.

Be vigilant when disclosing personal and financial information over the phone or by email. Here are some tips to tell if it’s really the CRA calling you: http://ow.ly/aaOV301UMld",": The CRA scam is back in full force. Beware of scammers impersonating the Canada Revenue Agency (CRA) and claiming that you owe the government back taxes. These scammers “spoof” phone numbers to make it look like the call is from the CRA. If you receive a call, ask for the caller’s name, phone number and office location so that you can validate their identity BEFORE you give any personal information. Contact the CRA at -800-959-8281 to verify that the caller is legit. Be vigilant when disclosing personal and financial information over the phone or by email. Here are some tips to tell if it’s really the CRA calling you: d",['#ScamAlert'],Environmental,99,0.0,en,YourMoneyMattersCanada_facebook
34,34,431918433581020_869271513179041,2016-08-19 10:45:41,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/869271513179041/?type=3,"Are you being asked to provide your social insurance number (SIN) when applying to rent a property or negotiating a lease?

If a property management company refuses to complete the application process unless you provide your SIN, ask to speak to the person in charge. Bottom line: Your SIN is confidential and should only be requested and used for income reporting purposes.

Learn more about protecting your SIN: http://ow.ly/K37l303bzgJ","Are you being asked to provide your social insurance number (SIN) when applying to rent a property or negotiating a lease? If a property management company refuses to complete the application process unless you provide your SIN, ask to speak to the person in charge. Bottom line: Your SIN is confidential and should only be requested and used for income reporting purposes. Learn more about protecting your SIN:",[],Environmental,95,0.0,en,YourMoneyMattersCanada_facebook
35,35,431918433581020_1009870035785854,2017-02-06 11:45:30,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/1009870035785854/?type=3,"Have you heard about the 52-week money challenge? 

It may be February, but it’s not too late to commit to a new money-saving habit. Keep things simple by making a plan and setting an attainable savings goal. 
On the first week, put aside a dollar. Week two, two dollars. Week three, three dollars. Spot the trend? By the end of 2017, you’ll have saved $1,378! 
This week is the sixth week of the year, so catch up by starting with a lump sum of $21. 
More saving tips: http://ow.ly/Kwbw308FeQX","Have you heard about the -week money challenge? It may be February, but it’s not too late to commit to a new money-saving habit. Keep things simple by making a plan and setting an attainable savings goal. On the first week, put aside a dollar. Week two, two dollars. Week three, three dollars. Spot the trend? By the end of , you’ll have saved $1,378! This week is the sixth week of the year, so catch up by starting with a lump sum of $21. More saving tips:",[],Environmental,94,0.0,en,YourMoneyMattersCanada_facebook
36,36,431918433581020_796019837170876,2016-04-05 08:53:07,https://www.facebook.com/YourMoneyMattersCanada/videos/796019837170876/,"Minister Morneau Facebook Live event in New Brunswick #Budget2016 - 
Le min Morneau au Nouveau-Brunswick, séance EN DIRECT sur Facebook #Budget2016","Minister Morneau Facebook Live event in New Brunswick - Le min Morneau au Nouveau-Brunswick, séance EN DIRECT sur Facebook","['#Budget2016', '#Budget2016']",Environmental,94,0.0,en,YourMoneyMattersCanada_facebook
37,37,431918433581020_807293102710216,2016-04-27 10:45:51,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/807293102710216/?type=3,"Ahhh, #springcleaning, that time of year when we dig into our closets to clear out what we don’t need.

However, just like when donating money, you want to know where your donated items are going. For example, did you know that not all drop-off bins belong to non-profit organizations? 

Some signs give the impression that donations go directly to charity when they actually go to a FOR-PROFIT business.

Learn more about donation bins: http://ow.ly/4n3MkG","Ahhh, , that time of year when we dig into our closets to clear out what we don’t need. However, just like when donating money, you want to know where your donated items are going. For example, did you know that not all drop-off bins belong to non-profit organizations? Some signs give the impression that donations go directly to charity when they actually go to a FOR-PROFIT business. Learn more about donation bins:",['#springcleaning'],Environmental,93,0.0,en,YourMoneyMattersCanada_facebook
38,38,431918433581020_872088606230665,2016-08-23 10:45:51,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/872088606230665/?type=3,"#Scam Spotlight: Did you know scammers use fake celebrity gossip, top 10 lists and sharable quizzes to get your personal information for illegal purposes? 

Once you’ve filled out that quiz and shared your results to social media accounts, scammers may have your username—AND any personals details you’ve tied to your accounts. 

Find out more on how to avoid social networking scams: http://ow.ly/BVuo303mXyU","Spotlight: Did you know scammers use fake celebrity gossip, top lists and sharable quizzes to get your personal information for illegal purposes? Once you’ve filled out that quiz and shared your results to social media accounts, scammers may have your username—AND any personals details you’ve tied to your accounts. Find out more on how to avoid social networking scams: U",['#Scam'],Environmental,89,0.0,en,YourMoneyMattersCanada_facebook
