Unnamed: 0,likes,mediaid,caption,url,caption_mentions,comments,id,typename,owner_username,tagged_users,date,shortcode,is_video,caption_hashtags,owner_id,video_url,text_filtered,text_tokenized,text_stemmed
10,376,1.40393e+18,Start making your activity today!How about a fat ride in National Park? Take on the trails and get inspired by the Park's beautiful winter landscape. Click the link in our bio for our ten winter activities to discover! ,https://instagram.fyvr3-1.fna.fbcdn.net/vp/9629627c95905790da5a48d012a64e0e/5AFA9D42/t51.2885-15/e35/15535067_370181730000475_1510518415792537600_n.jpg,"[""deography""]",5,2016-12-12_14-15-37,GraphImage,parks.canada,"[""deography""]",2016-12-12T14:15:37,BN7vnVTgBjH,False,"[""winter"",""wishlist"",""bike"",""kouchibouguac"",""fatbike"",""cyclist"",""winterwonderland"",""canadianwinter"",""snowseason"",""snow"",""parkscanada"",""canada150""]",4143631778,,Start making activity today fat ride National Park Take trails get inspired Park beautiful winter landscape Click link bio ten winter activities discover,"['Start', 'making', 'activity', 'today', 'fat', 'ride', 'National', 'Park', 'Take', 'trails', 'get', 'inspired', 'Park', 'beautiful', 'winter', 'landscape', 'Click', 'link', 'bio', 'ten', 'winter', 'activities', 'discover']","[u'start', u'make', u'activ', u'today', u'fat', u'ride', u'nation', u'park', u'take', u'trail', u'get', u'inspir', u'park', u'beauti', u'winter', u'landscap', u'click', u'link', u'bio', u'ten', u'winter', u'activ', u'discov']"
11,579,1.40461e+18,"Ever tried ice fishing? With over species of fish, the Lake Superior National Marine Conservation Area is the perfect place to try it out! Enjoy sitting in a cozy fishing hut or simply take in the crisp winter air and spectacular scenery. Let us help you plan your next winter activities: click the link in our bio!",https://instagram.fyvr3-1.fna.fbcdn.net/vp/e28506357d2ecd782e2c1e2bc1f9fdcb/5AFAEC82/t51.2885-15/e35/15624850_581562705360918_7313269977174245376_n.jpg,[],1,2016-12-13_12-59-33,GraphImage,parks.canada,[],2016-12-13T12:59:33,BN-LtE3AM3v,False,"[""winter"",""winterwonderland"",""canadianwinter"",""snowseason"",""snow"",""icefishing"",""lakesuperior"",""ontario"",""exploreon"",""nmca"",""parkscanada"",""canada150""]",4143631778,,Ever tried ice fishing species fish Lake Superior National Marine Conservation Area perfect place try Enjoy sitting cozy fishing hut simply take crisp winter air spectacular scenery Let us help plan next winter activities click link bio,"['Ever', 'tried', 'ice', 'fishing', 'species', 'fish', 'Lake', 'Superior', 'National', 'Marine', 'Conservation', 'Area', 'perfect', 'place', 'try', 'Enjoy', 'sitting', 'cozy', 'fishing', 'hut', 'simply', 'take', 'crisp', 'winter', 'air', 'spectacular', 'scenery', 'Let', 'us', 'help', 'plan', 'next', 'winter', 'activities', 'click', 'link', 'bio']","[u'ever', u'tri', u'ice', u'fish', u'speci', u'fish', u'lake', u'superior', u'nation', u'marin', u'conserv', u'area', u'perfect', u'place', u'tri', u'enjoy', u'sit', u'cozi', u'fish', u'hut', u'simpli', u'take', u'crisp', u'winter', u'air', u'spectacular', u'sceneri', u'let', 'us', u'help', u'plan', u'next', u'winter', u'activ', u'click', u'link', u'bio']"
12,685,1.40539e+18,"From snowshoeing to cross country skiing to snow tagging, La Mauricie National Park truly has something for everyone this winter! Try something new and eerience the greatest winter yet! Click the link in our bio for our ten winter activities to discover! ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/e4251087ce9fb2aed0225e8d75bf3f6c/5AF5B675/t51.2885-15/e35/15538458_1436268003098303_2935277372749905920_n.jpg,"[""emilieduchesne1""]",5,2016-12-14_14-47-10,GraphImage,parks.canada,[],2016-12-14T14:47:10,BOA80F4ALF2,False,"[""winter"",""winterwonderland"",""canadianwinter"",""snowseason"",""snow"",""crosscountryskiing"",""mauricienp"",""quebec"",""exploreqc"",""parkscanada"",""canada150""]",4143631778,,snowshoeing cross country skiing snow tagging La Mauricie National Park truly something everyone winter Try something new eerience greatest winter yet Click link bio ten winter activities discover,"['snowshoeing', 'cross', 'country', 'skiing', 'snow', 'tagging', 'La', 'Mauricie', 'National', 'Park', 'truly', 'something', 'everyone', 'winter', 'Try', 'something', 'new', 'eerience', 'greatest', 'winter', 'yet', 'Click', 'link', 'bio', 'ten', 'winter', 'activities', 'discover']","[u'snowsho', u'cross', u'countri', u'ski', u'snow', u'tag', 'la', u'maurici', u'nation', u'park', u'truli', u'someth', u'everyon', u'winter', u'tri', u'someth', u'new', u'eerienc', u'greatest', u'winter', u'yet', u'click', u'link', u'bio', u'ten', u'winter', u'activ', u'discov']"
13,971,1.40609e+18,"Take the journey! Eerience the backcountry powder on the Earth’s mantle of the Tablelands in National Park! PHOTO , and , head towards Southwest Gulch and then unwind by the woodstove in a hut. Click the link in our bio for more winter activities to discover in !",https://instagram.fyvr3-1.fna.fbcdn.net/vp/d1bb3fc2afc2037b1fb1f71e572cc55a/5AEBAA3C/t51.2885-15/e35/15535496_361990617511532_8010289520878551040_n.jpg,"[""tomcochrane""]",7,2016-12-15_14-02-21,GraphImage,parks.canada,[],2016-12-15T14:02:21,BODcewXAUNJ,False,"[""grosmorne"",""skiers"",""snowboarders"",""snowshoers"",""ski"",""winter"",""canadianwinter"",""snow"",""snowseason"",""explorecanada"",""explorenl"",""newfoundland"",""parkscanada""]",4143631778,,Take journey Eerience backcountry powder mantle Tablelands National Park PHOTO head towards Southwest Gulch unwind woodstove hut Click link bio winter activities discover,"['Take', 'journey', 'Eerience', 'backcountry', 'powder', 'mantle', 'Tablelands', 'National', 'Park', 'PHOTO', 'head', 'towards', 'Southwest', 'Gulch', 'unwind', 'woodstove', 'hut', 'Click', 'link', 'bio', 'winter', 'activities', 'discover']","[u'take', u'journey', u'eerienc', u'backcountri', u'powder', u'mantl', u'tableland', u'nation', u'park', u'photo', u'head', u'toward', u'southwest', u'gulch', u'unwind', u'woodstov', u'hut', u'click', u'link', u'bio', u'winter', u'activ', u'discov']"
14,729,1.40682e+18,"The weather outside might be chilly, but we think we have the trick to warm you up! Take a long relaxing soak in the Radium Hot Springs' soothing mineral waters and see if you can spot one of the bighorn sheep that make Kootenay National Park their home. Click the link in our bio for more winter activities to discover in ! ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/9db9b09f9b9d09160d0b31019b154b47/5AF3BA04/t51.2885-15/e35/15624099_602399576621820_4170810219653234688_n.jpg,[],4,2016-12-16_14-06-52,GraphImage,parks.canada,[],2016-12-16T14:06:52,BOGBywXg5he,False,"[""winter"",""canadianwinter"",""snow"",""snowseason"",""hotsprings"",""parkscanada"",""canada150"",""kootenaynp"",""explorebc"",""britishcolumbia""]",4143631778,,weather outside might chilly think trick warm Take long relaxing soak Radium Hot Springs soothing mineral waters see spot one bighorn sheep make Kootenay National Park home Click link bio winter activities discover,"['weather', 'outside', 'might', 'chilly', 'think', 'trick', 'warm', 'Take', 'long', 'relaxing', 'soak', 'Radium', 'Hot', 'Springs', 'soothing', 'mineral', 'waters', 'see', 'spot', 'one', 'bighorn', 'sheep', 'make', 'Kootenay', 'National', 'Park', 'home', 'Click', 'link', 'bio', 'winter', 'activities', 'discover']","[u'weather', u'outsid', u'might', u'chilli', u'think', u'trick', u'warm', u'take', u'long', u'relax', u'soak', u'radium', u'hot', u'spring', u'sooth', u'miner', u'water', u'see', u'spot', u'one', u'bighorn', u'sheep', u'make', u'kootenay', u'nation', u'park', u'home', u'click', u'link', u'bio', u'winter', u'activ', u'discov']"
15,497,1.40753e+18,Spend a fun afternoon with family and friends at Fundy National Park and go home with winter memories that are sure to keep you warm this season.Click the link in our bio for more winter activities to discover in !,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a1947375fa96bbc9dbab28084a992090/5AE9EB26/t51.2885-15/e35/15624126_456981041356266_4472158985000058880_n.jpg,[],0,2016-12-17_13-39-45,GraphImage,parks.canada,[],2016-12-17T13:39:45,BOIje9sg4gb,False,"[""winter"",""canadianwinter"",""snow"",""snowseason"",""tobogganing"",""toboggan"",""parkscanada"",""canada150"",""newbrunswick"",""explorenb"",""fundynp""]",4143631778,,Spend fun afternoon family friends Fundy National Park go home winter memories sure keep warm season Click link bio winter activities discover,"['Spend', 'fun', 'afternoon', 'family', 'friends', 'Fundy', 'National', 'Park', 'go', 'home', 'winter', 'memories', 'sure', 'keep', 'warm', 'season', 'Click', 'link', 'bio', 'winter', 'activities', 'discover']","[u'spend', u'fun', u'afternoon', u'famili', u'friend', u'fundi', u'nation', u'park', 'go', u'home', u'winter', u'memori', u'sure', u'keep', u'warm', u'season', u'click', u'link', u'bio', u'winter', u'activ', u'discov']"
16,671,1.40833e+18,Canada is a wonderland offering so many activities to try during the winter months. This amazing shot from was taken in Rogers Pass in the heart of Glacier National Park.Click the link in our bio for a list of winter activities to discover! ,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d7e3e19ac7c3787503a532ad55f5b9ab/5AE4F891/t51.2885-15/e35/15275465_342463736139118_3661331664174317568_n.jpg,"[""jorunswild""]",0,2016-12-18_15-57-40,GraphImage,parks.canada,[],2016-12-18T15:57:40,BOLYD9dgIs6,False,"[""winter"",""canadianwinter"",""snowseason"",""snow"",""glaciernationalparkcanada"",""parkscanada"",""canada150""]",4143631778,,Canada wonderland offering many activities try winter months amazing shot taken Rogers Pass heart Glacier National Park Click link bio list winter activities discover,"['Canada', 'wonderland', 'offering', 'many', 'activities', 'try', 'winter', 'months', 'amazing', 'shot', 'taken', 'Rogers', 'Pass', 'heart', 'Glacier', 'National', 'Park', 'Click', 'link', 'bio', 'list', 'winter', 'activities', 'discover']","[u'canada', u'wonderland', u'offer', u'mani', u'activ', u'tri', u'winter', u'month', u'amaz', u'shot', u'taken', u'roger', u'pass', u'heart', u'glacier', u'nation', u'park', u'click', u'link', u'bio', u'list', u'winter', u'activ', u'discov']"
17,412,1.40884e+18,"Olympian and Minister Catherine McKenna along the in . They have their already, do you have yours??? Order today and !Click the link in our bio for more info.",https://instagram.fyvr3-1.fna.fbcdn.net/vp/5312dcf908dd21ceb37dffbd47109c44/5AEE3A64/t51.2885-15/e35/14549974_234645876963428_1686423671893131264_n.jpg,"[""claraannehughes""]",15,2016-12-19_08-52-15,GraphImage,parks.canada,[],2016-12-19T08:52:15,BONMLCzA8Ay,False,"[""rideaucanal"",""ottawa"",""free"",""discoverypass"",""showusyourpass"",""canada150"",""exporecanada"",""freeentry"",""parkscanada""]",4143631778,,Olympian Minister Catherine McKenna along already Order today Click link bio info,"['Olympian', 'Minister', 'Catherine', 'McKenna', 'along', 'already', 'Order', 'today', 'Click', 'link', 'bio', 'info']","[u'olympian', u'minist', u'catherin', u'mckenna', u'along', u'alreadi', u'order', u'today', u'click', u'link', u'bio', u'info']"
18,324,1.40968e+18,Have a blast on your visit during – train to be a cannoneer and fire a cannon or learn how to fire a musket! At the Fortress of National Historic Site you can eerience daily life of th century hands-on.Click the link in our bio to see ways to eerience Canada’s .,https://instagram.fyvr3-1.fna.fbcdn.net/vp/b0828c8668eb1aea3614ae0a2d264b55/5AE33428/t51.2885-15/e35/15624177_975693292574686_149637708564660224_n.jpg,[],2,2016-12-20_12-49-00,GraphImage,parks.canada,[],2016-12-20T12:49:00,BOQMD22AHL6,False,"[""canada150"",""louisbourg"",""history"",""fortressoflouisbourg"",""ilovelouisbourg"",""visitnovascotia"",""explorecanada"",""parkscanada""]",4143631778,,blast visit train cannoneer fire cannon learn fire musket Fortress National Historic Site eerience daily life th century hands Click link bio see ways eerience,"['blast', 'visit', 'train', 'cannoneer', 'fire', 'cannon', 'learn', 'fire', 'musket', 'Fortress', 'National', 'Historic', 'Site', 'eerience', 'daily', 'life', 'th', 'century', 'hands', 'Click', 'link', 'bio', 'see', 'ways', 'eerience']","[u'blast', u'visit', u'train', u'cannon', u'fire', u'cannon', u'learn', u'fire', u'musket', u'fortress', u'nation', u'histor', u'site', u'eerienc', u'daili', u'life', 'th', u'centuri', u'hand', u'click', u'link', u'bio', u'see', u'way', u'eerienc']"
19,677,1.41037e+18,"Eerience Mount Revelstoke’s historic ski jump from the starting gate. Step into a sculpted pair of Nels’ Knickers, a competitor's bib and jumping skis at the top of the jump.Click the link in our bio to discover ways to eerience Canada’s hands-on!",https://instagram.fyvr3-1.fna.fbcdn.net/vp/bf00b57c8c0bcda757cca9f9a0baf3d1/5AF975EB/t51.2885-15/e35/15535088_720143948147861_7214618529755037696_n.jpg,"[""hellobc"",""revelstoke"",""seerevelstoke""]",4,2016-12-21_11-31-57,GraphImage,parks.canada,[],2016-12-21T11:31:57,BOSoCeLA7x0,False,"[""ski"",""history"",""mountrevelstokenp"",""revelstoke"",""revelstoked"",""therealstoke"",""explorebc""]",4143631778,,Eerience Mount historic ski jump starting gate Step sculpted pair Knickers competitor bib jumping skis top jump Click link bio discover ways eerience hands,"['Eerience', 'Mount', 'historic', 'ski', 'jump', 'starting', 'gate', 'Step', 'sculpted', 'pair', 'Knickers', 'competitor', 'bib', 'jumping', 'skis', 'top', 'jump', 'Click', 'link', 'bio', 'discover', 'ways', 'eerience', 'hands']","[u'eerienc', u'mount', u'histor', u'ski', u'jump', u'start', u'gate', u'step', u'sculpt', u'pair', u'knicker', u'competitor', u'bib', u'jump', u'ski', u'top', u'jump', u'click', u'link', u'bio', u'discov', u'way', u'eerienc', u'hand']"
20,719,1.41175e+18,It’s obvious why this strategic hilltop location with a commanding view of the harbour was chosen in for the fort destined to protect the city. PHOTO Click the link in our bio to discover ways to eerience Canada’s hands-on!,https://instagram.fyvr3-1.fna.fbcdn.net/vp/647acd70354f7b26abb998945b58ccf1/5ADB8916/t51.2885-15/e35/15538471_380069959011849_7254885557552021504_n.jpg,"[""drdrone"",""discoverhalifax"",""destinationhalifax""]",7,2016-12-23_09-21-26,GraphImage,parks.canada,[],2016-12-23T09:21:26,BOXisMZgHgY,False,"[""halifax"",""history"",""halifaxcitadel"",""visithalifax"",""discoverhalifax"",""canada150"",""parkscanada""]",4143631778,,obvious strategic hilltop location commanding view harbour chosen fort destined protect city PHOTO Click link bio discover ways eerience hands,"['obvious', 'strategic', 'hilltop', 'location', 'commanding', 'view', 'harbour', 'chosen', 'fort', 'destined', 'protect', 'city', 'PHOTO', 'Click', 'link', 'bio', 'discover', 'ways', 'eerience', 'hands']","[u'obvious', u'strateg', u'hilltop', u'locat', u'command', u'view', u'harbour', u'chosen', u'fort', u'destin', u'protect', u'citi', u'photo', u'click', u'link', u'bio', u'discov', u'way', u'eerienc', u'hand']"
21,894,1.4125e+18,"There's something truly magical about witnessing northern lights, especially this time of year! This winter, you too can watch this amazing natural phenomenon reflect off the ice of Clear Lake in Riding Mountain National Park. PHOTO ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/2f5c2efe842c6631247c0d6b087b0bee/5AF6C833/t51.2885-15/e35/15625219_1355211301187248_6155584593626923008_n.jpg,"[""jdleigh""]",11,2016-12-24_10-11-28,GraphImage,parks.canada,[],2016-12-24T10:11:28,BOaNNk3gQG-,False,"[""winter"",""winterwonderland"",""canadianwinter"",""snow"",""snowseason"",""northernlights"",""ridingnp"",""travelmanitoba"",""exploremb"",""rmnp"",""auroraborealis"",""parkscanada"",""canada150""]",4143631778,,something truly magical witnessing northern lights especially time year winter watch amazing natural phenomenon reflect ice Clear Lake Riding Mountain National Park PHOTO,"['something', 'truly', 'magical', 'witnessing', 'northern', 'lights', 'especially', 'time', 'year', 'winter', 'watch', 'amazing', 'natural', 'phenomenon', 'reflect', 'ice', 'Clear', 'Lake', 'Riding', 'Mountain', 'National', 'Park', 'PHOTO']","[u'someth', u'truli', u'magic', u'wit', u'northern', u'light', u'especi', u'time', u'year', u'winter', u'watch', u'amaz', u'natur', u'phenomenon', u'reflect', u'ice', u'clear', u'lake', u'ride', u'mountain', u'nation', u'park', u'photo']"
