id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_shares,num_likes,Reactions_SUM,category,matched_keywords,language,average_sentiment_score,sentiment,account_name
485734081568161_688131747995059,2016-03-01 09:02:38,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/688131747995059/?type=3,"DÈS AUJOURD'HUI! Les Canadiens peuvent s'abonner à un forfait de télé de base qui ne coûte pas plus de 25 $ par mois. À compter du 1er mars, les entreprises de diffusion par câble ou par satellite doivent également offrir SOIT des services À LA CARTE sur une base individuelle OU de petits forfaits allant jusqu'à 10 canaux. Renseignez-vous auprès de votre fournisseur local : http://ow.ly/YT5S4","DÈS AUJOURD'HUI! Les Canadiens peuvent s'abonner à un forfait de télé de base qui ne coûte pas plus de $ par mois. À compter du er mars, les entreprises de diffusion par câble ou par satellite doivent également offrir SOIT des services À LA CARTE sur une base individuelle OU de petits forfaits allant jusqu'à canaux. Renseignez-vous auprès de votre fournisseur local :",[],13.0,243.0,78,337,['Economical'],['entreprise'],fr,0.06109570312500001,positive,QuestionsdargentCanada_facebook
485734081568161_695050050636562,2016-03-16 13:45:16,http://ow.ly/Zy2HQ,Vous cherchez un emploi offrant des heures de travail flexibles et un salaire concurrentiel? Statistique Canada est actuellement en processus d’embauche en vue du #recensementde2016. Postulez dès maintenant! http://ow.ly/Zy2HQ,Vous cherchez un emploi offrant des heures de travail flexibles et un salaire concurrentiel? Statistique Canada est actuellement en processus d’embauche en vue du . Postulez dès maintenant!,['#recensementde2016'],16.0,108.0,30,155,['Economical'],['emploi'],fr,0.0140530303030303,positive,QuestionsdargentCanada_facebook
798775163588850_810535622412804,2016-03-16 12:59:10,http://ow.ly/Zyf1w,Découvrez comment les légumineuses sont bonnes pour vous et pour l’environnement.,Découvrez comment les légumineuses sont bonnes pour vous et pour l’environnement.,[],11.0,33.0,72,119,"['Economical', 'Social']","['découvrez', 'légumineuse']",fr,0.0,neutral,AgricultureCanadienne_facebook
377625007887_10154161941817888,2016-04-26 19:00:41,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10154161941817888/?type=3,Avis aux consommateurs : La vis de fixation du mécanisme de réglage avant central pour certains sièges d’auto Evenflo 2013-2015 pourrait devoir être remplacée. http://www.tc.gc.ca/c3gby,Avis aux consommateurs : La vis de fixation du mécanisme de réglage avant central pour certains sièges d’auto Evenflo -2015 pourrait devoir être remplacée.,[],257.0,2003.0,33,2296,['Economical'],['consommateur'],fr,0.0,neutral,TransportsetInfrastructureauCanada_facebook
460123390028_10156776938205029,2016-04-08 08:47:44,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10156776938205029/?type=3,"Le printemps est arrivé. La prochaine fois que vous ferez vos activités préférées en plein air au Canada, pensez à ce que signifie pour vous un Canada durable. Nous avons publié la version provisoire de la Stratégie fédérale de développement durable et la soumettons à une période de consultation publique jusqu’au 24 juin. Que pensez vous de notre stratégie? Faites nous part de votre vision pour un Canada durable. http://ow.ly/10ryuh http://ow.ly/10ryxl","Le printemps est arrivé. La prochaine fois que vous ferez vos activités préférées en plein air au Canada, pensez à ce que signifie pour vous un Canada durable. Nous avons publié la version provisoire de la Stratégie fédérale de développement durable et la soumettons à une période de consultation publique jusqu’au juin. Que pensez vous de notre stratégie? Faites nous part de votre vision pour un Canada durable.",[],26.0,148.0,850,1074,"['Environmental', 'Social']","['activité', 'air', 'durable', 'fédéral', 'développement_durable', 'publique', 'vision', 'durable']",fr,0.09128316326530612,positive,EnvironnementetressourcesnaturellesauCanada_facebook
134615279898518_1323595961000438,2016-04-04 18:00:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1323595961000438/?type=3,"C'est le début de la Semaine des ciels étoilés! 
Êtes-vous déjà allé dans l'une de nos réserves de ciel étoilé? C'est le moment ou jamais! http://ow.ly/10hcQ4
Photo prise Parc national Jasper",C'est le début de la Semaine des ciels étoilés! Êtes-vous déjà allé dans l'une de nos réserves de ciel étoilé? C'est le moment ou jamais! Photo prise Parc national Jasper,[],7.0,67.0,106,185,['Environmental'],['parc'],fr,0.0,neutral,ParcsCanada_facebook
460123390028_10156864580230029,2016-05-02 09:48:45,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10156864580230029/?type=3,"Durabilité : Nous sommes à votre écoute
Nous voulons amorcer une conversation. Consultez la version provisoire de notre stratégie fédérale de développement durable, un plan qui établit les priorités et les mesures fédérales au chapitre de l’environnement pour les trois prochaines années. Prononcez-vous et partagez vos commentaires qui serviront à mettre au point la stratégie définitive et à améliorer les prochaines stratégies. Faites-nous parvenir vos commentaires d’ici le 24 juin.  http://ow.ly/10ryuh http://ow.ly/10ryxl","Durabilité : Nous sommes à votre écoute Nous voulons amorcer une conversation. Consultez la version provisoire de notre stratégie fédérale de développement durable, un plan qui établit les priorités et les mesures fédérales au chapitre de l’environnement pour les trois prochaines années. Prononcez-vous et partagez vos commentaires qui serviront à mettre au point la stratégie définitive et à améliorer les prochaines stratégies. Faites-nous parvenir vos commentaires d’ici le juin.",[],60.0,318.0,1307,1789,"['Economical', 'Environmental', 'Social']","['durabilité', 'fédéral', 'développement', 'durable', 'fédéral']",fr,0.10284921824499033,positive,EnvironnementetressourcesnaturellesauCanada_facebook
134615279898518_1355246931168674,2016-05-20 11:56:54,https://youtu.be/QIgGkd5EWAs,"L’entrée sera gratuite dans les parcs nationaux, les lieux historiques nationaux et les aires marines nationales de conservation administrés par #ParcsCanada en 2017. 
Ce n’est pas tout : en 2017, explorez vos canaux historiques nationaux grâce à l’éclusage gratuit. Une autre façon de célébrer #Canada150! C’est un rendez-vous sur les canaux!","L’entrée sera gratuite dans les parcs nationaux, les lieux historiques nationaux et les aires marines nationales de conservation administrés par en . Ce n’est pas tout : en , elorez vos canaux historiques nationaux grâce à l’éclusage gratuit. Une autre façon de célébrer ! C’est un rendez-vous sur les canaux!","['#ParcsCanada', '#Canada150']",11.0,107.0,96,230,"['Environmental', 'Social']","['parc', 'historique', 'marine', 'conservation', '#parcscanada', 'historique', 'célébrer', '#canada150']",fr,0.0,neutral,ParcsCanada_facebook
485734081568161_726632987478268,2016-05-16 17:45:30,http://ow.ly/clRG300b3nw,"Saviez-vous qu’il est possible de recevoir jusqu’à 2000 $ pour le régime enregistré d’épargne-études de votre enfant, SANS avoir à investir VOTRE PROPRE ARGENT?

Le Bon d’études canadien est une somme que le gouvernement du Canada dépose dans le REEE d’un enfant pour aider ses parents à commencer à épargner pour ses études postsecondaires. Pour en savoir davantage: http://ow.ly/clRG300b3nw","Saviez-vous qu’il est possible de recevoir jusqu’à $ pour le régime enregistré d’épargne-études de votre enfant, SANS avoir à investir VOTRE PROPRE ARGENT? Le Bon d’études canadien est une somme que le gouvernement du Canada dépose dans le REEE d’un enfant pour aider ses parents à commencer à épargner pour ses études postsecondaires. Pour en savoir davantage:",[],6.0,131.0,29,169,"['Environmental', 'Social']","['enfant', 'propre', 'enfant', 'aider']",fr,0.08291232638888889,positive,QuestionsdargentCanada_facebook
460123390028_10157025984650029,2016-06-13 14:22:54,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10157025984650029/?type=3,"Un Canada sain et entièrement durable. Nous pouvons y arriver, mais nous ne pouvons pas le faire seuls. Nous avons besoin de votre opinion et de votre vision. Jetez un coup d’œil à notre stratégie provisoire pour un Canada durable du point de vue de l’environnement, la Stratégie fédérale de développement durable de 2016-2019. Faites-nous parvenir vos commentaires d’ici le 24 juin. http://ow.ly/10ryuh http://ow.ly/10ryxl","Un Canada sain et entièrement durable. Nous pouvons y arriver, mais nous ne pouvons pas le faire seuls. Nous avons besoin de votre opinion et de votre vision. Jetez un coup d’œil à notre stratégie provisoire pour un Canada durable du point de vue de l’environnement, la Stratégie fédérale de développement durable de -2019. Faites-nous parvenir vos commentaires d’ici le juin.",[],65.0,302.0,1974,2458,"['Environmental', 'Social']","['durable', 'vision', 'durable', 'point_de_vue', 'fédéral', 'développement_durable']",fr,0.11550702380952382,positive,EnvironnementetressourcesnaturellesauCanada_facebook
377625007887_10154287081602888,2016-06-16 18:42:24,https://www.facebook.com/TransportsetInfrastructureauCanada/videos/10154287081602888/,,,[],249.0,27.0,221,529,['other'],[],tl,0.0,neutral,TransportsetInfrastructureauCanada_facebook
134615279898518_1382444228448944,2016-06-29 17:30:00,https://www.facebook.com/MLVphotographer/photos/a.825447684253027.1073741892.673723356092128/826729410791521/?type=3,"Si cet album ne termine pas merveilleusement bien ce #MercrediSauvage, alors rien ne pourra! 

Photos prises par Maxime Legare-Vezina Photographe au Parc national de la Mauricie, Parcs Canada.","Si cet album ne termine pas merveilleusement bien ce , alors rien ne pourra! Photos prises par Maxime Legare-Vezina Photographe au Parc national de la Mauricie, Parcs Canada.",['#MercrediSauvage'],9.0,0.0,141,171,['Environmental'],"['parc', 'parc']",fr,0.0,neutral,ParcsCanada_facebook
134615279898518_1383127108380656,2016-07-04 06:05:00,https://www.facebook.com/ParcsCanada/videos/1383127108380656/,"Revivez les souvenirs d'enfance d'Oliver Jones, légende du #jazz de #Montréal, au canal de Lachine! 

Regardez la #vidéo complète ici : https://youtu.be/yqbOFyd2pSo","Revivez les souvenirs d'enfance d'Oliver Jones, légende du de éal, au canal de Lachine! Regardez la éo complète ici :","['#jazz', '#Montr', '#vid']",47.0,669.0,1220,2093,['Social'],['#jazz'],fr,0.0,neutral,ParcsCanada_facebook
485734081568161_750108311797402,2016-07-07 11:45:00,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/750108311797402/?type=3,"#AlerteFraude: Soyez en garde contre les escrocs se faisant passer pour des employés de l’Agence du revenu du Canada (ARC) et prétendant que vous devez de l’argent au gouvernement en arriéré d’impôt.

Ces escrocs arrivent à masquer leur vrai numéro de téléphone sur l’afficheur et à le substituer à celui d’un employé de l’ARC afin de se faire passer pour celui ci. Si vous recevez un appel, demander à la personne qui appelle son nom et son numéro de téléphone ainsi que l’endroit où se trouve son bureau, afin que vous puissiez confirmer son identité, et ce, AVANT de lui fournir quelque renseignement personnel que ce soit. Communiquez avec l’ARC au 1 800 959 8281 pour confirmer l’identité de la personne en question.

Soyez sur vos gardes avant de fournir des renseignements personnels ou financiers au téléphone ou par courriel. Voici quelques conseils pour savoir si la personne qui appelle est véritablement un employé de l’ARC : http://ow.ly/8GcA301UMok",": Soyez en garde contre les escrocs se faisant passer pour des employés de l’Agence du revenu du Canada (ARC) et prétendant que vous devez de l’argent au gouvernement en arriéré d’impôt. Ces escrocs arrivent à masquer leur vrai numéro de téléphone sur l’afficheur et à le substituer à celui d’un employé de l’ARC afin de se faire passer pour celui ci. Si vous recevez un appel, demander à la personne qui appelle son nom et son numéro de téléphone ainsi que l’endroit où se trouve son bureau, afin que vous puissiez confirmer son identité, et ce, AVANT de lui fournir quelque renseignement personnel que ce soit. Communiquez avec l’ARC au pour confirmer l’identité de la personne en question. Soyez sur vos gardes avant de fournir des renseignements personnels ou financiers au téléphone ou par courriel. Voici quelques conseils pour savoir si la personne qui appelle est véritablement un employé de l’ARC :",['#AlerteFraude'],1.0,97.0,21,125,['Economical'],['revenu'],fr,-0.025,negative,QuestionsdargentCanada_facebook
134615279898518_1387729894587044,2016-07-08 08:15:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1387729894587044/?type=3,"Joyeux vendredi photo des abonnés! 
Cette photo merveilleuse du Parc national Banff nous vient de Glenn T. Saviez-vous que Banff est le premier parc national officiel du Canada?

Chaque vendredi, nous choisissons au hasard une photo envoyée par un abonné pour la mettre en vedette sur notre mur. Si vous aimeriez soumettre une photo, veuillez nous envoyer un message.","Joyeux vendredi photo des abonnés! Cette photo merveilleuse du Parc national Banff nous vient de Glenn T. Saviez-vous que Banff est le premier parc national officiel du Canada? Chaque vendredi, nous choisissons au hasard une photo envoyée par un abonné pour la mettre en vedette sur notre mur. Si vous aimeriez soumettre une photo, veuillez nous envoyer un message.",[],4.0,12.0,83,106,"['Environmental', 'Social']","['parc', 'parc_national']",fr,0.0,neutral,ParcsCanada_facebook
798775163588850_899721420160890,2016-08-25 13:09:41,https://www.facebook.com/AgricultureCanadienne/photos/a.803710926428607.1073741828.798775163588850/899721420160890/?type=3,Contribuez à l’élaboration des futurs programmes et services en agriculture en répondant à notre sondage. Dites-nous ce que vous en pensez. http://ow.ly/ls7b303An5U,Contribuez à l’élaboration des futurs programmes et services en agriculture en répondant à notre sondage. Dites-nous ce que vous en pensez. U,[],68.0,347.0,696,1156,"['Economical', 'Environmental', 'Social']","['futur', 'agriculture', 'agriculture']",fr,0.0,neutral,AgricultureCanadienne_facebook
377625007887_10154478330087888,2016-08-24 15:00:59,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10153795896582888.1073741830.377625007887/10154478330087888/?type=3,Rappel : Roulottes Keystone Bullet et Passport 2011-2017. Court-circuit possible dans le câblage du climatiseur. http://www.tc.gc.ca/jn1bv,Rappel : Roulottes Keystone Bullet et Passport -2017. Court-circuit possible dans le câblage du climatiseur.,[],25.0,580.0,9,615,['other'],[],fr,0.0,neutral,TransportsetInfrastructureauCanada_facebook
134615279898518_1409728312387202,2016-08-08 06:40:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1409728312387202/?type=3,"Envie de petites vacances pour terminer l'été en beauté? Offrez-vous une escapade #oTENTik à seulement une heure de route de Montréal!
http://ow.ly/EYV1302XwnC",Envie de petites vacances pour terminer l'été en beauté? Offrez-vous une escapade à seulement une heure de route de Montréal! C,['#oTENTik'],34.0,94.0,317,454,['other'],[],fr,0.0,neutral,ParcsCanada_facebook
134615279898518_1446015582091808,2016-09-14 07:15:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1446015582091808/?type=3,"Vous voulez expérimenter quelque chose de complètement différent cet automne? Nous testons plusieurs nouveaux types d'hébergement et il est encore possible de réserver! Les couples devraient essayer le Micro-cube ou la Double-tente pour leur confort, ou encore le Cocon ou la Goutte d’Ô pour vivre une expérience hors du commun! Les familles et amis pourraient opter pour une Mini-maison sur roues. Plus d'information ici : http://ow.ly/tyho303ZCiu","Vous voulez eérimenter quelque chose de complètement différent cet automne? Nous testons plusieurs nouveaux types d'hébergement et il est encore possible de réserver! Les couples devraient essayer le Micro-cube ou la Double-tente pour leur confort, ou encore le Cocon ou la Goutte d’Ô pour vivre une eérience hors du commun! Les familles et amis pourraient opter pour une Mini-maison sur roues. Plus d'information ici : u",[],23.0,64.0,183,281,['Social'],"['famille', 'ami']",fr,0.0,neutral,ParcsCanada_facebook
485734081568161_794123340729232,2016-09-27 13:53:44,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/794123340729232/?type=3,"Soyez à l’affût des appels frauduleux. 

Attention aux fraudeurs qui appellent chez vous en prétendant représenter Sécurité publique Canada ou le Centre canadien de réponse aux incidents cybernétiques. Ces arnaqueurs essaient en fait d’accéder à votre ordinateur. 
Jamais un organisme du gouvernement du Canada ne vous appellera pour demander l’accès à votre ordinateur.

#PensezCybersécurité et renseignez-vous sur les façons de vous protéger contre les appels frauduleux : http://www.pensezcybersecurite.gc.ca/cnt/rsks/scms-frd/frdlnt-clls-fr.aspx",Soyez à l’affût des appels frauduleux. Attention aux fraudeurs qui appellent chez vous en prétendant représenter Sécurité publique Canada ou le Centre canadien de réponse aux incidents cybernétiques. Ces arnaqueurs essaient en fait d’accéder à votre ordinateur. Jamais un organisme du gouvernement du Canada ne vous appellera pour demander l’accès à votre ordinateur. écurité et renseignez-vous sur les façons de vous protéger contre les appels frauduleux :,['#PensezCybers'],1.0,112.0,16,129,"['Environmental', 'Social']","['publique', 'protéger']",fr,0.3,positive,QuestionsdargentCanada_facebook
134615279898518_1454470997912933,2016-09-22 10:59:42,https://www.facebook.com/ParcsCanada/videos/1454470997912933/,"Plus que 101 jours avant l’arrivée de 2017 et le début d’une année emballante de célébrations pour souligner #Canada150!
Pour l’occasion, nous vous invitons aux frontières de l’immensité de notre pays, dans ses #4Coins les plus éloignés.
Où que VOUS soyez, participez au décompte Canada 150 aujourd’hui!","Plus que jours avant l’arrivée de et le début d’une année emballante de célébrations pour souligner ! Pour l’occasion, nous vous invitons aux frontières de l’immensité de notre pays, dans ses les plus éloignés. Où que VOUS soyez, participez au décompte Canada aujourd’hui!","['#Canada150', '#4Coins']",0.0,72.0,42,119,['Social'],"['célébration', '#canada150', 'frontière', 'pays', 'participez']",fr,0.0,neutral,ParcsCanada_facebook
785488918368124929,2016-10-10 14:35:26,['https://t.co/tAY03UMNI'],Joyeuse #Actiondegrâce! Admirez les couleurs automnales dans l’un de nos parcs ou lieux historiques nationaux. https://t.co/tAY03UMNIc,Joyeuse ce Admirez les couleurs automnales dans un de nos parcs ou lieux historiques nationaux https co tAY03UMNIc,['#Actiondegr'],,78.0,168,246,"['Environmental', 'Social']","['parc', 'historique']",fr,0.0,Neutral,ParcsCanada_tweeter
134615279898518_1467473786612654,2016-10-10 12:40:00,https://www.facebook.com/ParcsCanada/videos/1467473786612654/,"Revivez les souvenirs de Marc Bergevin, directeur général des Canadiens de Montréal, au canal de Lachine! Regardez la #vidéo complète ici : http://ow.ly/WuF3304SZmO","Revivez les souvenirs de Marc Bergevin, directeur général des Canadiens de Montréal, au canal de Lachine! Regardez la éo complète ici :",['#vid'],16.0,19.0,103,151,['other'],[],fr,0.0,neutral,ParcsCanada_facebook
134615279898518_1480127608680605,2016-10-18 05:55:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1480127608680605/?type=3,"Il vous reste moins d'une semaine pour postuler pour les postes dans l’équipe d’engagement et de diffusion du Nord de Parcs Canada! Oserez-vous vous offrir l’un des meilleurs emplois d’été qui implique une expédition en arctique? 

Vous pouvez postuler du 16 au 23 octobre pour des postes disponibles à #Ottawa, #Vancouver et #Montréal.

Plus d'info ici :http://ow.ly/7IWl305gF0V","Il vous reste moins d'une semaine pour postuler pour les postes dans l’équipe d’engagement et de diffusion du Nord de Parcs Canada! Oserez-vous vous offrir l’un des meilleurs emplois d’été qui implique une eédition en arctique? Vous pouvez postuler du au octobre pour des postes disponibles à , et éal. Plus d'info ici :","['#Ottawa', '#Vancouver', '#Montr']",10.0,68.0,52,136,"['Economical', 'Environmental', 'Social']","['nord', 'parc', 'emploi']",fr,0.0,neutral,ParcsCanada_facebook
134615279898518_1504059299620769,2016-11-07 15:00:32,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1504059299620769/?type=3,"175 ans, ça se fête en grand! Les 19 et 20 novembre, venez célébrer l’anniversaire de sir Wilfrid Laurier au lieu historique national de la Maison-Laurier à Ottawa, qui vous ouvre ses portes GRATUITEMENT pour l’occasion. http://ow.ly/fQEf305WhLt","ans, ça se fête en grand! Les et novembre, venez célébrer l’anniversaire de sir Wilfrid Laurier au lieu historique national de la Maison-Laurier à Ottawa, qui vous ouvre ses portes GRATUITEMENT pour l’occasion.",[],11.0,162.0,265,452,['Social'],"['fête', 'célébrer', 'historique']",fr,0.0,neutral,ParcsCanada_facebook
460123390028_10157795825810029,2016-11-23 09:01:44,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/videos/10157795825810029/,,,[],106.0,35.0,153,324,['other'],[],tl,0.041605943152454784,positive,EnvironnementetressourcesnaturellesauCanada_facebook
793479133053460481,2016-11-01 15:45:42,['https://\xe2\x80\xa6'],"RT @VeteransFR_CA: Ce novembre, ajoutez un coquelicot à votre photo de profil pour rendre hommage et remercier et #nelesoubliezpas https://…",RT Ce novembre ajoutez un coquelicot votre photo de profil pour rendre hommage et remercier et nelesoubliezpas https,['#nelesoubliezpas'],,236.0,0,236,['Social'],['coquelicot'],fr,0.0,Neutral,MPO_DFO_tweeter
