,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category
10,10,10,10,377625007887_10155981550892888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155981550892888/?type=3,2017-12-27 20:00:36,0,0,4,0,0,0,0,0,0,0,Le saviez-vous? Environnement Canada émet des alertes météo spéciales pour vous aider à affronter l’hiver. En savoir plus :,[],['http://ow.ly/Ihza30hoVXo'],Le saviez vous Environnement Canada met des alertes ciales pour vous aider affronter hiver En savoir plus http ow ly Ihza30hoVXo,"['Le', 'saviez', 'vous', 'Environnement', 'Canada', 'met', 'des', 'alertes', 'ciales', 'pour', 'vous', 'aider', 'affronter', 'hiver', 'En', 'savoir', 'plus', 'http', 'ow', 'ly', 'Ihza30hoVXo']","['le', u'saviez', u'vous', u'environn', u'canada', u'met', u'des', u'alert', u'cial', u'pour', u'vous', u'aider', u'affront', u'hiver', 'en', u'savoir', u'plus', u'http', 'ow', 'ly', u'ihza30hovxo']",Le saviez-vous? Environnement Canada émet des alertes météo spéciales pour vous aider à affronter l’hiver. En savoir plus : http://ow.ly/Ihza30hoVXo,Environmental
11,11,11,11,377625007887_10155980316522888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155980316522888/?type=3,2017-12-27 09:15:16,0,0,0,0,0,0,0,0,0,0,Prendre l’avion peut être stressant. Voyagez en toute tranquillité et apportez un siège d’auto pour votre enfant,[],['http://ow.ly/VFkC30f5NQ3'],Prendre avion peut stressant Voyagez en toute et apportez un ge auto pour votre enfant http ow ly VFkC30f5NQ3,"['Prendre', 'avion', 'peut', 'stressant', 'Voyagez', 'en', 'toute', 'et', 'apportez', 'un', 'ge', 'auto', 'pour', 'votre', 'enfant', 'http', 'ow', 'ly', 'VFkC30f5NQ3']","[u'prendr', u'avion', u'peut', u'stressant', u'voyagez', 'en', u'tout', 'et', u'apportez', 'un', 'ge', u'auto', u'pour', u'votr', u'enfant', u'http', 'ow', 'ly', u'vfkc30f5nq3']",Prendre l’avion peut être stressant. Voyagez en toute tranquillité et apportez un siège d’auto pour votre enfant http://ow.ly/VFkC30f5NQ3,Environmental
12,12,12,12,377625007887_10155979129422888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155979129422888/?type=3,2017-12-26 20:00:37,17,4,53,14,1,0,1,0,1,0,"Vous achetez un drone? Gardez-le à mètres d’altitude et ,5 kilomètres des aéroports. C’est la loi",[],['https://goo.gl/83awQy'],Vous achetez un drone Gardez le 90 tres altitude et tres des roports est la loi https goo gl 83awQy,"['Vous', 'achetez', 'un', 'drone', 'Gardez', 'le', '90', 'tres', 'altitude', 'et', 'tres', 'des', 'roports', 'est', 'la', 'loi', 'https', 'goo', 'gl', '83awQy']","[u'vous', u'achetez', 'un', u'drone', u'gardez', 'le', '90', u'tres', u'altitud', 'et', u'tres', u'des', u'roport', u'est', 'la', u'loi', u'https', u'goo', 'gl', u'83awqi']","Vous achetez un drone? Gardez-le à 90 mètres d’altitude et 5,5 kilomètres des aéroports. C’est la loi https://goo.gl/83awQy",Environmental
13,13,13,13,377625007887_10155977755587888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155977755587888/?type=3,2017-12-26 08:01:01,5,1,2,5,0,0,0,0,0,0,"En hiver, planifiez votre trajet et vérifiez votre niveau de carburant. Gardez votre réservoir au moins à moitié plein",[],['http://ow.ly/BZoY305HIiw'],En hiver planifiez votre trajet et rifiez votre niveau de carburant Gardez votre servoir au moins plein http ow ly BZoY305HIiw,"['En', 'hiver', 'planifiez', 'votre', 'trajet', 'et', 'rifiez', 'votre', 'niveau', 'de', 'carburant', 'Gardez', 'votre', 'servoir', 'au', 'moins', 'plein', 'http', 'ow', 'ly', 'BZoY305HIiw']","['en', u'hiver', u'planifiez', u'votr', u'trajet', 'et', u'rifiez', u'votr', u'niveau', 'de', u'carbur', u'gardez', u'votr', u'servoir', 'au', u'moin', u'plein', u'http', 'ow', 'ly', u'bzoy305hiiw']","En hiver, planifiez votre trajet et vérifiez votre niveau de carburant. Gardez votre réservoir au moins à moitié plein http://ow.ly/BZoY305HIiw",Environmental
14,14,14,14,377625007887_10155976663307888,,status,,2017-12-25 20:00:27,8,0,0,7,1,0,0,0,0,0,"Nous vous souhaitons un très joyeux temps des Fêtes. Que vous voyagiez en avion, en auto ou en bateau, faites-le en toute sécurité!",[],[],Nous vous souhaitons un joyeux temps des Que vous voyagiez en avion en auto ou en bateau faites le en toute,"['Nous', 'vous', 'souhaitons', 'un', 'joyeux', 'temps', 'des', 'Que', 'vous', 'voyagiez', 'en', 'avion', 'en', 'auto', 'ou', 'en', 'bateau', 'faites', 'le', 'en', 'toute']","[u'nous', u'vous', u'souhaiton', 'un', u'joyeux', u'temp', u'des', u'que', u'vous', u'voyagiez', 'en', u'avion', 'en', u'auto', 'ou', 'en', u'bateau', u'fait', 'le', 'en', u'tout']","Nous vous souhaitons un très joyeux temps des Fêtes. Que vous voyagiez en avion, en auto ou en bateau, faites-le en toute sécurité!",Environmental
15,15,15,15,377625007887_10155973851452888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155973851452888/?type=3,2017-12-24 20:00:29,11,2,2,6,2,0,2,1,0,0,"Cette nuit, gardez votre drone à l’intérieur. Faites place au père Noël! Il ne faudrait surtout pas effrayer les rennes!",[],['https://goo.gl/83awQy'],Cette nuit gardez votre drone rieur Faites place au Il ne faudrait surtout pas effrayer les rennes https goo gl 83awQy,"['Cette', 'nuit', 'gardez', 'votre', 'drone', 'rieur', 'Faites', 'place', 'au', 'Il', 'ne', 'faudrait', 'surtout', 'pas', 'effrayer', 'les', 'rennes', 'https', 'goo', 'gl', '83awQy']","[u'cett', u'nuit', u'gardez', u'votr', u'drone', u'rieur', u'fait', u'place', 'au', 'il', 'ne', u'faudrait', u'surtout', u'pas', u'effray', u'les', u'renn', u'https', u'goo', 'gl', u'83awqi']","Cette nuit, gardez votre drone à l’intérieur. Faites place au père Noël! Il ne faudrait surtout pas effrayer les rennes! https://goo.gl/83awQy",Social
16,16,16,16,377625007887_10155963065217888,le père Noël,video,https://www.facebook.com/TransportsetInfrastructureauCanada/videos/10155963065217888/,2017-12-24 10:00:00,32,1,13,22,6,0,4,0,0,0,En rappel : Mystère résolu! Voici pourquoi le père Noël ne répondait pas aux textos de notre premier ministre il y a quelques jours. Joyeuses Fêtes!,[],[],En rappel solu Voici pourquoi le ne pondait pas aux textos de notre premier ministre il quelques jours Joyeuses,"['En', 'rappel', 'solu', 'Voici', 'pourquoi', 'le', 'ne', 'pondait', 'pas', 'aux', 'textos', 'de', 'notre', 'premier', 'ministre', 'il', 'quelques', 'jours', 'Joyeuses']","['en', u'rappel', u'solu', u'voici', u'pourquoi', 'le', 'ne', u'pondait', u'pas', u'aux', u'texto', 'de', u'notr', u'premier', u'ministr', 'il', u'quelqu', u'jour', u'joyeus']",En rappel : Mystère résolu! Voici pourquoi le père Noël ne répondait pas aux textos de notre premier ministre il y a quelques jours. Joyeuses Fêtes!,Economical
17,17,17,17,377625007887_10155972231752888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155972231752888/?type=3,2017-12-24 08:00:47,2,2,0,2,0,0,0,0,0,0,Passeport? Oui! Bébé? Oui! Siège d’auto? Oui! Assurez-vous d’avoir tout ce dont vous avez besoin lorsque vous prenez l’avion avec un enfant,[],['http://ow.ly/VFkC30f5NQ3'],Passeport Oui Oui ge auto Oui Assurez vous avoir tout ce dont vous avez besoin lorsque vous prenez avion avec un enfant http ow ly VFkC30f5NQ3,"['Passeport', 'Oui', 'Oui', 'ge', 'auto', 'Oui', 'Assurez', 'vous', 'avoir', 'tout', 'ce', 'dont', 'vous', 'avez', 'besoin', 'lorsque', 'vous', 'prenez', 'avion', 'avec', 'un', 'enfant', 'http', 'ow', 'ly', 'VFkC30f5NQ3']","[u'passeport', u'oui', u'oui', 'ge', u'auto', u'oui', u'assurez', u'vous', u'avoir', u'tout', 'ce', u'dont', u'vous', u'avez', u'besoin', u'lorsqu', u'vous', u'prenez', u'avion', u'avec', 'un', u'enfant', u'http', 'ow', 'ly', u'vfkc30f5nq3']",Passeport? Oui! Bébé? Oui! Siège d’auto? Oui! Assurez-vous d’avoir tout ce dont vous avez besoin lorsque vous prenez l’avion avec un enfant http://ow.ly/VFkC30f5NQ3,Environmental
18,18,18,18,377625007887_10155970037967888,Le ministre Garneau autorise le père Noël à décoller! - Canada.ca,link,http://ow.ly/OBbD30hm4sR,2017-12-23 10:00:28,4,2,1,2,1,0,1,0,0,0,"Le saviez-vous? Cette année, le père Noël réduira sa vitesse en survolant les voies navigables du Canada. Ses rennes se déplaceront à une vitesse maximale de trots (équivalent à nœuds) au-dessus de l’Ouest du golfe du Saint-Laurent pour protéger les baleines qui pourraient se pointer le bout du nez 🦌",[],['http://ow.ly/OBbD30hm4sR'],Le saviez vous Cette le duira sa vitesse en survolant les voies navigables du Canada Ses rennes se placeront une vitesse maximale de 10 trots quivalent 10 uds au dessus de Ouest du golfe du Saint Laurent pour ger les baleines qui pourraient se pointer le bout du nez http ow ly OBbD30hm4sR,"['Le', 'saviez', 'vous', 'Cette', 'le', 'duira', 'sa', 'vitesse', 'en', 'survolant', 'les', 'voies', 'navigables', 'du', 'Canada', 'Ses', 'rennes', 'se', 'placeront', 'une', 'vitesse', 'maximale', 'de', '10', 'trots', 'quivalent', '10', 'uds', 'au', 'dessus', 'de', 'Ouest', 'du', 'golfe', 'du', 'Saint', 'Laurent', 'pour', 'ger', 'les', 'baleines', 'qui', 'pourraient', 'se', 'pointer', 'le', 'bout', 'du', 'nez', 'http', 'ow', 'ly', 'OBbD30hm4sR']","['le', u'saviez', u'vous', u'cett', 'le', u'duira', 'sa', u'vitess', 'en', u'survol', u'les', u'voi', u'navig', 'du', u'canada', u'ses', u'renn', 'se', u'placeront', u'une', u'vitess', u'maximal', 'de', '10', u'trot', u'quival', '10', u'ud', 'au', u'dessus', 'de', u'ouest', 'du', u'golf', 'du', u'saint', u'laurent', u'pour', u'ger', u'les', u'balein', u'qui', u'pourraient', 'se', u'pointer', 'le', u'bout', 'du', u'nez', u'http', 'ow', 'ly', u'obbd30hm4sr']","Le saviez-vous? Cette année, le père Noël réduira sa vitesse en survolant les voies navigables du Canada. Ses rennes se déplaceront à une vitesse maximale de 10 trots (équivalent à 10 nœuds) au-dessus de l’Ouest du golfe du Saint-Laurent pour protéger les baleines qui pourraient se pointer le bout du nez 🦌🐋 http://ow.ly/OBbD30hm4sR",Social
19,19,19,19,377625007887_10155969755922888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155969755922888/?type=3,2017-12-23 08:00:52,0,0,4,0,0,0,0,0,0,0,Vous visitez votre famille pendant le temps des Fêtes? Il est important de voir clair et d’être vu. Connaissez bien les différents feux de votre véhicule,[],['http://ow.ly/X5cF30hm1WO'],Vous visitez votre famille pendant le temps des Il est important de voir clair et vu Connaissez bien les rents feux de votre hicule http ow ly X5cF30hm1WO,"['Vous', 'visitez', 'votre', 'famille', 'pendant', 'le', 'temps', 'des', 'Il', 'est', 'important', 'de', 'voir', 'clair', 'et', 'vu', 'Connaissez', 'bien', 'les', 'rents', 'feux', 'de', 'votre', 'hicule', 'http', 'ow', 'ly', 'X5cF30hm1WO']","[u'vous', u'visitez', u'votr', u'famill', u'pendant', 'le', u'temp', u'des', 'il', u'est', u'import', 'de', u'voir', u'clair', 'et', 'vu', u'connaissez', u'bien', u'les', u'rent', u'feux', 'de', u'votr', u'hicul', u'http', 'ow', 'ly', u'x5cf30hm1wo']",Vous visitez votre famille pendant le temps des Fêtes? Il est important de voir clair et d’être vu. Connaissez bien les différents feux de votre véhicule http://ow.ly/X5cF30hm1WO,Environmental
20,20,20,20,377625007887_10155968658392888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155968658392888/?type=3,2017-12-22 20:00:34,1,1,0,0,1,0,0,0,0,0,Passez le contrôle de sûreté à l’aéroport sans tracas. Sachez à quoi vous attendre et soyez bien préparé,[],['http://ow.ly/o5dX30hm1on'],Passez le le de roport sans tracas Sachez quoi vous attendre et soyez bien http ow ly o5dX30hm1on,"['Passez', 'le', 'le', 'de', 'roport', 'sans', 'tracas', 'Sachez', 'quoi', 'vous', 'attendre', 'et', 'soyez', 'bien', 'http', 'ow', 'ly', 'o5dX30hm1on']","[u'passez', 'le', 'le', 'de', u'roport', u'san', u'traca', u'sachez', u'quoi', u'vous', u'attendr', 'et', u'soyez', u'bien', u'http', 'ow', 'ly', u'o5dx30hm1on']",Passez le contrôle de sûreté à l’aéroport sans tracas. Sachez à quoi vous attendre et soyez bien préparé http://ow.ly/o5dX30hm1on,Environmental
21,21,21,21,377625007887_10155968230047888,Timeline Photos,photo,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155968230047888/?type=3,2017-12-22 16:00:41,1,0,15,1,0,0,0,0,0,0,"Vous achetez un drone? Il y a des règles. Ne risquez pas une amende, faites-le voler de façon sécuritaire et légale",[],['https://goo.gl/83awQy'],Vous achetez un drone Il des gles Ne risquez pas une amende faites le voler de curitaire et gale https goo gl 83awQy,"['Vous', 'achetez', 'un', 'drone', 'Il', 'des', 'gles', 'Ne', 'risquez', 'pas', 'une', 'amende', 'faites', 'le', 'voler', 'de', 'curitaire', 'et', 'gale', 'https', 'goo', 'gl', '83awQy']","[u'vous', u'achetez', 'un', u'drone', 'il', u'des', u'gles', 'ne', u'risquez', u'pas', u'une', u'amend', u'fait', 'le', u'voler', 'de', u'curitair', 'et', u'gale', u'https', u'goo', 'gl', u'83awqi']","Vous achetez un drone? Il y a des règles. Ne risquez pas une amende, faites-le voler de façon sécuritaire et légale https://goo.gl/83awQy",Environmental
