Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_likes,Reactions_SUM,language,average_sentiment_score,account_name,words_matched_list,sentiment,matched_keywords,category
10,2017-11-10_12-50-33,2017-11-10T12:50:33,https://instagram.fyvr3-1.fna.fbcdn.net/vp/643fb7b457aabcfa0b6e9ed78e10d794/5ADEEDFD/t51.2885-15/e35/25007056_315531385612764_3789569423308750848_n.jpg,"Here at Environment and Climate Change Canada, World Science Day is every day! We conduct research on wildlife, weather, climate and atmosphere and much more!...",Environment Climate Change Canada World Science Day every day conduct research wildlife weather climate atmosphere much WorldScienceDay EnvironmentCan EnvironmentCanada Science InstaScience,"[""worldscienceday"",""environmentcan"",""environmentcanada"",""science"",""instascience""]",1,114,115,en,0.8,canenvironment_instagram,"['climate change', 'climate', 'wildlife', 'climat', 'or']",positive,"['climate', 'change', 'wildlife', 'climate']",Environmental
11,2017-07-19_11-44-09,2017-07-19T11:44:09,https://instagram.fyvr3-1.fna.fbcdn.net/vp/76fc24b22b6737a093ac26cfba4c5b0a/5ADEDEB0/t51.2885-15/e35/24332386_1564884673591293_2015809245013868544_n.jpg,"No you’re not seeing double, these are twin calves captured by one of our Reconyx cams! We use motion-sensor cameras to photograph wildlife in their natural habitats.....",seeing double twin calves captured one Reconyx cams use motion sensor cameras photograph wildlife natural habitats Reconyx WildlifeCam Moose CanadianMoose CanadianWildlife ProtectedAreas WildlifeConservation CanadianWildlifeService EnvironmentCanada,"[""reconyx"",""wildlifecam"",""moose"",""canadianmoose"",""canadianwildlife"",""protectedareas"",""wildlifeconservation"",""canadianwildlifeservice"",""environmentcanada""]",1,111,112,en,0.0,canenvironment_instagram,"['wildlife', 'natural', 'ice', 'conservation', 'mer', 'or']",neutral,"['wildlife', 'natural']",Environmental
12,2017-08-01_11-24-26,2017-08-01T11:24:26,https://instagram.fyvr3-1.fna.fbcdn.net/vp/69f7653093cd13754606b7d83c59c3f7/5AF16DA5/t51.2885-15/e35/24332214_466692590399118_5987973069698760704_n.jpg,A family of ducks has built its nest on our living sphere! Proof that nature quickly adapts to change as long as it is biodiversity-friendly....,family ducks built nest living sphere Proof nature quickly adapts change long biodiversity friendly Biosphere mtlmoments MtlBiosphere EnvironmentCanada Ducks InstaDucks Wildlife CanadianWildlife MontrealMuseums,"[""biosphere"",""mtlmoments"",""mtlbiosphere"",""environmentcanada"",""ducks"",""instaducks"",""wildlife"",""canadianwildlife"",""montrealmuseums""]",1,111,112,en,0.4375,canenvironment_instagram,"['ami', 'diversity', 'family', 'nature', 'friend', 'change']",positive,"['family', 'nature', 'nature', 'change']",Social
13,2017-11-23_13-28-41,2017-11-23T13:28:41,https://instagram.fyvr3-1.fna.fbcdn.net/vp/3e2d7a6389f7ba1ea8d21f37d9a77f52/5A63715A/t51.2885-15/e15/24838239_896218377211433_2235397995006787584_n.jpg,"This month, we are celebrating the th anniversary of the Canadian Wildlife Service! Our employees in the Canadian Wildlife Service have worked hard since to protect and manage migratory birds, species at risk, and their habitats. Did you know that they also manage national wildlife areas and Migratory Bird Sanctuaries?...",month celebrating 70th anniversary Canadian Wildlife Service employees Canadian Wildlife Service worked hard since 1947 protect manage migratory birds species risk habitats know also manage 54 national wildlife areas 92 Migratory Bird Sanctuaries CanadianWildlifeService Anniversary HappyAnniversary Throwback ThrowbackThursday TBT Wildlife MigratoryBirds SpeciesAtRisk Habitat EnvironmentCanada EnvironmentCan,"[""canadianwildlifeservice"",""anniversary"",""happyanniversary"",""throwback"",""throwbackthursday"",""tbt"",""wildlife"",""migratorybirds"",""speciesatrisk"",""habitat"",""environmentcanada"",""environmentcan""]",3,106,109,en,0.4737500000000001,canenvironment_instagram,"['wildlife', 'or', 'bird', 'ice', 'species']",positive,"['wildlife', 'wildlife', 'bird', 'specie', 'wildlife', 'bird']",Environmental
14,2017-01-30_08-00-10,2017-01-30T08:00:10,https://instagram.fyvr3-1.fna.fbcdn.net/vp/56e88eb95eed7da6b8a22f5d796ca0b5/5AF37832/t51.2885-15/e35/24327718_152329445402960_341727573962653696_n.jpg,"! This burrowing owl is doing his best to live up to the shining example set by our good friend the Common Loon. This little bird lives in one of National Wildlife Areas across Canada, where nationally significant habitats are protected for plants, animals and humans alike.  ",StrikeAPose burrowing owl best live shining example set good friend Common Loon nThis little bird lives one 54 National Wildlife Areas across Canada nationally significant habitats protected plants animals humans alike BirdYear BirdNerd BurrowingOwl Owl Owls InstaOwls Wildlife NationalWildlifeArea CanEnvironment NaturePhotography WildlifePhotography vogueingowl,"[""strikeapose"",""birdyear"",""birdnerd"",""burrowingowl"",""owl"",""owls"",""instaowls"",""wildlife"",""nationalwildlifearea"",""canenvironment"",""naturephotography"",""wildlifephotography"",""vogueingowl""]",0,105,105,en,0.0,canenvironment_instagram,"['plants', 'wildlife', 'bird', 'nature']",neutral,"['friend', 'bird', 'wildlife', 'plant']",Environmental
15,2017-10-18_13-55-53,2017-10-18T13:55:53,https://instagram.fyvr3-1.fna.fbcdn.net/vp/61b1336b577f3fd4499212708554a242/5AFBF766/t51.2885-15/e35/24327289_2439244732966528_3226909569158479872_n.jpg,"Our scientists are testing different technologies to produce better weather forecasts in the North! A new portable weather radar was installed in Whitehorse, Yukon, to determine which technology would be best suited for Arctic weather conditions....",scientists testing different technologies produce better weather forecasts North new portable weather radar installed Whitehorse Yukon determine technology would best suited Arctic weather conditions Whitehorse Yukon WeatherWednesday EnvironmentCanada EnvironmentCan Arctic Weather,"[""whitehorse"",""yukon"",""weatherwednesday"",""environmentcanada"",""environmentcan"",""arctic"",""weather""]",0,105,105,en,0.0,canenvironment_instagram,"['technologies', 'technologie', 'arctic']",neutral,"['technology', 'technology', 'arctic']",Economical
16,2017-01-13_08-29-12,2017-01-13T08:29:12,https://instagram.fyvr3-1.fna.fbcdn.net/vp/0788b0bc570e7db60bb0423d9a2f6778/5AE76F1E/t51.2885-15/e35/24178211_151359228828749_3263402128156131328_n.jpg,"Despite having the latest in technology, meteorologists still perform a hand analysis of weather maps daily at the Prairie and Arctic Storm Prediction Centre in Edmonton. Colouring is one of the best parts of the job! ",Despite latest technology meteorologists still perform hand analysis weather maps daily Prairie Arctic Storm Prediction Centre Edmonton Colouring one best parts job ColouringIsforAdultsToo Colouring Coloring HandDrawing meteorology deskjob busyatwork YEG alberta wx stormwarning severeweather computer setup weather weatherlive weathernerd mapmaker mymap photooftheday seasons Meteorologists Instaweather EnvironmentCan EnvironmentCanada,"[""colouringisforadultstoo"",""colouring"",""coloring"",""handdrawing"",""meteorology"",""deskjob"",""busyatwork"",""yeg"",""alberta"",""wx"",""stormwarning"",""severeweather"",""computer"",""setup"",""weather"",""weatherlive"",""weathernerd"",""mapmaker"",""mymap"",""photooftheday"",""seasons"",""meteorologists"",""instaweather"",""environmentcan"",""environmentcanada""]",6,98,104,en,0.39341517857142855,canenvironment_instagram,"['or', 'air']",positive,"['technology', 'arctic']",Economical
17,2017-01-27_07-40-15,2017-01-27T07:40:15,https://instagram.fyvr3-1.fna.fbcdn.net/vp/ee7bb98dd74cba78a3d64e4d6c490c93/5AF19563/t51.2885-15/e35/25010690_1570842046326225_5129324543617269760_n.jpg,"Pssst… If you didn’t know this by now, you should. We’re a little obsessed with owls 🦉 OWL OF EM’! (How couldn’t we?) So we just thought we would share this photo with you. A Snowy Owl hanging on a hay bale, no big thang.",know little obsessed owls OWL thought would share photo Snowy Owl hanging hay bale big thang CutenessOverload SnowyOwl Owls InstaOwls OwlsLovers HayBale Hay FarmLand Canada EnvironmentCan EnvironmentCanada FieldWork WolfeIsland Ontario DiscoverON NaturePhotography WildlifePhotography,"[""cutenessoverload"",""snowyowl"",""owls"",""instaowls"",""owlslovers"",""haybale"",""hay"",""farmland"",""canada"",""environmentcan"",""environmentcanada"",""fieldwork"",""wolfeisland"",""ontario"",""discoveron"",""naturephotography"",""wildlifephotography""]",1,103,104,en,0.0,canenvironment_instagram,"['wildlife', 'or', 'nature']",neutral,[],unknown
18,2017-11-28_05-52-04,2017-11-28T05:52:04,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e4d270501fc7203b7d9c292e919bfd5f/5ADAA312/t51.2885-15/e35/25010186_137279530382087_1572524978903973888_n.jpg,Environment and Climate Change's Committee on the Status of Endangered Wildlife is celebrating years of dedication to wildlife conservation! This group is made up of scientists and Indigenous Knowledge-holders that assess wildlife in Canada. Join us in congratulating this team on years of hard work!... ‎,Environment Climate Change Committee Status Endangered Wildlife celebrating 40 years dedication wildlife conservation group made scientists Indigenous Knowledge holders assess wildlife Canada Join us congratulating team 40 years hard work Wildlife CanadianWildlife Conservation EnvironmentCan ExploreCanada CanadianNature NatureCanada Biology,"[""wildlife"",""canadianwildlife"",""conservation"",""environmentcan"",""environmentcanada"",""explorecanada"",""canadiannature"",""naturecanada"",""biology""]",0,103,103,en,0.0,canenvironment_instagram,"['biology', 'climat', 'nature', 'climate change', 'climate', 'conservation', 'wildlife', 'or']",neutral,"['climate', 'wildlife', 'wildlife', 'indigenous', 'wildlife']",Environmental
19,2017-02-28_06-20-07,2017-02-28T06:20:07,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4ea88c30bd728bb912f244ae9370e841/5AE52EB6/t51.2885-15/e35/24838839_372719166488938_6087449614695268352_n.jpg,"In central Labrador, near Happy Valley-Goose Bay, wildlife biologist Paul is joined by his best friend Bailey. Equipped with a much needed cup of coffee, they set out for the count on an exceptionally cold day (around ).",central Labrador near Happy Valley Goose Bay wildlife biologist Paul joined best friend Bailey Equipped much needed cup coffee set count exceptionally cold day around 38 ChristmasBirdCount BiologistsOfInstagram InstaScience BirdCount NatureLovers CanadianWildlifeService CanEnvironment HiddenGem PerksOfFieldwork EnvironmentCanada Adventures Fieldwork Canada AtlanticCanada TheBigLand InstaDogs DogsOfInstagram BestWorkBuddyEver,"[""christmasbirdcount"",""biologistsofinstagram"",""instascience"",""birdcount"",""naturelovers"",""canadianwildlifeservice"",""canenvironment"",""hiddengem"",""perksoffieldwork"",""environmentcanada"",""adventures"",""fieldwork"",""canada"",""atlanticcanada"",""thebigland"",""instadogs"",""dogsofinstagram"",""bestworkbuddyever""]",5,98,103,en,-0.03333333333333333,canenvironment_instagram,"['wildlife', 'or', 'bird', 'ice', 'nature']",negative,"['wildlife', 'friend']",Environmental
20,2017-03-15_06-58-25,2017-03-15T06:58:25,https://instagram.fyvr3-1.fna.fbcdn.net/vp/646eca521628259a82ae56c97086bb73/5ADC7FDC/t51.2885-15/e35/25010120_858798157635926_424169234986172416_n.jpg,"Two Arctic Wolves relaxing after a feast near Eureka Weather Station, Nunavut. “One day as I was outside and driving up near the dump outside of the station I came across these two wolves off of the runway relaxing after a meal. Seeing the stain in the fur on the one wolf was truly amazing.” – Braden, MSC crew..... : Braden Bunce",Two Arctic Wolves relaxing feast near Eureka Weather Station Nunavut One day outside driving near dump outside station came across two wolves runway relaxing meal Seeing stain fur one wolf truly amazing Braden MSC crew PerksOfFieldWork InstaScience MeteorologicalTechnologist MeteorologicalServiceOfCanada Eureka WeatherStation Nunavut ArcticScience WildlifePhotography NaturePhotography InstaWolves Braden Bunce,"[""perksoffieldwork"",""instascience"",""meteorologicaltechnologist"",""meteorologicalserviceofcanada"",""eureka"",""weatherstation"",""nunavut"",""arcticscience"",""wildlifephotography"",""naturephotography"",""instawolves""]",0,99,99,en,0.0,canenvironment_instagram,"['wildlife', 'or', 'ice', 'nature']",neutral,['arctic'],Economical
21,2017-12-11_07-57-41,2017-12-11T07:57:41,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a9f40e9bebc2742065e0c4564fa38a00/5AFD3138/t51.2885-15/e35/25023704_2004453643167686_9221941069715865600_n.jpg,"Canadian Wildlife Service Species at Risk biologist, Dr. Wellicome, trains a field technician to use a scope to view the underground nest of a Burrowing Owl. The scope feeds live infrared video to a pair of goggles, allowing the user to count how many adult owls, owlets, eggs, and cached prey are inside the burrow. Using a hood helps block out daylight glare to get a clearer image in the gOWLggles.: Danielle Todd... ",Canadian Wildlife Service Species Risk biologist Dr Wellicome trains field technician use scope view underground nest Burrowing Owl scope feeds live infrared video pair goggles allowing user count many adult owls owlets eggs cached prey inside burrow Using hood helps block daylight glare get clearer image gOWLggles Danielle Todd SpeciesAtRisk BurrowingOwl Owls Owl InstaOwls Fieldwork BiologistLife BirdNerd CanadianWildlifeService EnvironmentCanada EnvironmentCan,"[""speciesatrisk"",""burrowingowl"",""owls"",""owl"",""instaowls"",""fieldwork"",""biologistlife"",""birdnerd"",""canadianwildlifeservice"",""environmentcanada"",""environmentcan""]",2,96,98,en,0.2393939393939394,canenvironment_instagram,"['wildlife', 'ice', 'or', 'bird', 'air', 'species']",positive,['wildlife'],Environmental
22,2017-02-16_11-49-09,2017-02-16T11:49:09,https://instagram.fyvr3-1.fna.fbcdn.net/vp/258ae55457316a04721db3507f3625b1/5AFA4D10/t51.2885-15/e35/25008534_1337487939714271_66270112721666048_n.jpg,"Sable Island is often referred to as the “Graveyard of the Atlantic” because of its many shipwrecks. A migratory bird sanctuary was established on the island in , and covers the entire island, a crescent of sand extending along an east-west axis for approximately km. And you can find wild horses here too! Andrew Macfarlane",Sable Island often referred Graveyard many shipwrecks migratory bird sanctuary established island 1977 covers entire island crescent sand extending along east west axis approximately 32 km find wild horses Canada150 ECcan150 Canada CanadianWildlife Conservation MigratoryBirds SableIsland Halifax NS NovaScotia ExploreNS AtlanticOcean NoFilterNeeded Habitat HabitatConservation CanEnvironment EnvironmentCanada BirdNerds CanadianWildlifeService Andrew Macfarlane,"[""canada150"",""eccan150"",""canada"",""canadianwildlife"",""conservation"",""migratorybirds"",""sableisland"",""halifax"",""ns"",""novascotia"",""explorens"",""atlanticocean"",""nofilterneeded"",""habitat"",""habitatconservation"",""canenvironment"",""environmentcanada"",""birdnerds"",""canadianwildlifeservice""]",0,98,98,en,0.0,canenvironment_instagram,"['wildlife', 'conservation', 'bird', 'ice', 'or']",neutral,['bird'],Environmental
23,2017-12-29_07-30-21,2017-12-29T07:30:21,https://instagram.fyvr3-1.fna.fbcdn.net/vp/7f3e6da169fb5b256372dac9d489d7f8/5AF4EDCA/t51.2885-15/e35/26069132_111519226315207_892588104978792448_n.jpg,"It’s Arctic Science Month! Cheryl is a wildlife scientist here at Environment and Climate Change Canada. Together with her team, Indigenous knowledge and innovative research techniques are combined to understand how changing snow and ice conditions – driven by climate change – affect the habitat of the Peary Caribou, which lives in the high arctic, and is considered endangered in Canada. ... ",Arctic Science Month Cheryl wildlife scientist Environment Climate Change Canada Together team Indigenous knowledge innovative research techniques combined understand changing snow ice conditions driven climate change affect habitat Peary Caribou lives high arctic considered endangered Canada ArcticScience ArcticScienceMonth ScienceAndTechnology InstaScience CanadianWildlife Wildlife ClimateChange WomenInScience EnvironmentCanada EnvironmentCan,"[""arcticscience"",""arcticsciencemonth"",""scienceandtechnology"",""instascience"",""canadianwildlife"",""wildlife"",""climatechange"",""womeninscience"",""environmentcanada"",""environmentcan""]",2,95,97,en,0.0,canenvironment_instagram,"['climate change', 'climate', 'wildlife', 'ice', 'climat']",neutral,"['arctic', 'wildlife', 'climate', 'change', 'indigenous', 'innovative', 'ice', 'climate_change', 'arctic']",Environmental
