,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_shares,num_likes,Reactions_SUM,category,matched_keywords,language,average_sentiment_score,sentiment,account_name
1,137563459593611_1384948318188446,2016-07-04 06:05:00,https://www.facebook.com/ParksCanada/videos/1384948318188446/,"Get up close and personal with #Montreal #jazz legend Oliver Jones as he recounts his childhood memories at the Lachine Canal!  
 
Watch the full #video here: https://youtu.be/rUIIMIXKkPc",Get up close and personal with legend Oliver Jones as he recounts his childhood memories at the Lachine Canal! Watch the full here: c,"['#Montreal', '#jazz', '#video']",70.0,838.0,1762,2868,Social,['#video'],en,0.2449655202821869,positive,ParksCanada_facebook
2,137563459593611_1388278511188760,2016-07-06 09:33:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1388278511188760/?type=3,"Canada's largest national park, Wood Buffalo National Park, boasts the largest beaver dam in THE WORLD! Average beaver dams in Canada are 10 to 100 metres long. This one spans about 850 metres, an animal-made structure so large it is visible from space! http://ow.ly/Rbhp301W6vo #WildlifeWednesday","Canada's largest national park, Wood Buffalo National Park, boasts the largest beaver dam in THE WORLD! Average beaver dams in Canada are to metres long. This one spans about metres, an animal-made structure so large it is visible from space!",['#WildlifeWednesday'],53.0,322.0,1748,2290,Environmental,"['park', 'park', '#wildlifewednesday']",en,0.1452254126082251,positive,ParksCanada_facebook
0,883120228472315_1005606166223720,2016-08-25 13:09:02,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1005606166223720/?type=3,Help shape future agricultural programs and services by completing our survey. We want to hear from you! http://ow.ly/VnTW303AmXC,Help shape future agricultural programs and services by completing our survey. We want to hear from you! C,[],569.0,1601.0,4071,6442,Social,"['future', 'service']",en,0.0,neutral,CanadianAgriculture_facebook
1,137563459593611_1416573761692568,2016-08-15 05:26:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1416573761692568/?type=3,Happy National #RelaxationDay!!!,Happy National !!!,['#RelaxationDay'],53.0,803.0,3110,4248,unknown,[],en,0.17119844718190308,positive,ParksCanada_facebook
2,137563459593611_1403970619619549,2016-08-01 06:55:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1403970619619549/?type=3,"Happy birthday, Tuktut Nogait National Park! This stunning, remote park turns 20 years old today. http://ow.ly/PuJ7302ATOQ","Happy birthday, Tuktut Nogait National Park! This stunning, remote park turns years old today.",[],14.0,126.0,1383,1616,Environmental,['park'],en,0.35208333333333336,positive,ParksCanada_facebook
0,137563459593611_1449415128408431,2016-09-14 07:15:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1449415128408431/?type=3,"Want to experience something completely different this fall? We're testing a variety of new accommodations, and reservations are still possible! Couples should try our Micro-Cube or Double-Tent for comfort, or the Cocoon Tree Bed or Goutte d’Ô for an experience like no other! Families and friends might want to try out our custom designed Tiny Home on Wheels. Find out more here: http://ow.ly/ilJm303ZBum","Want to eerience something completely different this fall? We're testing a variety of new accommodations, and reservations are still possible! Couples should try our Micro-Cube or Double-Tent for comfort, or the Cocoon Tree Bed or Goutte d’Ô for an eerience like no other! Families and friends might want to try out our custom designed Tiny Home on Wheels. Find out more here:",[],590.0,1721.0,5090,7862,Social,"['tree', 'friend', 'home']",en,0.049960691823899374,positive,ParksCanada_facebook
1,137563459593611_1457661080917169,2016-09-22 10:48:29,https://www.facebook.com/ParksCanada/videos/1457661080917169/,"101 days left until 2017 and the start of an exciting year of #Canada150 celebrations!
For the occasion, we are taking you to our vast country's farthest points: the #4Corners of Canada. 
Wherever YOU are, join the Canada 150 countdown today!","days left until and the start of an exciting year of celebrations! For the occasion, we are taking you to our vast country's farthest points: the of Canada. Wherever YOU are, join the Canada countdown today!","['#Canada150', '#4Corners']",29.0,641.0,995,1749,Social,['#canada150'],en,0.1768691724941725,positive,ParksCanada_facebook
2,137563459593611_1451187471564530,2016-09-19 07:35:01,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1451187471564530/?type=3,"The Micro-Cube’s contemporary design is sure to be a hit this fall! This experimental accommodation offers panoramic views of Riding Mountain National Park and Forillon National Park, Parks Canada! Reservations are still possible, find out more here: http://ow.ly/ilJm303ZBum","The Micro-Cube’s contemporary design is sure to be a hit this fall! This eerimental accommodation offers panoramic views of Riding Mountain National Park and Forillon National Park, Parks Canada! Reservations are still possible, find out more here:",[],64.0,200.0,1319,1678,Environmental,"['mountain', 'park', 'park']",en,0.06623823924731183,positive,ParksCanada_facebook
0,137563459593611_1482943968388880,2016-10-18 05:55:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1482943968388880/?type=3,"Less than one week left to apply for the Parks Canada Northern Engagement Team! One of the best summer jobs in Canada….did we mention there’s an arctic expedition involved?

Applications are open October 16th-23rd for positions available in #Ottawa, #Vancouver and #Montreal.

More info: http://ow.ly/k020305gExV","Less than one week left to apply for the Parks Canada Northern Engagement Team! One of the best summer jobs in Canada….did we mention there’s an arctic eedition involved? Applications are open October th-23rd for positions available in , and . More info:","['#Ottawa', '#Vancouver', '#Montreal']",249.0,999.0,1446,2794,Social,"['northern', 'engagement', 'summer', 'summer', 'job', 'job', 'arctic', 'arctic', '#vancouver']",en,0.0016858552631578954,positive,ParksCanada_facebook
1,137563459593611_1482777848405492,2016-10-17 13:35:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1482777848405492/?type=3,These beautiful Fall colours at Kejimkujik National Park and National Historic Site make for such a perfect Monday scenery!,These beautiful Fall colours at Kejimkujik National Park and National Historic Site make for such a perfect Monday scenery!,[],25.0,192.0,1926,2353,Environmental,['park'],en,0.3279117063492064,positive,ParksCanada_facebook
2,137563459593611_1464269196923024,2016-10-06 09:35:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1464269196923024/?type=3,"#ThrowbackThursday: While many things (like fashion) have changed since 1952, the natural beauty of Takakkaw falls in Yoho National Park stays the same! http://ow.ly/r2AF304GFQ1

Photo credit: Library and Archives Canada.",": While many things (like fashion) have changed since , the natural beauty of Takakkaw falls in Yoho National Park stays the same! 1 Photo credit: Library and Archives Canada.",['#ThrowbackThursday'],71.0,174.0,1940,2328,Social,"['natural', 'park', 'photo', 'library']",en,0.15491959064327485,positive,ParksCanada_facebook
0,793478400417656833,2016-11-01 15:42:47,['https://t.co/gbohCQNnkX'],"RT @VeteransENG_CA: This November, place a poppy on your profile picture to honour, thank and #RememberThem https://t.co/gbohCQNnkX https:/…",RT November place poppy profile picture honour thank RememberThem https co gbohCQNnkX https,['#RememberThem'],,2794.0,0,2794,unknown,[],en,0.0,Neutral,DFO_MPO_tweeter
1,137563459593611_1517254194957857,2016-11-19 09:35:00,http://ow.ly/nsit306j1z7,Canada's national bird: the #GrayJay! Did you know you can find them in forests (and parks!) from coast to coast? #CanadaBird http://ow.ly/nsit306j1z7,Canada's national bird: the ! Did you know you can find them in forests (and parks!) from coast to coast?,"['#GrayJay', '#CanadaBird']",109.0,474.0,1592,2327,Environmental,"['bird', 'forest', 'coast', 'coast']",en,0.19208460629359067,positive,ParksCanada_facebook
2,137563459593611_1497983860218224,2016-11-02 08:12:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1497983860218224/?type=3,"You never know what you’ll see at #Ivvavik National Park base camp! While preparing to leave for a hike, Inuvialuit cultural host Joe Arey pointed out a muskox about 10 metres away on the banks of Sheep Creek. A wonderful surprise and great start to the day! #WildlifeWednesday

Plan YOUR visit: http://ow.ly/vOm5305DBkc","You never know what you’ll see at National Park base camp! While preparing to leave for a hike, Inuvialuit cultural host Joe Arey pointed out a muskox about metres away on the banks of Sheep Creek. A wonderful surprise and great start to the day! Plan YOUR visit: c","['#Ivvavik', '#WildlifeWednesday']",27.0,103.0,1670,1942,Environmental,"['park', '#wildlifewednesday']",en,0.3378839285714286,positive,ParksCanada_facebook
0,137563459593611_1543271082356168,2016-12-09 09:15:03,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1543271082356168/?type=3,"Happy Friday Follower Photo!!!

This stunning shot of Jasper National Park comes to us from @danielericmadrigal via Instagram. Don't forget to tag us (@parks.canada) and use #ParksCanada on IG so we can see your gorgeous parks pics! http://ow.ly/4eN9306WIbJ

Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.","Happy Friday Follower Photo!!! This stunning shot of Jasper National Park comes to us from via Instagram. Don't forget to tag us (.canada) and use on IG so we can see your gorgeous parks pics! Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",['#ParksCanada'],59.0,228.0,2254,2813,Social,"['park', 'instagram', 'parkscanada', '#parkscanada', 'park', 'photo', 'photo', 'photo']",en,0.17854314735844587,positive,ParksCanada_facebook
1,137563459593611_1555062454510364,2016-12-16 15:35:00,https://www.facebook.com/parkscanadawpg/photos/a.532371003541987.1073741828.527844677327953/1025265394252543/?type=3,How cute is this picture? Have yourselves a great weekend everyone! Daisy Gilardini Photography Parks Canada WPG,How cute is this picture? Have yourselves a great weekend everyone! Daisy Gilardini Photography Parks Canada WPG,[],38.0,0.0,1988,2383,unknown,[],en,0.1995729813664596,positive,ParksCanada_facebook
2,137563459593611_1533550833328193,2016-12-02 12:19:16,,"We are thrilled that so many of you are excited for Canada150 and the free souvenir 2017 Parks Canada Discovery Pass. Due to the exceptionally high volume of Discovery Pass online orders, you may experience delays in accessing the site. 

We wish to remind those who are trying to order their pass online that this is not a limited time offer and encourage you to come back and try again later. If you are planning to visit soon, passes are also available at Parks Canada locations across the country starting January 1, 2017. 

We look forward to welcoming all visitors to experience the best of Canada’s natural and cultural heritage in 2017.","We are thrilled that so many of you are excited for Canada150 and the free souvenir Parks Canada Discovery Pass. Due to the exceptionally high volume of Discovery Pass online orders, you may eerience delays in accessing the site. We wish to remind those who are trying to order their pass online that this is not a limited time offer and encourage you to come back and try again later. If you are planning to visit soon, passes are also available at Parks Canada locations across the country starting January , . We look forward to welcoming all visitors to eerience the best of Canada’s natural and cultural heritage in .",[],215.0,686.0,1220,2256,Social,"['canada150', 'natural', 'heritage']",en,0.04991477272727272,positive,ParksCanada_facebook
0,824300734929924097,2017-01-25 16:59:44,"['https://t.co/TDQFOgQZCP', 'https://t.\xe2\x80\xa6']",RT @Bell_LetsTalk: Wake up and smell the coffee…it’s #BellLetsTalk Day! Here’s how you can get involved: https://t.co/TDQFOgQZCP https://t.…,RT Wake smell BellLetsTalk Day get involved https co TDQFOgQZCP https,['#BellLetsTalk'],,4715.0,0,4715,unknown,[],en,0.0,Neutral,GCIndigenous_tweeter
1,137563459593611_1581482985201644,2017-01-07 09:20:01,http://nyti.ms/2ib5O7L,"What an honour! The New York Times released their 52 Places to Go in 2017, and Canada ranked... number ONE! We're welcoming people from across the globe to celebrate #Canada150 with us. With over 200 national parks, historic sites and marine conservation areas to visit #FREE, you're sure to find something spectacular!","What an honour! The New York Times released their Places to Go in , and Canada ranked... number ONE! We're welcoming people from across the globe to celebrate with us. With over national parks, historic sites and marine conservation areas to visit , you're sure to find something spectacular!","['#Canada150', '#FREE']",41.0,764.0,2438,3508,Environmental,"['#canada150', 'park', 'marine', 'conservation']",en,0.1571742424242424,positive,ParksCanada_facebook
2,824977651806924804,2017-01-27 13:49:34,['https://t.co/ZNBkCcU66J'],RT @Bell_LetsTalk: The final results are in! Thank you all for your unbelievable participation! #BellLetsTalk https://t.co/ZNBkCcU66J,RT final results Thank unbelievable participation BellLetsTalk https co ZNBkCcU66J,['#BellLetsTalk'],,3216.0,0,3216,unknown,[],en,-0.15625,Neutral,CCG_GCC_tweeter
0,883120228472315_1168600633257605,2017-02-09 10:10:11,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1168600633257605/?type=3,Canadian researchers are helping reduce greenhouse gas emissions from cows. Find out how. http://ow.ly/67Xi308QixN,Canadian researchers are helping reduce greenhouse gas emissions from cows. Find out how.,[],2077.0,1539.0,5452,10780,Environmental,"['canadian', 'greenhouse_gas', 'emission']",en,0.05339751912883031,positive,CanadianAgriculture_facebook
1,883120228472315_1168625373255131,2017-02-09 10:50:17,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1168625373255131/?type=3,Canada produces a lot of maple syrup! Learn all about this Canadian icon. http://ow.ly/oKiN308OBQ5,Canada produces a lot of maple syrup! Learn all about this Canadian icon.,[],267.0,1678.0,7988,10761,Social,"['maple', 'canadian']",en,0.19477726239845367,positive,CanadianAgriculture_facebook
2,883120228472315_1168515283266140,2017-02-09 08:25:11,https://www.facebook.com/CanadianAgriculture/photos/a.889058524545152.1073741828.883120228472315/1168515283266140/?type=3,DYK wheat can be used to create makeup and golf tees? Learn more about Canada's top crop. http://ow.ly/ACgQ308R6gX,DYK wheat can be used to create makeup and golf tees? Learn more about Canada's top crop.,[],403.0,872.0,5141,6802,Social,['dyk'],en,0.0,neutral,CanadianAgriculture_facebook
0,137563459593611_1664231686926773,2017-03-24 08:15:12,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1664231686926773/?type=3,"Happy Friday Follower Photo!!! This stunning shot of Waterton Lakes National Park comes to us from Laura L. Did you know that no other national park in Canada protects so much wildlife within such a small area? Travel Alberta http://ow.ly/fHim30acil7

Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.","Happy Friday Follower Photo!!! This stunning shot of Waterton Lakes National Park comes to us from Laura L. Did you know that no other national park in Canada protects so much wildlife within such a small area? Travel Alberta Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",[],75.0,424.0,2721,3520,Social,"['park', 'park', 'wildlife', 'travel', 'alberta', 'photo', 'photo', 'photo']",en,0.08696969696969696,positive,ParksCanada_facebook
1,2017-03-21_13-18-58,2017-03-21 13:18:58,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1c398b6551c84a1de18a76fbdffdfea7/5AE56680/t51.2885-15/e35/17437937_209687492849287_6334839726649901056_n.jpg,"Happy , probably one of our favourite days of the year!! Did you know one of our parks houses a rainforest? We're not kidding! In Pacific Rim National Park Reserve, you will find an open forest of trees so twisted and stunted they have taken a form of their own, and a mass of plants so thick it's impossible to see the soil beneath it. This luxurious abondance is due to rain, and lots of it, thanks to Pacific Ocean nearby. ️ Picture by ",Happy InternationalDayOfForests probably one favourite days year nDid know one parks houses rainforest kidding Pacific Rim National Park Reserve find open forest trees twisted stunted taken form mass plants thick impossible see soil beneath luxurious abondance due rain lots thanks Pacific Ocean nearby Picture taylormichaelburk parkscanada canada canada150 explorecanada explorebc intldayofforests internationaldayofforests dayofforests forestday worldforestday forest rainforest pacificrim pacificrimnpr hellobc bc conservation rain ocean pacificocean water,"[""internationaldayofforests"",""parkscanada"",""canada"",""canada150"",""explorecanada"",""explorebc"",""intldayofforests"",""internationaldayofforests"",""dayofforests"",""forestday"",""worldforestday"",""forest"",""rainforest"",""pacificrim"",""pacificrimnpr"",""hellobc"",""bc"",""conservation"",""rain"",""ocean"",""pacificocean"",""water""]",15.0,,2254,2269,Environmental,"['park', 'park', 'forest', 'tree', 'plant', 'ocean']",en,0.09148148148148147,positive,parks.canada_instagram
